Категории;Показывать товар;Артикул;Основная категория;Фотографии;Описание;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510020;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-265-rozovij-zhemchug.jpg;"Губная помада Color Riche роскошного розового оттенка «Розовый жемчуг». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной натуральной коллекции Color Riche от LOREAL.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет розовый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>
131 Мистангет</li>
<li>
133 Беспечный розовый</li>
<li>
135 Дерзкая Далия</li>
<li>
136 Изящный фламинго</li>
<li>
144 У-ля-ля</li>
<li>
228 VIP</li>
<li>
230 Коралловый показ</li>
<li>
232 Нежный кашемир</li>
<li>
235 Нежная роза</li>
<li>
238 Вечеринка в оранжевом</li>
<li>
256 Игристый розовый</li>
<li>
265 Розовый жемчуг</li>
<li>
302 Розовый лес</li>
<li>
303 Розовый нежный</li>
<li>
330 Cocorico</li>
<li>
340 Персиковый кристалл</li>
<li>
364 Вандомская площадь</li>
<li>
375 Томная малина</li>
<li>
376 Страсти Кассис</li>
<li>
378 Розовый бархат</li>
<li>
430 Мой Жюль</li>
<li>
631 Бессонная ночь</li>
<li>
632 Суровый любовник</li>
<li>
640 Эротика</li>";469;LOREAL губная помада Color Riche 265 Розовый жемчуг;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600521459201;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510021;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-302-rozovij-les.jpg;"Губная помада Color Riche благородного розового оттенка «Розовый лес». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной коллекции натуральных оттенков Color Riche от LOREAL.</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет розовый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>101</li>
<li>102</li>
<li>103</li>
<li>106</li>
<li>108</li>
<li>109</li>
<li>110</li>
<li>111</li>
<li>201</li>
<li>202</li>
<li>203</li>
<li>204</li>";469;LOREAL губная помада Color Riche 302 Розовый лес;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522558071;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510022;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-378-rozovij-barhat.jpg;"Губная помада Color Riche роскошного розового оттенка «Розовый бархат». Разработана на основе содержания растительных масел и комплекса витаминов, которые способствуют комфортному нанесению и защите губ. Входящий в состав липидный комплекс обеспечивает насыщенность цветового пигмента и непревзойденную стойкость. А нотки фиалки, жасмина и ириса дарят восхитительный аромат помаде из легендарной натуральной коллекции Color Riche от LOREAL.
</p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Цвет розовый. </li><li> Содержит Омега 3 и витамин Е.</li><li> Обладает нежной кремовой текстурой. </li><li> Мягкое нанесение и идеальное закрашивание. </li><li> Хорошо держит контур. </li><li>Стильный дизайн.</li>
<li>101</li>
<li>102</li>
<li>103</li>
<li>106</li>
<li>108</li>
<li>109</li>
<li>110</li>
<li>111</li>
<li>201</li>
<li>202</li>
<li>203</li>
<li>204</li>";469;LOREAL губная помада Color Riche 378 Розовый бархат;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522558040;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510023;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-632-surovij-lyubovnik.jpg;"Помада для губ ""Колор Риш"" - это уникальное сочетание насыщенного цвета и ухода. Лаборатории L'Oreal Paris отобрали самые чистые и самые тонкие пигменты для роскошного ровного цвета. Помада обладает легкой тающей текстурой, она мягко ложится, окутывая губы соблазнительным цветом. Помимо великолепного цвета помада Color Riche дарит роскошный уход нежным губам, ведь входящие в ее состав витамин Е и Омега 3 глубоко увлажняют и защищают чувствительную кожу губ. Оттенок 632 «Суровый любовник» обладает розовым тоном с перламутровыми частицами. Он наполнит губы приятным естественным цветом, сделает их максимально соблазнительными.

Способ использования и нанесения:  Нанесите губную помаду на поверхность губ, подчеркивая их контур.

Состав:  Lanolin liquida/lanolin oil, oleyl erucate, sesamum indicum oil/sesame seed oil, cera microcristallina/microcrystalline wax, ppg-5 lanolin wax, acetylated lanolin, cera alba/beeswax, calcium aluminum borosilicate, disteardimonium hectorite, tocopheryl acetate, rosa canina fruit oil, synthetic fluorphlogopite, alumina, pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate, silica, geraniol, calcium sodium borosilicate, benzyl alcohol, tin oxide, hexyl cinnamal, hydroxycitronellal, methyl-2-octynoate, polyethylene terephthalate, polymethyl methacrylate, parfum/fragrance [+/- may contain: ci 77891/titanium dioxide, mica, ci 77491, ci 77492, ci 77499/iron oxides, ci 15850/red 7, ci 45410/red 28 lake, ci 15985/yellow 6 lake, ci 77163/bismuth oxychloride, ci 45380/red 22 lake, ci 42090/blue 1 lake, ci 19140/yellow 5 lake, ci 75470/carmine].";469;LOREAL губная помада Color Riche 632 суровый любовник;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522850984;
(Характеристики товара)Объем:7 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510024;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-balmain-dominirovanie.jpg;"12 матовых оттенков помад для губ от-кутюр от Модного дома Balmain с ухаживающей увлажняющей формулой с маслами. Модный отряд «От-Кутюр» прославляет истоки модного дома Balmain: чарующую высокую моду и безупречное французское чувство стиля. Соблазняющий Domination/Доминирование – безупречный красный с насыщенной винной нотой, станет лучшим аксессуаром для вашего рокового образа.

Способ использования и нанесения:  Нанесите один слой помады, аккуратно выделяя контур губ для придания им уникального оттенка. Для достижения более яркого и насыщенного результата нанесите поверх еще один-два слоя.";444;LOREAL губная помада Color Riche Balmain доминирование;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Balmain;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523512867;
(Характеристики товара)Вес:4,8 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510025;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-balmain-gorodskoe-safari.jpg;"12 матовых оттенков помад для губ от-кутюр от Модного дома Balmain с ухаживающей увлажняющей формулой с маслами. Модный отряд «Гламазонка» воплощает дух смелой, ведомой инстинктом жительницы каменных джунглей – современной гламурной амазонки. Для нее идеально подойдут оттенки, вдохновленные элементами необузданной природы. Идеальный нюдовый оттенок Urban Safari/Городское Сафари идеально подойдет для каждой амазонки в любой ситуации, подчеркивая естественную красоту и нежность, присущую даже самой смелой, но такой женственной девушке.

Способ использования и нанесения:  Нанесите один слой помады, аккуратно выделяя контур губ для придания им уникального оттенка. Для достижения более яркого и насыщенного результата нанесите поверх еще один-два слоя.";444;LOREAL губная помада Color Riche Balmain городское сафари;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Balmain;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523512928;
(Характеристики товара)Вес:4,8 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510026;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-balmain-uverennost.jpg;"12 матовых оттенков помад для губ от-кутюр от Модного дома Balmain с ухаживающей увлажняющей формулой с маслами. Модный отряд «От-Кутюр» прославляет истоки модного дома Balmain: чарующую высокую моду и безупречное французское чувство стиля. Звездный оттенок Confidence/Уверенность с золотым шиммером завораживает. С этим оттенком ваше лицо будет сиять так же, как если бы вы были облачены в легендарное платье Balmain с золотыми пайетками. Он также может завершить образ и придать изящества другим помадам, стоит лишь нанести его финальным слоем.

Способ использования и нанесения:  Нанесите один слой помады, аккуратно выделяя контур губ для придания им уникального оттенка. Для достижения более яркого и насыщенного результата нанесите поверх еще один-два слоя.";444;LOREAL губная помада Color Riche Balmain уверенность;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Balmain;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523512874;
(Характеристики товара)Вес:4,8 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510027;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-chastnaya-kollekciya-telesnij-dzhennifer-lopes.jpg;"Помада из эксклюзивной частной коллекции, по праву заслуживает почетное место в косметичке каждой женщины. Потрясающий матовый телесный подойдет к любой внешности и тону кожи. Придаст вашим губам неповторимое сияние и естественный блеск, а входящий в состав витамин Е одновременно увлажнит и защитит от неблагоприятных воздействий окружающей среды. Помада Color Riche из коллекции LOREAL полностью дополнит ваш макияж. </p>

ОСОБЕННОСТИ ПРОДУКТА:

<li> Оттенок телесный. </li><li> Полностью безопасна в использовании. </li><li> Легко наносится, обладает нежной кремовой текстурой. </li><li> Хорошо увлажняет и смягчает губы. </li><li> Хорошо держит контур. </li><li> Лимитированный выпуск. </li><li>Стильный дизайн.</li>
<li>
Розовый для Наташи Поли
</li>
<li>
Розовый для Евы Лонгории
</li>
<li>
Розовый для Евы Лонгории
</li>
<li>
Розовый для Джулианны Мур
</li>";469;LOREAL губная помада Color Riche Частная Коллекция телесный Дженнифер Лопес;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600522558200;
(Характеристики товара)Объем:4,5 мл";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510028;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-matte-addiction-349-vishnevij-shik.jpg;"Губная помада Колор Риш имеет уникальный ухаживающий состав. Благодаря маслам камелии и жожоба она увлажняет кожу, легко наносится и сохраняет четкие контуры. Помада создает невесомое матовое покрытие и при этом ухаживает за губами. В палитре 10 ультрамодных матовых оттенков – идеальное решение для изысканного и по-французски чувственного образа. «Вишневый шик» – классический и невероятно соблазнительный цвет с холодным красным подтоном для безупречного вечернего выхода. #MatteAddiction

Способ использования и нанесения:  Помаду нужно нанести на губы, выделяя контур. При желании можно использовать карандаш. Примерить образ с оттенком «Красное совершенство» позволит приложение Makeup Genius.";469;LOREAL губная помада Color Riche Matte Addiction 349 вишневый шик;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Matte Addiction;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523402076;
(Характеристики товара)Вес:4,8 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510029;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-matte-addiction-430-bordovij-povorot.jpg;"Губная помада Колор Риш имеет уникальный ухаживающий состав. Благодаря маслам камелии и жожоба она увлажняет кожу, легко наносится и сохраняет четкие контуры. Помада создает невесомое матовое покрытие и при этом ухаживает за губами. В палитре 10 ультрамодных матовых оттенков – идеальное решение для изысканного и по-французски чувственного образа. Цвет «Бордовый поворот» можно выбрать для элегантного вечернего макияжа или трендового молодежного мэйкапа в клубном стиле. #MatteAddiction

Способ использования и нанесения:  Помаду нужно нанести на губы, выделяя контур. При желании можно использовать карандаш. Примерить образ с оттенком «Красное совершенство» позволит приложение Makeup Genius.";469;LOREAL губная помада Color Riche Matte Addiction 430 бордовый поворот;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Matte Addiction;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523401987;
(Характеристики товара)Вес:4,8 г";LOREAL;
Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;1;510030;Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;/storage/photo/original/e/loreal-gubnaya-pomada-color-riche-matte-addiction-463-slivovoe-nasishenie.jpg;"Губная помада Колор Риш имеет уникальный ухаживающий состав. Благодаря маслам камелии и жожоба она увлажняет кожу, легко наносится и сохраняет четкие контуры. Помада создает невесомое матовое покрытие и при этом ухаживает за губами. В палитре 10 ультрамодных матовых оттенков – идеальное решение для изысканного и по-французски чувственного образа. Цвет «Сливовое насыщение – глубокий, холодный и невероятно выразительный, он станет главным акцентом не только в макияже, но и во всем наряде. #MatteAddiction

Способ использования и нанесения:  Помаду нужно нанести на губы, выделяя контур. При желании можно использовать карандаш. Примерить образ с оттенком «Красное совершенство» позволит приложение Makeup Genius.";469;LOREAL губная помада Color Riche Matte Addiction 463 сливовое насыщение;"(Характеристики товара)Тип товара:Губная помада;
(Характеристики товара)Бренд:LOREAL;
(Характеристики товара)Серия:Color Riche Matte Addiction;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:3600523402090;
(Характеристики товара)Вес:4,8 г";LOREAL;
