"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7857";"TCHIBO Кофе растворимый Exclusive 75 г";"110242"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7858";"ЖОКЕЙ кофе растворимый сублимированный Империал 95 г";"110312"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7859";"WOLLINGER 3D кофе растворимый сублимированный 95 г";"110179"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7861";"ЧЕРНАЯ КАРТА Кофе растворимый Premium 75 г";"110218"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7862";"WOLLINGER 3D кофе растворимый сублимированный 85 г";"110180"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7863";"NESСAFE Кофе растворимый порошкообразный Classic Crema 95 г";"110295"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7864";"ЖОКЕЙ кофе растворимый Триумф 95 г";"110318"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7865";"NESСAFE Кофе растворимый Gold Crema 70 г";"110273"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7867";"LEBO Кофе растворимый Extra 100 г мягкая упаковка";"110263"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7868";"AMBASSADOR Кофе растворимый Platinum 75 г";"110229"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7872";"ЧЕРНАЯ КАРТА Кофе растворимый Gold 95 г";"110202"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7873";"NESСAFE Кофе растворимый Gold, 20 шт. х 2 г";"110271"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7874";"NESСAFE Кофе растворимый 3 в 1 Мягкий, 20 стиков х 16 г";"116008"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7875";"TCHIBO Кофе растворимый Gold Selection 95 г";"110239"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7876";"ЧЕРНАЯ КАРТА Кофе растворимый Exclusive Brasilia 95 г";"110216"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7877";"NESСAFE Кофе растворимый гранулированный Classic 30 шт. х 2 г";"110293"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7883";"LEBO Кофе растворимый Extra 100 г";"110261"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7884";"AMBASSADOR Кофе растворимый Platinum 95 г";"116002"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7886";"NESСAFE Кофе растворимый 3 в 1 Карамель, 20 стиков х 16 г";"110267"
"(Характеристики товара (Продукты))Тип товара:Кофе растворимый;
(Характеристики товара (Продукты))Код товара:АМ-7887";"NESСAFE Кофе растворимый 3 в 1 Классик, 20 стиков х 16 г";"116006"
