Артикул;Остаток;Амизян
120127;3702;44.40
120128;2529;21.60
120129;685;59.94
120131;609;34.41
120133;464;42.69
120139;10676;96.57
120140;25676;28.67
120143;548;45.51
120145;1049;45.51
120146;1052;45.51
120147;694;45.51
120148;625;45.51
120149;1693;45.51
120150;815;45.51
120153;601;45.51
120155;638;45.51
120156;2;45.51
120157;412;45.51
120158;818;45.51
120159;1245;45.51
120163;245;48.68
120164;1161;45.51
120166;1152;45.51
120167;1298;45.51
120168;923;45.51
