"Характеристики";"Короткое название";"Артикул"
"(Характеристики товара (Продукты))Тип товара:Чай в пирамидках;
(Характеристики товара (Продукты))Код товара:АМ-7823";"Ahmad Tea Strawberry Mousse зеленый чай с клубникой и мятой, 20 пирамидок";127006
"(Характеристики товара (Продукты))Тип товара:Чай в пирамидках;
(Характеристики товара (Продукты))Код товара:АМ-7824";"Ahmad Tea Chocolate Brownie черный чай с кусочками шоколада, 20 пирамидок";127008
"(Характеристики товара (Продукты))Тип товара:Чай в пирамидках;
(Характеристики товара (Продукты))Код товара:АМ-7825";"Ahmad Tea Pear Strudel черный чай с грушей и корицей, 20 пирамидок";127009
"(Характеристики товара (Продукты))Тип товара:Чай в пирамидках;
(Характеристики товара (Продукты))Код товара:АМ-7826";"Ahmad Tea Mango Souffle зеленый чай с манго и личи, 20 пирамидок";127010
"(Характеристики товара (Продукты))Тип товара:Чай в пирамидках;
(Характеристики товара (Продукты))Код товара:АМ-7827";"Ahmad Tea Citrus Sorbet зеленый чай с грейпфрутом и лимоном, 20 пирамидок";127011
