Категории;Основная категория;Артикул;Короткое название;Показывать товар;Трансазия;Характеристики;Описание;Бренд;Фотографии;Цена_Розничная
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710533;HELEN HARPER подгузники-трусики Soft & Dry 5 (12 - 18 кг) 17 шт;1;309;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Упаковка:До 40 шт;
(Характеристики товара)Вес ребенка:12 кг, 13 кг, 14 кг, 15 кг и более ;
(Характеристики товара)EAN:5411416043768;
(Характеристики товара)Количество:17 шт;
(Характеристики товара)Код товара:CB-00017134";"<p>Детские подгузники-трусики Helen Harper Soft & Dry, удобной формы с тянущимися резиночки на пояске и ногах предотвращают протекания. Тонкие, сделаны из дышащего материала, не мешают ребенку двигаться. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывают аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-trusiki-soft-dry-5-12-18-kg-17-sht.jpg;386
Зоотовары/Товары для кошек/Корма для кошек;Зоотовары/Товары для кошек/Корма для кошек;610537;ROYAL CANIN сухой корм для кошек Hair & Skin Care 10 кг;1;6062;"(Характеристики товара)Тип товара:Сухой корм для кошек;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Hair & Skin Care;
(Характеристики товара)Для кого:Для кошек;
(Характеристики товара)Ветеринарные показания и специальные потребности:Забота о коже и шерсти;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:10 кг;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4690553016618;
(Характеристики товара)Вес:10 кг;
(Характеристики товара)Код товара:CB-00022365";"<br> Клетки кожи постоянно обновляются и нуждаются в питательных веществах. Повышенная чувствительность кожи часто приводит к ухудшению качества шерсти. Правильно подобранное питание поможет решить эту проблему. Тщательно сбалансированная формула, помогающая поддерживать здоровье кожи и шерсти. Продукт содержит уникальную комбинацию питательных веществ, в том числе эксклюзивный комплекс аминокислот и витаминов B, для поддержания барьерной функции кожи, жирные кислоты Омега 3 и 6, известные своим благоприятным воздействием на состояние шерсти и кожи. </p>
<br>
<br>
Ингредиенты: <br> Дегидратированный белок мяса птицы, животные жиры, изолят растительных белков*, рис, растительная клетчатка, кукуруза, гидролизат белков животного происхождения, пшеница, дрожжи, кукурузная мука, кукурузный глютен, свекольный жом, соевое масло, рыбий жир, минеральные вещества, масло огуречника аптечного, экстракт бархатцев прямостоячих (источник лютеина). <br>
<br>
Добавки в 1 кг: <br> витамин A: 25200 МЕ, витамин D3: 700 МЕ, E1 (железо): 48 мг, E2 (йод): 4,8 мг, E4 (медь): 15 мг, E5 (марганец): 62 мг, E6 (цинк): 187 мг, E8 (селен): 0,08 мг, консерванты, антиоксиданты.<br>
<br>";ROYAL CANIN;/storage/photo/original/a/royal-canin-suhoj-korm-dlya-koshek-hair-skin-care-10-kg.jpg;6906
Зоотовары/Товары для собак/Корма для собак;Зоотовары/Товары для собак/Корма для собак;620381;ROYAL CANIN сухой корм Maxi Light Weight Care для собак крупных пород профилактика избыточного веса 15 кг;1;5670;"(Характеристики товара)Тип товара:Сухой корм для собак;
(Характеристики товара)Бренд:ROYAL CANIN;
(Характеристики товара)Серия:Light Weight Care;
(Характеристики товара)Ветеринарные показания и специальные потребности:Контроль веса;
(Характеристики товара)Возраст питомца:Взрослые;
(Характеристики товара)Размер породы:Крупные породы (26-44 кг);
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Вес упаковки:15 кг;
(Характеристики товара)Страна происхождения:ПОЛЬША;
(Характеристики товара)EAN:3182550704670;
(Характеристики товара)Вес:15 кг;
(Характеристики товара)Код товара:CB-00023606";"<br> Полнорационный сухой корм для взрослых собак крупных размеров (вес собаки от 26 до 44 кг, возраст старше 15 месяцев), предрасположенных к полноте. Позволяет уменьшить потребление энергии на 30%, не уменьшая объем порции. Повышенное содержание белка (27%) с низким содержанием жиров (11%) препятствуют потере мышечной массы, а L-карнитин стимулирует метаболизм жиров, при этом поддерживая мышечную массу. Обогащенная клетчаткой формула способствует снижению чувства голода между приемами пищи и способствует более быстрому насыщению. Формула способствует поддержанию здоровья костей и суставов взрослых собак крупных размеров при потере веса. </p>
<br>
<br>
Ингредиенты: <br> Кукуруза, дегидратированное мясо птицы, ячмень, растительная клетчатка, кукурузная клейковина, изолят растительных белков*, животные жиры, гидролизат белков животного происхождения, свекольный жом, минеральные вещества, рыбий жир, дрожжи, фруктоолигосахариды, соевое масло, гидролизат из панциря ракообразных (источник глюкозамина), гидролизат из хряща (источник хондроитина). <br>
<br>
Добавки в 1 кг: <br> Витамин A: 16900 ME, Витамин D3: 900 ME, Железо: 40 мг, Йод: 3,1 мг, Марганец: 53 мг, Цинк: 173 мг, Ceлeн: 0,06 мг, L-карнитин: 200 мг. <br>
<br>";ROYAL CANIN;/storage/photo/original/a/royal-canin-suhoj-korm-maxi-light-weight-care-dlya-sobak-krupnih-porod-profilaktika-izbitochnogo-vesa-15-kg.jpg;6875
Косметика и Уход/Уход за волосами/Средства для укладки и моделирования;Косметика и Уход/Уход за волосами/Средства для укладки и моделирования;520901;WELLAFLEX лак для волос Объем и Восстановление суперсильной фиксации 400 мл;1;295;"(Характеристики товара)Тип товара:Лаки для укладки;
(Характеристики товара)Бренд:WELLAFLEX;
(Характеристики товара)Страна происхождения:ГЕРМАНИЯ;
(Характеристики товара)EAN:8001090264619;
(Характеристики товара)Объем:400 мл;
(Характеристики товара)Код товара:CB-00020052";"Продукт придает вашей прическе объем от корней до кончиков и ощущение гладкости, которое останется с вами на весь день, помогая восстановить первозданный вид даже поврежденным волосам. Cохраняет яркость цвета окрашенных волос. Лак для волос с технологией FlexActive TM Суперсильной фиксации придает вашим волосам 3 признака естественной и упругой укладки:• Сохраняет естественный вид
• Сохраняет подвижность волос без склеивания<br>
• Обеспечивает экстрасильную фиксацию на срок до 24 часов <br>";WELLAFLEX;/storage/photo/original/a/wellaflex-lak-dlya-volos-obem-i-vosstanovlenie-supersilnoj-fiksacii-400-ml.jpg;369
Косметика и Уход/Уход за лицом/Средства для губ;Косметика и Уход/Уход за лицом/Средства для губ;520902;ЧИСТАЯ ЛИНИЯ Бальзам для губ проотив Против обветривания Брусника 4 гр;1;92;"(Характеристики товара)Тип товара:Бальзам для губ;
(Характеристики товара)Бренд:ЧИСТАЯ ЛИНИЯ ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4600702083651;
(Характеристики товара)Вес:4 г;
(Характеристики товара)Код товара:CB-00040940";<p>Бальзам для губ против обветривания эффективно защищает губы от негативного воздействия внешней среды. Бальзам ложится невидимой вуалью, которая препятствует потере влаги и обветриванию кожи губ. Активные натуральные компоненты способствуют заживлению мелких трещинок, смягчают и успокаивают нежную кожу губ.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Кожа губ защищена от обветривания</li><li>Губы выглядят ухоженными и привлекательными</li>;ЧИСТАЯ ЛИНИЯ;/storage/photo/original/a/chistaya-liniya-balzam-dlya-gub-prootiv-protiv-obvetrivaniya-brusnika-4-gr.jpg;115
Продукты/Кондитерские изделия/Конфеты, восточные сладости;Продукты/Кондитерские изделия/Конфеты, восточные сладости;140299;WAFF конфета ваффельная в шоколаде 35 г;1;19;"(Характеристики товара)Тип товара:Вафли;
(Характеристики товара)Бренд:WAFF;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4651112440565;
(Характеристики товара)Вес:35 г;
(Характеристики товара)Код товара:CB-00046331";"Пять хрустящих вафельных листов и нежная тающая начинка с натуральной ореховой пастой — все это покрыто вкуснейшим, молочным шоколадом, который не оставит никого равнодушным!
<br>
В одной коробке девять конфет, цена указана за одну конфету.
<br>
<br>
Пищевая Ценность на 100 г<br>
Калории 550 ккал<br>
Белки 8 г<br>
Углеводы 53 г<br>
Жиры 34 г<br>
<br><br>";WAFF;;20
Продукты/Кофе, чай, какао, цикорий/Кофе;Продукты/Кофе, чай, какао, цикорий/Кофе;130038;NESKAFE кофе Gold c добавлением молотого мягкая упаковка 150 г;1;198;"(Характеристики товара)Тип товара:Кофе растворимый;
(Характеристики товара)Бренд:NESKAFE;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4600680000213;
(Характеристики товара)Вес:150 г;
(Характеристики товара)Код товара:CB-00039876";<p>Создайте неповторимую атмосферы кофейни у себя дома вместе с Nescafe Gold Barista. Благодаря сбалансированной смеси растворимого и молотого кофе особого ультратонкого помола. Кофе Nescafe Gold Barista  обладает богатым ароматом и насыщенным вкусом. Застежка молния сохраняет свежесть аромата кофе до последней чашки.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Пакет с застёжкой ZIP</li>;NESKAFE;/storage/photo/original/a/neskafe-kofe-gold-c-dobavleniem-molotogo-myagkaya-upakovka-150-g.jpg;248
Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;330936;SYOSS бальзам-ополаскиватель Color Luminance&Protect для окрашенных волос 300 мл;1;135;"(Характеристики товара)Тип товара:Бальзамы;
(Характеристики товара)Бренд:SYOSS;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4015001009309;
(Характеристики товара)Объем:300 мл;
(Характеристики товара)Код товара:CB-00041243";"<p>
Бальзам-ополаскиватель для волос SYOSS Color Luminance&Protect относится к линейке средств созданной для ухода за волосами, разработана специально для защиты цвета окрашенных волос. Благодаря специальной формуле средства этой серии еще эффективнее защищают окрашенные волосы от потери цветового пигмента, поддерживают яркость и «сочность» выбранного оттенка и дарят волосам ослепительный блеск.
</p>

Особенности продукта:
<br>
<li>
Для окрашенных волос
<li>
Легкое расчесывание
<li>
Защита для стойкого и насыщенного цвета волос
<li>
Облегчает расчесывание, разглаживая поверхность волос
<li>
Помогает защитить волосы от потери цветового пигмента
<li>
Яркий цвет и интенсивный блеск
<br>
Состав:
Аqua, cetearyl alcohol, behentrimonium chloride, amodimethicone/morpholinomethyl silsesquioxane copolymer, prunus armeniaca kernel oil, panthenol, hydrolyzed, keratin, glycerin, isopropyl myristate, lactic acid, phenoxyethanol, stearamidopropyl dimethylamine, isopropyl alcohol, glyceryl stearate, sodium methylparaben, polyquaternium-37, parfum, dicaprylyl carbonate, hexyl cinnamal, butylphenyl methylpropional, benzyl salicylate, linalool, benzyl alcohol, limonene, trideceth-5, lauryl glucoside.
<br>";SYOSS;/storage/photo/original/a/syoss-balzam-opolaskivatel-color-luminanceprotect-dlya-okrashennih-volos-300-ml.jpg;169
Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;330937;HEAD & SHOULDERS бальзам-ополаскиватель Supreme Укрепление 275 мл;1;242;"(Характеристики товара)Тип товара:Бальзамы;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Supreme;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090678164;
(Характеристики товара)Объем:275 мл;
(Характеристики товара)Код товара:CB-00027272";"Линия Head & Shoulders Supreme была создана с учетом особенностей женских волос. Эта потрясающая линия шампуней и бальзамов-ополаскивателей против перхоти обеспечивает интенсивное увлажнение и долгосрочную защиту от перхоти.
<br>
<br>
Aqua, Stearyl Alcohol, Behentrimonium Chloride, Cetyl Alcohol, Dimethicone, Isopropyl Alcohol, Zinc Pyrithione, Parfum, Phenoxyethanol, Benzyl Alcohol, Hexyl Cinnamal, Linalool, Hydroxycitronellal, Sodium Chloride, Magnesium Nitrate, Argania Spinosa Kernel Oil, Mel, Sodium Polynaphthalenesulfonate, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-balzam-opolaskivatel-supreme-ukreplenie-275-ml.jpg;279
Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;330938;HEAD & SHOULDERS бальзам-ополаскиватель Supreme Увлажнение 275 мл;1;242;"(Характеристики товара)Тип товара:Бальзамы;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Supreme;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090678133;
(Характеристики товара)Объем:275 мл;
(Характеристики товара)Код товара:CB-00027268";"Линия Head & Shoulders Supreme была создана с учетом особенностей женских волос. Эта потрясающая линия шампуней и бальзамов-ополаскивателей против перхоти обеспечивает интенсивное увлажнение и долгосрочную защиту от перхоти.
<br>
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Piroctone Olamine, Dimethiconol, Sodium Citrate, Parfum, Dimethicone, Citric Acid, TEA-Dodecylbenzenesulfonate, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Trideceth-10, Hexyl Cinnamal, Tetrasodium EDTA, Sodium Hydroxide, Linalool, Hydroxycitronellal, Magnesium Nitrate, Argania Spinosa Kernel Oil, Persea Gratissima Oil, Triethylene Glycol, Propylene Glycol, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-balzam-opolaskivatel-supreme-uvlazhnenie-275-ml.jpg;279
Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;Средства гигиены/Душ и ванная/Бальзамы-ополаскиватели;330939;HEAD & SHOULDERS бальзам-ополаскиватель Supreme Восстановление 275 мл;1;242;"(Характеристики товара)Тип товара:Бальзамы;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Supreme;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090570031;
(Характеристики товара)Объем:275 мл;
(Характеристики товара)Код товара:CB-00027267";"Линия Head & Shoulders Supreme была создана с учетом особенностей женских волос. Эта потрясающая линия шампуней и бальзамов-ополаскивателей против перхоти обеспечивает интенсивное увлажнение и долгосрочную защиту от перхоти.
<br>
Состав<br>
Aqua, Stearyl Alcohol, Behentrimonium Chloride, Cetyl Alcohol, Dimethicone, Isopropyl Alcohol, Zinc Pyrithione, Parfum, Phenoxyethanol, Benzyl Alcohol, Hexyl Cinnamal, Linalool, Hydroxycitronellal, Sodium Chloride, Magnesium Nitrate, Argania Spinosa Kernel Oil, Persea Gratissima Oil, Sodium Polynaphthalenesulfonate, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-balzam-opolaskivatel-supreme-vosstanovlenie-275-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330940;HEAD & SHOULDERS шампунь Против выпадения волос для мужчин 200 мл;1;146;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:5011321656772;
(Характеристики товара)Объем:200 мл;
(Характеристики товара)Код товара:00000036529";"<p>Шампунь против перхоти борется с ломкостью волос и предотвращает их выпадение. Очищает волосы и восстанавливает, оздоравливает кожу головы. Подходит для ежедневного использования. С ""мужским"" ароматом.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<li>Предотвращает выпадение волос";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-protiv-vipadeniya-volos-dlya-muzhchin-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330941;HEAD & SHOULDERS шампунь Контроль над Жирностью для мужчин 200 мл;1;146;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Контроль над Жирностью;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090355928;
(Характеристики товара)Объем:200 мл;
(Характеристики товара)Код товара:CB-00019069";"Шампунь против перхоти для мужчин Head & Shoulders Ultra Максимальный контроль над жирностью волос и кожи головы с активными добавками прекрасно ухаживает за волосами и кожей головы, оправдывая ожидания даже очень требовательных мужчин. Этот шампунь против перхоти с добавлением активных веществ превосходно очищает кожу головы и волосы. Серия шампуней для мужчин Head & Shoulders Ultra обеспечивает 100%-ную защиту от перхоти (видимые чешуйки, при регулярном применении).
Способ применения<br>
Для ежедневного использования. Хорошо встряхните перед использованием. Нанесите на кожу головы и по всей длине волос аккуратными массирующими движениями. Смойте и при желании повторите.<br>
Состав<br>
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamide MEA, Zinc Carbonate, Glycol Distearate, Zinc Pyrithione, Sodium Xylenesulfonate, Dimethicone, Parfum, Cetyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Menthol, Sodium Chloride, Hydrochloric Acid, Glycerin, Magnesium Sulfate, Sodium Benzoate, Sodium Hydroxide, Magnesium Carbonate Hydroxide, Hexyl Cinnamal, Benzyl Alcohol, Limonene, Benzyl Salicylate, Propylene Glycol, Magnesium Nitrate, Citronellol, Paraffinum Liquidum, Citrus Limon Fruit Extract, Sodium Polynaphthalenesulfonate, CI 19140, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, CI 42090";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-kontrol-nad-zhirnostyu-dlya-muzhchin-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330942;HEAD & SHOULDERS шампунь Ментол 900 мл;1;494;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:8001841012537;
(Характеристики товара)Объем:900 мл;
(Характеристики товара)Код товара:CB-00038043";"Избавьтесь от перхоти с помощью шампуня против перхоти с освежающим ментолом. Шампунь Head & Shoulders с формулой тройного действия очищает, защищает и увлажняет (при регулярном использовании) ваши волосы и кожу головы — вы получите до 100% свободы от перхоти, а ваши волосы будут выглядеть здоровыми и красивыми. Свойства шампуня Head & Shoulders отвечают новым высоким стандартам красоты, а в его состав входит опробованный и протестированный активный ингредиент против перхоти, благодаря чему волосы прекрасно выглядят, а перхоть исчезает.
Для нормальных и жирных волос.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-mentol-900-ml.jpg;556
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330943;HEAD & SHOULDERS шампунь 2 в 1 Основной уход 900 мл;1;494;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:8001841012490;
(Характеристики товара)Объем:900 мл;
(Характеристики товара)Код товара:CB-00038044";"Избавьтесь от перхоти с помощью шампуня и бальзама-ополаскивателя против перхоти. Head & Shoulders 2-в-1 с формулой тройного действия очищает, защищает и увлажняет (при регулярном использовании) ваши волосы и кожу головы — вы получите до 100%* свободы от перхоти, а ваши волосы будут выглядеть здоровыми и красивыми. Свойства шампуня Head & Shoulders отвечают новым высоким стандартам красоты, а в его состав входит опробованный и протестированный активный ингредиент против перхоти, благодаря чему волосы прекрасно выглядят, а перхоть исчезает.
Для всех типов волос.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-2-v-1-osnovnoj-uhod-900-ml.jpg;556
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330944;HEAD & SHOULDERS Шампунь 2 в 1 Основной уход 200 мл;1;146;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Назначение:От перхоти;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:5601059062534;
(Характеристики товара)Объем:200 мл;
(Характеристики товара)Код товара:00000039532";"<p>
Шампунь от перхоти, очищает волосы и ухаживает за кожей головы. Дарит волосам красоту и здоровье. Подходит для ежедневного использования.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>2 в 1 Шампунь и бальзам ополаскиватель
<li>Для регулярного применения
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-2-v-1-osnovnoj-uhod-200-ml.jpg;163
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330945;HEAD & SHOULDERS шампунь Sport Fresh против перхоти 400 мл;1;242;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Sport Fresh;
(Характеристики товара)Для кого:Для мужчин;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090811936;
(Характеристики товара)Объем:400 мл;
(Характеристики товара)Код товара:CB-00029621";Шампунь от перхоти HEAD & SHOULDERS Sport Fresh обеспечит до 100% свободы от перхоти! Освежает волосы и кожу головы. Наша проверенная Actizinc формула не только эффективно борется с причинами возникновения перхоти, но и сохраняет баланс кожи головы и красивые волосы, при регулярном применении. Мягкая, рН-сбалансированная формула подходит для ежедневного использования.<br />;HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-sport-fresh-protiv-perhoti-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330946;HEAD & SHOULDERS шампунь Контроль над Жирностью для мужчин 400 мл;1;242;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Контроль над Жирностью;
(Характеристики товара)Для кого:Для мужчин;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:8001090138552;
(Характеристики товара)Объем:400 мл;
(Характеристики товара)Код товара:CB-00018990";"Шампунь против перхоти для мужчин Head & Shoulders Ultra Максимальный контроль над жирностью волос и кожи головы с активными добавками прекрасно ухаживает за волосами и кожей головы, оправдывая ожидания даже очень требовательных мужчин. Этот шампунь против перхоти с добавлением активных веществ превосходно очищает кожу головы и волосы. Серия шампуней для мужчин Head & Shoulders Ultra обеспечивает 100%-ную защиту от перхоти (видимые чешуйки, при регулярном применении).
Способ применения<br>
Для ежедневного использования. Хорошо встряхните перед использованием. Нанесите на кожу головы и по всей длине волос аккуратными массирующими движениями. Смойте и при желании повторите.<br>
Состав<br>
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Cocamide MEA, Zinc Carbonate, Glycol Distearate, Zinc Pyrithione, Sodium Xylenesulfonate, Dimethicone, Parfum, Cetyl Alcohol, Guar Hydroxypropyltrimonium Chloride, Menthol, Sodium Chloride, Hydrochloric Acid, Glycerin, Magnesium Sulfate, Sodium Benzoate, Sodium Hydroxide, Magnesium Carbonate Hydroxide, Hexyl Cinnamal, Benzyl Alcohol, Limonene, Benzyl Salicylate, Propylene Glycol, Magnesium Nitrate, Citronellol, Paraffinum Liquidum, Citrus Limon Fruit Extract, Sodium Polynaphthalenesulfonate, CI 19140, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone, CI 42090";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-kontrol-nad-zhirnostyu-dlya-muzhchin-400-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330947;HEAD & SHOULDERS шампунь Supreme Увлажнение 300 мл;1;242;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Серия:Supreme;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Страна происхождения:Франция;
(Характеристики товара)EAN:8001090678348;
(Характеристики товара)Объем:300 мл;
(Характеристики товара)Код товара:CB-00027270";"Линия Head & Shoulders Supreme была создана с учетом особенностей женских волос. Эта потрясающая линия шампуней и бальзамов-ополаскивателей против перхоти обеспечивает интенсивное увлажнение и долгосрочную защиту от перхоти.
<br>
Aqua, Sodium Laureth Sulfate, Sodium Lauryl Sulfate, Sodium Chloride, Sodium Xylenesulfonate, Cocamidopropyl Betaine, Glycol Distearate, Piroctone Olamine, Dimethiconol, Sodium Citrate, Parfum, Dimethicone, Citric Acid, TEA-Dodecylbenzenesulfonate, Sodium Benzoate, Guar Hydroxypropyltrimonium Chloride, Trideceth-10, Hexyl Cinnamal, Tetrasodium EDTA, Sodium Hydroxide, Linalool, Hydroxycitronellal, Magnesium Nitrate, Argania Spinosa Kernel Oil, Triethylene Glycol, Propylene Glycol, Methylchloroisothiazolinone, Magnesium Chloride, Methylisothiazolinone";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-supreme-uvlazhnenie-300-ml.jpg;279
Средства гигиены/Душ и ванная/Шампуни;Средства гигиены/Душ и ванная/Шампуни;330948;HEAD & SHOULDERS Шампунь Sports Fresh 200 мл;1;146;"(Характеристики товара)Тип товара:Шампунь;
(Характеристики товара)Бренд:HEAD & SHOULDERS;
(Характеристики товара)Для кого:Для взрослых;
(Характеристики товара)Назначение:От перхоти;
(Характеристики товара)Страна происхождения:Румыния;
(Характеристики товара)EAN:5410076686704;
(Характеристики товара)Объем:200 мл;
(Характеристики товара)Код товара:00000041002";"<p>Шампунь против перхоти охлаждает кожу головы, очищает волосы и восстанавливает, оздоравливает кожу головы. Подходит для ежедневного использования.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Для регулярного ухода
<li>От перхоти
<br>
Состав: Вода, лаурилсульфат натрия, натрия лауретсульфат, дистеарат гликоля, карбонат цинка, хлорид натрия, ксиленсульфонат натрия, кокамидопропилбетаин, диметикон, отдушка, бензоат натрия, хлорид гуаргидроксипропилтримония, гидроксид карбоната магния, метилхлороизотиазолин, метилизотиазолин, синий 1, желтый 5.";HEAD & SHOULDERS;/storage/photo/original/a/head-shoulders-shampun-sports-fresh-200-ml.jpg;163
