Категории;Основная категория;Артикул;Короткое название;Показывать товар;Трансазия;Характеристики;Описание;Бренд;Фотографии;Цена_Розничная
Детские товары/Подгузники и пеленание/Впитывающие пеленки;Детские товары/Подгузники и пеленание/Впитывающие пеленки;710516;HELEN HARPER Детские впитывающие пеленки Soft & Dry 60x60 30 шт;1;427;"(Характеристики товара)Тип товара:Пеленки;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:60x60 см;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416032281;
(Характеристики товара)Количество:30 шт;
(Характеристики товара)Код товара:CB-00015803";"Пеленки одноразовые впитывающие Helen Harper не пропускают влагу, и не скользят. Служат дополнительной защитой от влаги во время сна, переодеваний или смены подгузника, посещений врача и детских поликлиник, или для комфорта в гостях.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Размер 60х60 сантиметров
<li>Не ароматизированные
<li>Не пропускают воду";HELEN HARPER;/storage/photo/original/a/helen-harper-detskie-vpitivayushie-pelenki-soft-dry-60x60-30-sht.jpg;534
Детские товары/Подгузники и пеленание/Впитывающие пеленки;Детские товары/Подгузники и пеленание/Впитывающие пеленки;710517;HELEN HARPER пеленки впитывающие Soft & Dry 60x90 30 шт;1;542;"(Характеристики товара)Тип товара:Пеленки;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:60x90 см;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416043553;
(Характеристики товара)Количество:30 шт;
(Характеристики товара)Код товара:CB-00023478";"Пеленки одноразовые впитывающие Helen Harper не пропускают влагу, и не скользят. Служат дополнительной защитой от влаги во время сна, переодеваний или смены подгузника, посещений врача и детских поликлиник, или для комфорта в гостях.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Размер 90х60 сантиметров
<li>Не ароматизированные
<li>Не пропускают воду";HELEN HARPER;/storage/photo/original/a/helen-harper-pelenki-vpitivayushie-soft-dry-60x90-30-sht.jpg;678
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710518;HELEN HARPER подгузники Soft & Dry 5 (11 - 25 кг) 60 шт;1;853;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:ЧЕШСКАЯ РЕСПУБЛИКА;
(Характеристики товара)Упаковка:41 - 80 шт;
(Характеристики товара)Вес ребенка:11 кг, 12 кг, 13 кг, 14 кг, 15 кг и более ;
(Характеристики товара)EAN:5411416031802;
(Характеристики товара)Количество:60 шт;
(Характеристики товара)Код товара:CB-00012362";"<p>Детские подгузники Helen Harper Soft & Dry, удобной формы с прочными тянущимися застежками-липучками на боковинках, резиночки на ногах предотвращают протекания. Тонкий, сделан из дышащего материала, не мешает ребенку. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывает аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Прочные тянущиеся застежки-липучки на боковинках, мягкие резиночки на ногах
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-soft-dry-5-11-25-kg-60-sht.jpg;1034
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710519;HELEN HARPER трусики-подгузники Soft&Dry Pants Junior 5 (12-18 кг) 64 шт;1;1044;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416054719;
(Характеристики товара)Количество:64 шт;
(Характеристики товара)Код товара:CB-00043124";"<p>Трусики Helen Harper Soft&Dry – это хорошее качество по выгодной цене.Малышу будет СУХО и КОМФОРТНО. Трусики мягкие снаружи и внутри, прекрасно впитывают и защищают от протеканий. Дышащий внешний слой обеспечивает постоянный доступ воздуха, препятствуя возникновению раздражений.
</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо сидят</li><li>Прекрасно впитывают и защищают от протеканий</li><li>Мягкие, позволяют коже дышать</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-trusiki-podguzniki-softdry-pants-junior-5-12-18-kg-64-sht.jpg;1266
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710520;HELEN HARPER трусики-подгузники Soft&Dry XL 6 (18+ кг) 44 шт;1;831;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:6 (Extra Large);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416054757;
(Характеристики товара)Количество:44 шт;
(Характеристики товара)Код товара:CB-00042532";"<p>Helen Harper Трусики-подгузники Soft&Dry  – это хорошее качество по выгодной цене.
Малышу будет cухо и комфортно. Трусики мягкие снаружи и внутри, прекрасно впитывают и защищают от протеканий. Дышащий внешний слой обеспечивает постоянный доступ воздуха, препятствуя возникновению раздражений.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо сидят</li><li>Прекрасно впитывают и защищают от протеканий</li><li>Мягкие, позволяют коже дышать</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-trusiki-podguzniki-softdry-xl-6-18-kg-44-sht.jpg;1008
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710521;HELEN HARPER детские подгузники Soft & Dry Midi (4-9кг) 80 шт;1;981;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416032847;
(Характеристики товара)Количество:80 шт;
(Характеристики товара)Код товара:CB-00044965";"<p>Подгузники Helen Harper Soft&Dry – это современный, качественный  продукт по доступной цене. Он разработан по новейшим технологиям под контролем специалистов.
Внутренний слой превращает жидкость в гель и надежно удерживает ее внутри.
Анатомическая форма обеспечивает идеальное прилегание и защиту от протеканий.
Эластичные боковинки позволяют малышу чувствовать себя комфортно, многоразовые липучки помогают правильно зафиксировать подгузник.
Дышащий внешний слой обеспечивает циркуляцию воздуха, защищая кожу от раздражений.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо впитывают и не протекают</li><li>Анатомическая форма и эластичные боковинки</li><li>Многоразовые липучки</li><li>Дышащий внешний слой</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-detskie-podguzniki-soft-dry-midi-4-9kg-80-sht.jpg;1190
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710522;HELEN HARPER трусики-подгузники Soft&Dry Pants Maxi 4 (8-13 кг) 72 шт;1;1044;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:4 (Maxi);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416054696;
(Характеристики товара)Количество:72 шт;
(Характеристики товара)Код товара:CB-00043123";"<p>Трусики Helen Harper Soft&Dry – это хорошее качество по выгодной цене.Малышу будет СУХО и КОМФОРТНО. Трусики мягкие снаружи и внутри, прекрасно впитывают и защищают от протеканий. Дышащий внешний слой обеспечивает постоянный доступ воздуха, препятствуя возникновению раздражений.
</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо сидят</li><li>Прекрасно впитывают и защищают от протеканий</li><li>Мягкие, позволяют коже дышать</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-trusiki-podguzniki-softdry-pants-maxi-4-8-13-kg-72-sht.jpg;1266
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710523;HELEN HARPER трусики-подгузники Soft&Dry Maxi 4 (8-13кг) 50 шт;1;831;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:4 (Maxi);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416043744;
(Характеристики товара)Количество:50 шт;
(Характеристики товара)Код товара:CB-00030814";"<p>Helen Harper Трусики-подгузники Soft&Dry  – это хорошее качество по выгодной цене.
Малышу будет cухо и комфортно. Трусики мягкие снаружи и внутри, прекрасно впитывают и защищают от протеканий. Дышащий внешний слой обеспечивает постоянный доступ воздуха, препятствуя возникновению раздражений.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо сидят</li><li>Прекрасно впитывают и защищают от протеканий</li><li>Мягкие, позволяют коже дышать</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-trusiki-podguzniki-softdry-maxi-4-8-13kg-50-sht.jpg;1008
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710524;HELEN HARPER трусики-подгузники Soft&Dry Junior 5 (12-18кг) 46 шт;1;831;"(Характеристики товара)Тип товара:Трусики;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:5411416043782;
(Характеристики товара)Количество:46 шт;
(Характеристики товара)Код товара:CB-00031285";"<p>Helen Harper Трусики-подгузники Soft&Dry  – это хорошее качество по выгодной цене.
Малышу будет cухо и комфортно. Трусики мягкие снаружи и внутри, прекрасно впитывают и защищают от протеканий. Дышащий внешний слой обеспечивает постоянный доступ воздуха, препятствуя возникновению раздражений.</p><br><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Хорошо сидят</li><li>Прекрасно впитывают и защищают от протеканий</li><li>Мягкие, позволяют коже дышать</li>";HELEN HARPER;/storage/photo/original/a/helen-harper-trusiki-podguzniki-softdry-junior-5-12-18kg-46-sht.jpg;1008
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710525;HELEN HARPER подгузники Soft & Dry 5 (11 - 25 кг) 10 шт;1;157;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Упаковка:До 40 шт;
(Характеристики товара)Вес ребенка:11 кг, 12 кг, 13 кг, 14 кг, 15 кг и более ;
(Характеристики товара)EAN:5411416022510;
(Характеристики товара)Количество:10 шт;
(Характеристики товара)Код товара:CB-00000986";"<p>Детские подгузники Helen Harper Soft & Dry, удобной формы с прочными тянущимися застежками-липучками на боковинках, резиночки на ногах предотвращают протекания. Тонкий, сделан из дышащего материала, не мешает ребенку. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывает аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Прочные тянущиеся застежки-липучки на боковинках, мягкие резиночки на ногах
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-soft-dry-5-11-25-kg-10-sht.jpg;196
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710526;HELEN HARPER подгузники Soft & Dry 5 (15 - 25 кг) 44 шт;1;628;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:5 (Junior);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Упаковка:41 - 80 шт;
(Характеристики товара)Вес ребенка:15 кг и более ;
(Характеристики товара)EAN:5411416022541;
(Характеристики товара)Количество:44 шт;
(Характеристики товара)Код товара:CB-00000990";"<p>Детские подгузники Helen Harper Soft & Dry, удобной формы с прочными тянущимися застежками-липучками на боковинках, резиночки на ногах предотвращают протекания. Тонкий, сделан из дышащего материала, не мешает ребенку. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывает аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Прочные тянущиеся застежки-липучки на боковинках, мягкие резиночки на ногах
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-soft-dry-5-15-25-kg-44-sht.jpg;761
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710527;HELEN HARPER подгузники Soft & Dry 4 (9 - 18 кг) 12 шт;1;157;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:4 (Maxi);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Упаковка:До 40 шт;
(Характеристики товара)Вес ребенка:9 кг, 10 кг, 11 кг, 12 кг, 13 кг, 14 кг, 15 кг и более ;
(Характеристики товара)EAN:5411416022503;
(Характеристики товара)Количество:12 шт;
(Характеристики товара)Код товара:CB-00000985";"<p>Детские подгузники Helen Harper Soft & Dry, удобной формы с прочными тянущимися застежками-липучками на боковинках, резиночки на ногах предотвращают протекания. Тонкий, сделан из дышащего материала, не мешает ребенку. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывает аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Прочные тянущиеся застежки-липучки на боковинках, мягкие резиночки на ногах
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-soft-dry-4-9-18-kg-12-sht.jpg;196
Детские товары/Подгузники и пеленание/Подгузники и трусики;Детские товары/Подгузники и пеленание/Подгузники и трусики;710528;HELEN HARPER подгузники Soft & Dry 4 (7 - 18 кг) 72 шт;1;853;"(Характеристики товара)Тип товара:Подгузники;
(Характеристики товара)Бренд:HELEN HARPER;
(Характеристики товара)Серия:Soft & Dry;
(Характеристики товара)Размер:4 (Maxi);
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)Упаковка:41 - 80 шт;
(Характеристики товара)Вес ребенка:7 кг, 8 кг, 9 кг, 10 кг, 11 кг, 12 кг, 13 кг, 14 кг, 15 кг и более ;
(Характеристики товара)EAN:5411416031789;
(Характеристики товара)Количество:72 шт;
(Характеристики товара)Код товара:CB-00012361";"<p>Детские подгузники Helen Harper Soft & Dry, удобной формы с прочными тянущимися застежками-липучками на боковинках, резиночки на ногах предотвращают протекания. Тонкий, сделан из дышащего материала, не мешает ребенку. Абсорбент надежно запирает влагу внутри подгузника в виде геля. Без отдушек и не вызывает аллергию.</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Хорошая защита от протекания
<li>Удобная анатомическая форма
<li>Мягкий дышащий материал
<li>Абсорбент превращается в гель
<li>Прочные тянущиеся застежки-липучки на боковинках, мягкие резиночки на ногах
<li>Гипоаллергенные, не ароматизированные";HELEN HARPER;/storage/photo/original/a/helen-harper-podguzniki-soft-dry-4-7-18-kg-72-sht.jpg;1034
