"Цена_АмизянЦена_Розничная";;"Остаток";"Артикул"
180,31;252,434;16;110223
180,31;252,434;29;110225
180,31;252,434;39;110224
184,26;257,964;836;110114
184,8;258,72;102;121008
184,8;258,72;110;121019
184,8;258,72;164;121006
185,76;260,064;262;110241
192,1;268,94;1044;120092
198,32;277,648;10;124018
198,34;277,676;95;124021
202,81;283,934;122;124013
207,16;290,024;2024;120104
210,94;295,316;55;127005
212,01;296,814;9;110117
212,34;297,276;1241;170376
216,08;302,512;402;110139
216,2;302,68;682;110200
220,38;308,532;78;124033
220,38;308,532;108;124016
224,27;313,978;79;124024
227,55;318,57;1;110148
234,92;328,888;2;160115
234,92;328,888;11;160112
238,65;334,11;152;110279
238,84;334,376;10;160107
240,88;337,232;70;110257
250,18;350,252;206;110230
272,84;381,976;91;110250
272,84;381,976;136;110248
275,64;385,896;37;110249
278,17;389,438;28;110251
280,08;392,112;41;110072
293,67;411,138;36;110076
299,33;419,062;96;110175
310,75;413,2975;1024;110203
313,68;417,1944;10;124011
313,68;417,1944;41;124012
321,9;428,127;97;110288
339,94;452,1202;65;110252
346,89;461,3637;44;110244
394,05;524,0865;252;110057
398,23;529,6459;76;110220
408,18;542,8794;14;110195
419,1;557,403;511;110174
434,57;577,9781;216;110306
457,08;607,9164;115;110056
459,77;611,4941;4;121017
460,88;612,9704;98;110073
466,2;620,046;150;110289
466,2;620,046;714;110276
481,75;640,7275;26;110258
509,14;677,1562;46;110222
524,79;697,9707;33;110074
657,11;873,9563;296;110277
740,83;985,3039;173;110285
;;52;140282
