Артикул;Остаток;Амизян
120077;892;67.8
120079;2616;67.8
120080;67;122.04
120083;381;60.1
120084;254;60.1
120085;383;60.1
120086;78;206.82
120087;1018;60.1
120088;2583;60.1
120089;1173;172.89
120090;20;207.16
120091;3774;60.1
120092;173;197.75
120093;429;60.1
120094;959;60.1
120096;2051;60.1
120097;300;57.63
120098;438;57.63
120099;79;68.78
120100;497;60.1
120101;420;57.63
120102;1359;60.1
120103;993;67.8
120104;76;207.16
120105;2936;58.2
120106;747;197.75
120107;1903;60.1
120108;1099;57.63
