Артикул;Остаток;Амизян
610402;3044;17.57
610406;1913;17.57
610412;1740;17.57
610413;1729;17.57
610398;901;17.57
610399;2003;17.57
610401;1672;17.57
610400;2792;17.57
610405;1775;17.57
610353;17027;12.53
610352;16204;12.53
610359;14142;12.53
610358;14506;12.53
610357;18180;12.1
610355;12217;12.1
610354;25039;12.53
610356;11620;12.53
610128;28;74.8
610129;70;221.18
610131;111;221.18
620067;44;533.89
620069;68;148.39
620363;30;92.19
620300;127;14.49
620360;203;57.37
620359;69;52.55
