"Сопутствующие товары";"Похожие товары";"Показывать товар";"Категории";"Минимум";"Основная категория";"Артикул";"Короткое название";"Характеристики";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Описание товара"
"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";1;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей;
Новинки";;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей";570273;"MAYBELLINE тушь для бровей Precise Fiber 05 Коричневый";"(Характеристики товара (Косметика и уход))Тип товара:Тушь для бровей;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Серия:Precise Fiber;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Италия;
(Характеристики товара (Косметика и уход))EAN:3600531355463;
(Характеристики товара (Косметика и уход))Количество:1 шт;
(Характеристики товара (Косметика и уход))Код товара:CB-00019894";"MAYBELLINE";386;482;"/storage/photo/original/e/maybelline-tush-dlya-brovej-precise-fiber-05-korichnevij.png";"<p>
Первая тушь для бровей с микроволокнами для объемных и густых бровей. Благодаря щеточке с микроволокнами тушь заполняет пробелы и создает 3D-объем. Гелевая формула придает густоту бровям и равномерно окрашивает волоски. Для наилучшего результата: Начни прокрашивать бровь снизу вверх до изгиба брови, а затем проведи щеточкой в сторону по направлению к кончику. Твои брови объемные и густые, как никогда!</p>
<br>"
"LOREAL консилер-хайлайтер True Match Touch Magique 3,5N natural beige;MAYBELLINE помада для губ Color Sensational Matte Матовое искушение 988 Темный каштан;LOREAL пудра Infaillible 123 теплый ванильный";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;AXE подарочный набор Signature аэрозольный антиперспирант Защита от пятен 150 мл + Гель для душа 2в1 Гладкое очищение 250 мл + Спрей-парфюм 100 мл;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл";1;"Косметика и Уход/Макияж/Тон и основа под макияж;
Новинки";;"Косметика и Уход/Макияж/Тон и основа под макияж";570274;"MAYBELLINE тональный крем Super Stay 24 H оттенок 30 золотисто-бежевый 300 мл";"(Характеристики товара (Косметика и уход))Тип товара:Тональный крем;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Франция;
(Характеристики товара (Косметика и уход))EAN:3600531273880;
(Характеристики товара (Косметика и уход))Объем:30 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00014843";"MAYBELLINE";462;578;"/storage/photo/original/e/maybelline-tonalnij-krem-super-stay-24-h-ottenok-30-zolotisto-bezhevij-300-ml.png";"<p>
Тональный крем для лица со стойкостью 24 часа и плотным покрытием благодаря концентрированным пигментам. Благодаря технологии Микро-флекс и """"пигментам свежести"""" новый тональный крем выдерживает прикосновения рук, телефонные звонки и непогоду. Суперстойкое покрытие, которое остается безупречным весь день. Данный оттенок подходит светлой коже с нейтральным подтоном.</p>
<br>
Состав:
Сyclopen- tasiloxane, aqua / water, polypro- pylsilses- quioxane, isododec- ane, dimethicone, c30-45 alkyldi- methylsilyl polypropyl- silsesquiox- ane, peg-10 dimethicone, glycerin, silica, dimethicone/polyglycerin-3 crosspolymer, sodium chloride, nylon-12, phenoxyethanol, disteardimonium hectorite, disodium stearoyl glutamate, cyclomethicone, chlorphenesin, ethylparaben, disodium edta, acrylonitrile/methyl methacrylate/vinylidene chloride copolymer, aluminum hydroxide, dipropylene glycol, isobutane, paraffin, sodium citrate, tocopherol, isopropyl alcohol. [+/- may contain ci 77891 / titanium dioxide, ci 77491, ci 77492, ci 77499 / iron oxides].
<br>"
"LOVULAR влажные фито-салфетки для груди, сосок, пустышек 40 шт;ЧИСТЮЛЯ Салфетки целлюлозные для кухни 3 шт;PAMPERS подгузники Active Baby 4 (8 - 14 кг) 20 шт";;1;"Средства гигиены/Салфетки, бумажная продукция/Бумажные салфетки, полотенца, платочки;
Новинки";6;"Средства гигиены/Салфетки, бумажная продукция/Бумажные салфетки, полотенца, платочки";380204;"KLEENEX носовые платочки Клубника 10 шт";"(Характеристики товара (Средства гигиены))Тип товара:Носовые платки;
(Характеристики товара (Средства гигиены))Бренд:KLEENEX;
(Характеристики товара (Средства гигиены))Страна происхождения:Венгрия;
(Характеристики товара (Средства гигиены))EAN:5029053028323;
(Характеристики товара (Средства гигиены))Количество:10 шт;
(Характеристики товара (Средства гигиены))Код товара:CB-00050208";"KLEENEX";9;11;"/storage/photo/original/e/kleenex-nosovie-platochki-klubnika-10-sht.png";"<p>
Гигиенические носовые платки KLEENEX предназначены для каждодневного использования. Носовые платки универсальны в плане использования. Их применяют не только для гигиенических целей в период сезонных заболеваний, но и для удаления загрязнений, а также упаковывания продуктов в походных условиях. Каждая упаковка бумажных платочков оснащена специальным клапаном для удобного отрывания. Бумажные носовые платки компактны и их удобно носить в дамской сумочке, кошельке или даже кармане. Очень мягкие на ощупь, они обязательно подарят вам ощущение чистоты и свежести на весь день.
</p>"
"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";1;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;
Новинки";;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ";570270;"MAYBELLINE губная помада Color Sensational Powder Matte Пудровая коллекция 35 Чувственный Бежевый";"(Характеристики товара (Косметика и уход))Тип товара:Губная помада;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Серия:Sensational ;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Китай;
(Характеристики товара (Косметика и уход))EAN:3600531464295;
(Характеристики товара (Косметика и уход))Вес:4 г;
(Характеристики товара (Косметика и уход))Код товара:CB-00035026";"MAYBELLINE";412;515;"/storage/photo/original/e/maybelline-gubnaya-pomada-color-sensational-powder-matte-pudrovaya-kollekciya-35-chuvstvennij-bezhevij.png";"<p>
Новая трендовая коллекция супер матовых пудровых помад Color Sensational! Содержат матовые пигменты, которые обеспечивают чистый глубокий цвет на губах с пудровым матовым финишем. Кремовая текстура помад, обогащенная увлажняющими ингредиентами, наносится гладким слоем и не пересушивает губы.</p>
<br>
Состав:
ISONONYL ISONONANOATE, OCTYLDODECANOL, OLEYL ERUCATE, SILICA, CERA ALBA / BEESWAX, PHENYL TRIMETHICONE, SYNTHETIC WAX, SESAMUM INDICUM OIL / SESAME SEED OIL, PEG-45/DODECYL GLYCOL COPOLYMER, PARAFFIN, CERA MICROCRISTALLINA / MICROCRYSTALLINE WAX, KAOLIN, DISTEARDIMONIUM HECTORITE, DIMETHICONE, TOCOPHERYL ACETATE, PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDRO- CINNAMATE, ALUMINA, CALCIUM ALUMINUM BOROSILICATE, SYNTHETIC FLUORPHLOGOPITE, HEXYL CINNAMAL, CALCIUM SODIUM BOROSILICATE, POLYETHYLENE TEREPHTHALATE, MEL / HONEY, METHYL-2-OCTYNOATE, COUMARIN, ALUMINUM HYDROXIDE, ACRYLATES COPOLYMER, LIMONENE, ANISE ALCOHOL, LINALOOL, TIN OXIDE, PARFUM / FRAGRANCE [+/- MAY CONTAIN: MICA, CI 77891 / TITANIUM DIOXIDE, CI 77491, CI 77492, CI 77499 / IRON OXIDES, CI 45380 / RED 22 LAKE, CI 15850 / RED 7, CI 45410 / RED 28 LAKE, CI 15985 / YELLOW 6 LAKE, CI 19140 / YELLOW 5 LAKE, CI 75470 / CARMINE, CI 42090 / BLUE 1 LAKE]. (F.I.L. D171525/1).
<br>"
"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";1;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ;
Новинки";;"Косметика и Уход/Макияж/Губная помада, блеск, контур для губ";570271;"MAYBELLINE помада для губ Color Sensational Matte Матовое искушение 988 Темный каштан";"(Характеристики товара (Косметика и уход))Тип товара:Губная помада;
(Характеристики товара (Косметика и уход))Бренд:MAYBELLINE;
(Характеристики товара (Косметика и уход))Серия:Sensational ;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Франция;
(Характеристики товара (Косметика и уход))EAN:3600531364557;
(Характеристики товара (Косметика и уход))Вес:4 г;
(Характеристики товара (Косметика и уход))Код товара:CB-00019895";"MAYBELLINE";412;515;"/storage/photo/original/e/maybelline-pomada-dlya-gub-color-sensational-matte-matovoe-iskushenie-988-temnij-kashtan.png";"<p>
Настоящая роскошь для твоих губ! Яркие оттенки с бархатным матовым эффектом наносятся легким движением. Нежная кремовая формула смягчает и разглаживает кожу губ. Восемь ультрамодных матовых оттенков для смелых и ярких образов. Начни наносить жидкую матовую помаду с центра верхней губы. Повторяя контур верхней губы, прокрась ее от центра к уголкам. Мягким движением нанеси помаду на всю поверхность нижней губы </p>
<br>"
"MAYBELLINE тушь для ресниц Lash Sensational Веерный Объем черная;MAYBELLINE тушь для бровей Precise Fiber 05 Коричневый;LOREAL консилер-хайлайтер True Match Touch Magique 3,5N natural beige";"DURU подарочный набор Natures Treasures кремы для рук 3 шт;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;ПРЕЛЕСТЬ подарочный набор Эффект памяти Лак для волос 300 мл + Мусс для волос 160 мл + резинка для волос 2 шт";1;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей;
Новинки";;"Косметика и Уход/Макияж/Карандаши и подводка для глаз и бровей";570272;"LOREAL карандаш для глаз Infaillible Gel Crayon 24H Waterproof 01 Черный";"(Характеристики товара (Косметика и уход))Тип товара:Карандаш для глаз;
(Характеристики товара (Косметика и уход))Бренд:LOREAL;
(Характеристики товара (Косметика и уход))Серия:Infaillible ;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:Германия;
(Характеристики товара (Косметика и уход))EAN:3600523351497;
(Характеристики товара (Косметика и уход))Количество:1 шт;
(Характеристики товара (Косметика и уход))Код товара:CB-00048517";"LOREAL";531;664;"/storage/photo/original/e/loreal-karandash-dlya-glaz-infaillible-gel-crayon-24h-waterproof-01-chernij.png";"<p>
Карандаш для глаз Infaillible от LOREAL легко наносится и весь день остается на веках благодаря плотной гелевой текстуре. Широкая палитра оттенков позволяет создавать новые образы каждый день. Формула подходит для подводки внутреннего века. Роскошный черный оттенок, с холодным подтоном. Карандаш может стать отличной заменой базовой черной подводки для голубоглазых девушек с неконтрастной внешностью. Мягкий и насыщенный, цвет дает полную свободу в выборе образа — он хорошо дополнит как неброский дневной, так и драматичный вечерний макияж.</p>
<br>"
"OIL ULTIME скраб для волос Oil-in-Scrub Масляный 250 мл;FA гель для душа Энергия&Витамины Розовый Грейпфрут 750 мл;WELLATON крем-краска для волос стойкая Экзотический красный 55/46";;1;"Косметика и Уход/Уход за волосами/Средства для укладки и моделирования;
Новинки";;"Косметика и Уход/Уход за волосами/Средства для укладки и моделирования";570284;"ПРЕЛЕСТЬ подарочный набор Professional Эффект памяти лак для волос 300 мл + мусс для волос 160 мл";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд:ПРЕЛЕСТЬ;
(Характеристики товара (Косметика и уход))Серия:Professional;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4600104032776;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00048505";"ПРЕЛЕСТЬ";311;389;"/storage/photo/original/e/prelest-podarochnij-nabor-professional-effekt-pamyati-lak-dlya-volos-300-ml-muss-dlya-volos-160-ml.png";"<p>
В состав набора входит лак для волос «Прелесть Professional» «Эффект памяти» сверхсильной фиксации для любого типа волос (300 мл). Мусс для укладки волос «Прелесть Professional» «Эффект памяти» сверхсильной фиксации для любого типа волос (160 мл).
Прелесть Professional представляет инновационную серию средств для укладки волос - «Эффект памяти». Продукты линейки содержат уникальные фиксирующие компоненты, позволяющие надежно зафиксировать прическу, «запомнить» зафиксированное положение и восстановить форму и объем прически даже после деформации (во время сна, под воздействием ветра). Сверхсильная фиксация укладки до 24 часов. Восстанавливает форму и объем прически. Не склеивает пряди и не оставляет липких следов на волосах. Натуральный экстракт бамбука и провитамин В5 повышают упругость волос, придают волосам дополнительную силу и блеск. UV-фильтр защищает волосы от негативного воздействия внешней среды. Серия «Эффект памяти» подойдёт для любого типа волос и незаменима при создании роскошной и неотразимой укладки.</p>
<br>"
"VENUS подарочный набор Spa станок для бритья с 1 сменной кассетой + расческа;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;SHAMTU подарочный набор  Питание и сила Экстракт фруктов Шампунь 360 мл + Бальзам для волос 200 мл + Косметичка";"GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;GILLETTE подарочный набор Fusion гель для бритья Hydrating 200 мл + бальзам после бритья Pro 3 в 1 50 мл;GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл";1;"Косметика и Уход/Подарочные наборы/Для мужчин;
Новинки";;"Косметика и Уход/Подарочные наборы/Для мужчин";570275;"AXE подарочный набор Signature аэрозольный антиперспирант Защита от пятен 150 мл + Гель для душа 2в1 Гладкое очищение 250 мл + Спрей-парфюм 100 мл";"(Характеристики товара (Косметика и уход))Тип товара:Подарочный набор;
(Характеристики товара (Косметика и уход))Бренд:AXE;
(Характеристики товара (Косметика и уход))Серия:Signature;
(Характеристики товара (Косметика и уход))Для кого:Для мужчин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:8714100921432;
(Характеристики товара (Косметика и уход))Количество:1 компл;
(Характеристики товара (Косметика и уход))Код товара:CB-00048495";"AXE";567;709;"/storage/photo/original/e/axe-podarochnij-nabor-signature-aerozolnij-antiperspirant-zashita-ot-pyaten-150-ml-gel-dlya-dusha-2v1-gladkoe-ochishenie-250-ml-sprej-parfyum-100-ml.png";"<p>
Освежи свой стиль с подарочным набором АXE Сигнейчер! АXE борется со стереотипами, помогает мужчинам найти и показать свою индивидуальность. Мы заявляем: «Не важно, где ты живешь, сколько у тебя денег, какие у тебя взгляды на жизнь, не важно, что думают остальные - главное, что ты это ты. Будь оригинальной версией себя, а не копией кого-то». Аэрозольные мужские дезодоранты - для тех, кто ценит легкость и привык брать с собой в путешествие, на веселые вечеринки букет из удивительным ароматов, то есть настоящих романтиков, гелевые мужские антиперспиранты - для отчаянных сорвиголов, спортсменов, которые не признают компромиссов. Выбирай свой набор AXE. Будь готов к любой ситуации. Скажи """"НЕТ""""- белым следам на одежде, ощущению стянутости кожи. Только удивительная свежесть! В дополнение к лучшим мужским антиперспирантам - пенистые шампуни. Сколько ароматов - столько и оттенков, которые разбавляют ваш повседневный гардероб. «Девайсы» в арсенал секретного оружия обольщения. Гель для душа АXE Гладкое очищение. Очищает и делает кожу гладкой. Насыщен ароматами кедра и бергамота.</p>
<br>"
"VORTEX очиститель от следов скотча и наклеек Antistick 1 л;КОНТАКТ Обувной клей водостойкий 30 мл;SALTON антиперспирант для ног 2 в 1 Feet Only Lady с маслом Ши и экстрактом Лотоса";"МОЯ ПРЕЛЕСТЬ гигиеническая помада Чудо-вишенка для детей 1 шт;LOREAL Пудра Alliance Perfect Совершенное слияние D3 Светло-бежевый золотистый;MAYBELLINE губная помада Hydra Extreme 175 мисс нежность";1;"Бытовая химия/Уход за обувью и одеждой/Аксессуары для обуви и одежды;
Новинки";2;"Бытовая химия/Уход за обувью и одеждой/Аксессуары для обуви и одежды";460456;"ШТРИХ губка для обуви Компакт коричневый";"(Характеристики товара (Бытовая химия))Тип товара:Для обуви;
(Характеристики товара (Бытовая химия))Бренд:ШТРИХ;
(Характеристики товара (Бытовая химия))Серия:Компакт;
(Характеристики товара (Бытовая химия))Для кого:Для взрослых;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:4607007501491;
(Характеристики товара (Бытовая химия))Количество:1 шт;
(Характеристики товара (Бытовая химия))Код товара:CB-00027280";"ШТРИХ";23;29;"/storage/photo/original/e/shtrih-gubka-dlya-obuvi-kompakt-korichnevij.png";"<p>
Удобная в применении эргономичная губка Штрих """"Компакт"""" предназначена для обуви и изделий из кожи. Эффективно удаляет поверхностные загрязнения, восстанавливает первоначальный вид изделия, сохраняя структуру материала. Компактная упаковка губки легко поместиться в вашу сумку. Размер губки: 3,6 х 7 х 3 см. Товар сертифицирован.</p>
<br>"
"VORTEX очиститель от следов скотча и наклеек Antistick 1 л;КОНТАКТ Обувной клей водостойкий 30 мл;SALTON антиперспирант для ног 2 в 1 Feet Only Lady с маслом Ши и экстрактом Лотоса";"МОЯ ПРЕЛЕСТЬ гигиеническая помада Чудо-вишенка для детей 1 шт;LOREAL Пудра Alliance Perfect Совершенное слияние D3 Светло-бежевый золотистый;MAYBELLINE губная помада Hydra Extreme 175 мисс нежность";1;"Бытовая химия/Стирка и уход за бельем;
Новинки";;"Бытовая химия/Стирка и уход за бельем";460457;"TIDE стиральный порошок Color Touch of Lenor Scent Автомат 4 кг";"(Характеристики товара (Бытовая химия))Тип товара:Стиральный порошок;
(Характеристики товара (Бытовая химия))Бренд:TIDE;
(Характеристики товара (Бытовая химия))Тип белья:Цветное;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Фасовка:4;
(Характеристики товара (Бытовая химия))EAN:8001090828446;
(Характеристики товара (Бытовая химия))Вес:4 кг;
(Характеристики товара (Бытовая химия))Код товара:CB-00041781";"TIDE";515;644;"/storage/photo/original/e/tide-stiralnij-poroshok-color-touch-of-lenor-scent-avtomat-4-kg.png";"<p>
Стиральный порошок Tide содержит уникальное сочетание элементов, которое позволяет значительно улучшить качество стирки при минимальном использовании порошка. Такая система позволяет с легкостью отстирывать даже сложные пятна от шоколада, муссов, кетчупа, майонеза, йогурта, крови, чая, кофе, соков и др. даже на таких проблемных местах, как воротнички и манжеты. А также сегодня благодаря своей новой формуле Tide позволяет добиваться великолепной белизны вещей без кипячения. Tide для машинной (автоматической) стирки обладает пониженным пенообразованием и предназначен специально для стирки в автоматических стиральных машинах. Он прекрасно отстирывает ваши вещи, и, кроме этого, содержит специальные компоненты, позволяющие защитить Вашу стиральную машину от образования накипи и известкового налета. Tide Автомат можно применять и для ручной стирки.</p>
<br>"
"VORTEX очиститель от следов скотча и наклеек Antistick 1 л;КОНТАКТ Обувной клей водостойкий 30 мл;SALTON антиперспирант для ног 2 в 1 Feet Only Lady с маслом Ши и экстрактом Лотоса";"МОЯ ПРЕЛЕСТЬ гигиеническая помада Чудо-вишенка для детей 1 шт;LOREAL Пудра Alliance Perfect Совершенное слияние D3 Светло-бежевый золотистый;MAYBELLINE губная помада Hydra Extreme 175 мисс нежность";1;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки;
Новинки";;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460458;"PERSIL гель для стирки Premium Для белого 1,22 л";"(Характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(Характеристики товара (Бытовая химия))Бренд:PERSIL;
(Характеристики товара (Бытовая химия))Серия:Premium;
(Характеристики товара (Бытовая химия))Тип белья:Белое;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))Тип стирки:Автомат;
(Характеристики товара (Бытовая химия))Фасовка:1,22;
(Характеристики товара (Бытовая химия))EAN:9000101404074;
(Характеристики товара (Бытовая химия))Объем:1,22 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00033835";"PERSIL";570;712;"/storage/photo/original/e/persil-gel-dlya-stirki-premium-dlya-belogo-122-l.png";"<p>
Persil Premium – это лучшая формула Persil, специально для сияющей чистоты белья. Откройте формулу нового поколения чистоты: безупречное удаление пятен благодаря эффективным пятновыводителям, длительная свежесть белья благодаря эксклюзивному аромату. Persil Premium-разница, которую можно почувствовать!</p>
<br>"
"VORTEX очиститель от следов скотча и наклеек Antistick 1 л;КОНТАКТ Обувной клей водостойкий 30 мл;SALTON антиперспирант для ног 2 в 1 Feet Only Lady с маслом Ши и экстрактом Лотоса";"МОЯ ПРЕЛЕСТЬ гигиеническая помада Чудо-вишенка для детей 1 шт;LOREAL Пудра Alliance Perfect Совершенное слияние D3 Светло-бежевый золотистый;MAYBELLINE губная помада Hydra Extreme 175 мисс нежность";1;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки;
Новинки";;"Бытовая химия/Стирка и уход за бельем/Порошки, гели, капсулы для стирки";460459;"PERSIL гель для стирки Color 1,46 л + VERNEL кондиционер для белья Детский 910 мл";"(Характеристики товара (Бытовая химия))Тип товара:Гель для стирки;
(Характеристики товара (Бытовая химия))Бренд:PERSIL;
(Характеристики товара (Бытовая химия))Серия:Color;
(Характеристики товара (Бытовая химия))Страна происхождения:РОССИЯ;
(Характеристики товара (Бытовая химия))EAN:9000101355369;
(Характеристики товара (Бытовая химия))Объем:1,46 л;
(Характеристики товара (Бытовая химия))Код товара:CB-00048103";"PERSIL";399;499;"/storage/photo/original/e/persil-gel-dlya-stirki-color-146-l-vernel-kondicioner-dlya-belya-detskij-910-ml.png";"<p>
Концентрированный универсальный гель для стирки. Эффективно отстирывает даже самые сложные пятна, благодаря входящему в его состав жидкому пятновыводителю. Предназначен для стирки всех типов тканей, кроме шерсти и шелка. Кондиционер для белья Vernel Детский придает белью невероятно нежный аромат и подходит для стирки детского белья. Продукт дерматологически протестирован и рекомендован Европейским центром исследования проблем аллергии (ECARF) для стирки белья людей с чувствительной кожей. Не содержит красителей. Продукт придает белью невероятную мягкость, делая его приятным на ощупь. Гладить белье становится намного легче, а сохнет оно намного быстрее. Средство также обладает антистатическим эффектом. Благодаря удобной крышке-дозатору Вы всегда будете знать, сколько средства необходимо добавить. Концентрированного средства хватает на длительное время (30 стирок)!</p>
<br>"
"LOREAL жидкая губная помада Infaillible Lip Paint Lacquer 101 Идеальный нюд;LOREAL пудра Infaillible 123 теплый ванильный;LOREAL тушь для ресниц Volumissime Gold черная 8 мл";"GILLETTE подарочный набор Fusion5 ProGlide Станок для бритья с 1 сменной кассетой + Гель для бритья 75 мл;GILLETTE подарочный набор Mach3 Станок для бритья с 1 сменной кассетой + Гель для бритья Экстракомфорт 75 мл;ПРЕЛЕСТЬ подарочный набор Ultra Power Лак для волос 300 мл + Мусс для укладки волос 160 мл + Маска для волос 100 мл";1;"Косметика и Уход/Уход за волосами/Шампуни;
Новинки";;"Косметика и Уход/Уход за волосами/Шампуни";570283;"R.T.H. шампунь Уход против перхоти 250 мл";"(Характеристики товара (Косметика и уход))Тип товара:Шампунь;
(Характеристики товара (Косметика и уход))Бренд:R.T.H.;
(Характеристики товара (Косметика и уход))Для кого:Для женщин;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:4604903000097;
(Характеристики товара (Косметика и уход))Объем:250 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00009797";"R.T.H.";286;358;"/storage/photo/original/e/rth.-shampun-uhod-protiv-perhoti-250-ml.png";"<p>
Шампунь R.T.H. Уход против перхоти предназначен для чувствительной кожи головы и волос, подверженных появлению перхоти. Содержит гликолевую кислоту, которая оказывает эффект деликатного пиллинга, благодаря очищению волос и кожи головы от омертвевших чешуек кожи. Шампунь от перхоти содержит двойной комплекс активных компонентов, таких как синергетически подобранная смесь из специальных препаратов против перхоти, пироктоламина и климбазола. Шампунь не только устраняет перхоть , но и предотвращает ее появление.</p>"
