"Артикул";"Трансазия_Зачеркнутая";"Цена_Трансазия";"Цена_Розничная";"Трансазия_от 3 шт."
"460204";"";"56";"70"
"460398";"";"86";"108"
"430411";"";"198";"248"
"460203";"";"92";"115"
"460211";"";"48";"60"
"460251";"";"126";"158"
"460209";"";"70";"88"
"460319";"";"98";"122"
"460214";"";"202";"252"
"460212";"";"48";"60"
"460216";"";"57";"71"
"460213";"";"115";"144"
"460207";"";"53";"66"
"460218";"";"195";"244"
"460215";"";"15";"19"
"460220";"";"21";"26"
"460228";"";"214";"268"
"460221";"";"63";"79"
"460222";"";"12";"15"
"460231";"";"77";"96"
"460320";"";"166";"208"
"460233";"";"53";"66"
"460219";"";"81";"101"
"460226";"";"228";"285"
"460232";"";"127";"159"
"460230";"";"225";"281"
"460439";"";"118";"148"
"460104";"";"236";"295"
"460224";"";"60";"75"
"460109";"";"136";"170"
"460116";"";"220";"275"
"460437";"";"147";"184"
"460225";"";"47";"59"
"460111";"";"269";"336"
"460108";"";"269";"336"
"460130";"";"281";"351"
"460110";"";"293";"366"
"460115";"";"220";"275"
"460127";"";"260";"325"
"460125";"";"205";"256"
"460123";"";"25";"31"
"460112";"";"236";"295"
"460120";"";"150";"188"
"460128";"";"113";"141"
"460149";"";"133";"166"
"460131";"";"80";"100"
"460106";"";"138";"172"
"460159";"";"133";"166"
"460160";"";"94";"118"
"460153";"";"23";"29"
"460141";"";"139";"174"
"460143";"";"185";"231"
"460166";"";"76";"95"
"460316";"";"120";"150"
"460144";"";"183";"229"
"460138";"";"206";"258"
"460168";"";"96";"120"
"460148";"";"157";"196"
"460155";"";"56";"70"
"460161";"";"138";"172"
"460163";"";"151";"189"
"460178";"";"25";"31"
"460162";"";"137";"171"
"460175";"";"130";"162"
"460146";"";"103";"129"
"460167";"";"144";"180"
"460154";"";"33";"41"
"460318";"";"21";"26"
"460170";"";"123";"154"
"460190";"";"64";"80"
"460317";"";"53";"66"
"460188";"";"211";"264"
"460181";"";"171";"214"
"460194";"";"141";"176"
"460186";"";"390";"488"
"460183";"";"66";"82"
"460193";"";"87";"109"
"460192";"";"52";"65"
"460195";"";"220";"275"
"460184";"";"283";"354"
"460199";"";"181";"226"
"460180";"";"95";"119"
"460196";"";"180";"225"
"460202";"";"82";"102"
"460201";"";"67";"84"
"460185";"";"212";"265"
"430140";"";"475";"594"
"460291";"";"114";"142"
"460187";"";"320";"400"
"430138";"";"210";"262"
"430144";"";"98";"122"
"430148";"";"54";"68"
"430515";"239";"195";"244"
"430141";"65";"39";"49"
"460292";"";"108";"135"
"430139";"";"210";"262"
"430142";"65";"39";"49"
"430110";"";"218";"272"
"430111";"";"218";"272"
"460288";"";"141";"176"
"430102";"";"219";"274"
"460238";"";"1262";"1578";"1224"
"430113";"";"195";"244"
"460287";"";"145";"181"
"430100";"275";"234";"292"
"460239";"";"277";"346"
"430106";"";"784";"980";"760"
"430107";"";"1128";"1410";"1094"
"430105";"";"79";"99"
"430003";"";"84";"105"
"430004";"";"84";"105"
"430126";"";"84";"105"
"460290";"";"84";"105"
"430127";"";"131";"164"
"460284";"";"131";"164"
"430115";"";"152";"190"
"460286";"";"84";"105"
"430128";"";"152";"190"
"430121";"";"224";"280"
"460289";"";"84";"105"
"430135";"";"174";"218"
"430131";"";"152";"190"
"430130";"";"152";"190"
"430132";"";"152";"190"
"420006";"93";"60";"75"
"430179";"93";"60";"75"
"460303";"158";"101";"126"
"430134";"";"188";"235"
"430180";"";"157";"196"
"460304";"93";"60";"75"
"430189";"158";"101";"126"
"430188";"93";"60";"75"
"430191";"158";"101";"126"
"430193";"48";"34";"42"
"430195";"48";"34";"42"
"430196";"85";"60";"75"
"420007";"93";"60";"75"
"460300";"158";"101";"126"
"430194";"85";"60";"75"
"460301";"48";"34";"42"
"460302";"";"85";"106"
"460299";"295";"137";"171"
"430225";"";"152";"190"
"430202";"";"48";"60"
"430214";"";"724";"905";"702"
"430207";"266";"123";"154"
"430206";"239";"203";"254"
"430201";"85";"60";"75"
"430210";"251";"142";"178"
"460297";"289";"131";"164"
"430200";"48";"34";"42"
"430226";"";"152";"190"
"430217";"90";"68";"85"
"430227";"";"579";"724"
"430220";"";"126";"158"
"430216";"107";"94";"118"
"460240";"";"126";"158"
"460244";"107";"94";"118"
"430218";"153";"119";"149"
"430219";"90";"68";"85"
"430230";"";"152";"190"
"430228";"";"126";"158"
"430222";"90";"68";"85"
"420002";"153";"119";"149"
"430235";"90";"68";"85"
"430239";"";"93";"116"
"430231";"90";"68";"85"
