"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"OREO печенье  228 г";"РУССКИЙ ЗАВТРАК каша 4 злака с абрикосами 400 г;НАЦИОНАЛЬ рис Отборный 900г;МАКФА гнезда Капеллини 450 г";140025;"ALPEN GOLD набор конфет Composition 5 вкусов 78 г"
"OREO печенье  шоколад 228 г";"РУССКИЙ ЗАВТРАК каша 4 злака с яблоками 400 г;НАЦИОНАЛЬ рис Японский 800 г;МАКФА гнезда Тальятелле 450 г";140026;"АЗОВСКАЯ КФ Козинак из Миндаля 60 г"
"OREO печенье  шоколад 95 г";"РУССКИЙ ЗАВТРАК каша Ассорти с фруктами 400 г;НАЦИОНАЛЬ рис Здоровье 800 г;МАКФА лазанья Двойная Волна 500 г";140027;"BUCHERON набор конфет Трюфель с Цельным Фундуком 175 г"
"MILKA печенье  Sensations с кусочками шоколада 156 г";"РУССКИЙ ЗАВТРАК каша Пшеничная с грушей 400 г;НАЦИОНАЛЬ рис Жасмин 900 г;МАКФА макароны Бантики 400 г";140028;"FERRERO набор конфет Rocher 300 г"
"MILKA печенье  Sensations с шоколадной начинкой 156 г";"ЭКОФЕРМЕР чечевица красная Для проращивания 500 г;НАЦИОНАЛЬ рис Золотистый 900 г;МАКФА макароны Цветочки 450 г";140029;"FERRERO набор конфет Rocher 125 г"
"MILKA печенье Choko Cow 200 г";"ЭКОФЕРМЕР гречиха зеленая Для проращивания 500 г;НАЦИОНАЛЬ рис Золото Тайланда 900 г;МАКФА макароны Длинные 500 г";140030;"FERRERO набор конфет Rocher 200 г"
"MILKA печенье Soft & Choc с начинкой 175 г";"ЭКОФЕРМЕР нут Для проращивания 500 г;НАЦИОНАЛЬ рисовая смесь Феникс 800 г;МАКФА макароны длинные Спагетти 650 г";140031;"FERRERO набор конфет Rocher 300 г"
"OREO печенье  шоколад 228 г";"ЭКОФЕРМЕР овес голозерный Для проращивания 500 г;PROSTO крупа Гречневая 500 г;МАКФА макароны длинные Станичные 500 г";140032;"ФИНИКСЫ конфеты из фиников с апельсином в глазури 180 г"
"OREO печенье  шоколад 95 г";"ЭКОФЕРМЕР пшеница для проращивания 500 г;PROSTO крупа Перловая 500 г;МАКФА макароны Fusilli Спирали 300 г";140033;"ФИНИКСЫ конфеты из фиников с черносливом в глазури 180 г"
"OREO печенье  228 г";"МАКФА горох дробленый 400 г;PROSTO крупа Пшеничная 500 г;МАКФА макароны гнезда Капеллини 225 г";140034;"ФИНИКСЫ конфеты из фиников с киви в глазури 180 г"
"ЮБИЛЕЙНОЕ печенье  С Темной Глазурью 116 г";"МАКФА крупа Гречневая 400 г;PROSTO крупа Пшено 500 г;МАКФА макароны гнезда Тальятелле 225 г";140035;"ФИНИКСЫ конфеты из фиников с персиком в глазури 180 г"
"ЮБИЛЕЙНОЕ печенье  С Глазурью молочное 116 г";"МАКФА крупа гречневая Ядрица 800 г;PROSTO крупы Ассорти 500 г;МАКФА макароны Гребешки 400 г";140036;"FLORENTINO набор конфет Трюфель 175 г"
"ЮБИЛЕЙНОЕ печенье  Молочное 112 г";"МАКФА крупа Кукурузная 400 г;МАКФА макароны Гребешки 500 г";140037;"FLORENTINO набор конфет Трюфель с коньяком 175 г"
"ЮБИЛЕЙНОЕ печенье  С Темной Глазурью ореховое 116 г";"МАКФА крупа Кукурузная 700 г;PROSTO рис Ассорти 500 г;МАКФА макароны Кольца 400 г";140038;"FLORENTINO набор конфет Трюфель с миндалем 175 г"
"ЮБИЛЕЙНОЕ печенье  Традиционное 112 г";"МАКФА крупа Манная 700 г;PROSTO рис Гармония Фитнеса 500 г;МАКФА макароны Королевские перья 300 г";140039;"ФРУНДЕЛЬ конфеты Фруктовый Трюфель абрикос чернослив кунжут 150 г"
"ЮБИЛЕЙНОЕ печенье  С Глазурью какао 116 г";"МАКФА крупа Перловая 400 г;PROSTO рис Краснодарский круглозерный 500 г;МАКФА макароны Королевские ракушки 300 г";140040;"ФРУНДЕЛЬ конфеты Фруктовый Трюфель банан персик семена чиа 150 г"
