"Короткое название";"Цена_Трансазия";"Цена_Розничная";"Оценка товарного запаса";"Артикул";"Показывать товар"
"ARIEL стиральный порошок Color автомат 6 кг";684;855;25;410248;1
"GILLETTE Бальзам после бритья Интенсивное охлаждение 100 мл";213;266;15;320103;1
"ARIEL Гель для стирки в капсулах Горный родник автомат 12 шт";216;270;25;410237;1
"ARIEL Гель для стирки в капсулах Color & Style автомат 12 шт";216;270;25;410234;1
"TIDE стиральный порошок Color Lenor автомат 3 кг";277;346;5;410506;1
"TIDE стиральный порошок Color автомат 3 кг";277;346;15;410500;1
"GILLETTE Гель для бритья Hydrating 200 мл";246;308;25;320024;1
"ARIEL стиральный порошок Горный родник автомат 9 кг";983;1229;25;460260;1
"ALWAYS прокладки Ultra Platinum Normal Plus 10 шт";74;92;15;340127;1
"ARIEL стиральный порошок Горный родник автомат 4,5 кг";521;651;25;410255;1
"BLEND-A-MED Зубная паста Pro-Expert Здоровое отбеливание 100 мл";116;145;25;310103;1
"DISCREET ежедневные прокладки Deo Water Lily Multiform 100 шт";235;294;25;340042;1
"ALWAYS прокладки Ultra Platinum Super Plus 8 шт";74;92;25;340129;1
"AUSSIE Шампунь Repair Miracle 300 мл";242;302;25;330623;1
"AUSSIE Бальзам-ополаскиватель Repair Miracle 250 мл";242;302;25;330033;1
"ORAL-B Электрическая зубная щетка Vitality D12 Precision Clean";1647;2059;15;310281;1
"ORAL-B Электрическая зубная щетка Professional Care 3000/D20";3765;4706;5;310286;1
"ARIEL стиральный порошок Touch of Lenor Fresh автомат 4,5 кг";521;651;25;410263;1
"TIDE стиральный порошок Color автомат 9 кг";782;978;5;410504;1
"HEAD & SHOULDERS Шампунь Против выпадения волос женский 400 мл";242;302;25;330754;1
"BLEND-A-MED зубная паста Pro-Expert Свежая Мята 100 мл";116;145;25;310102;1
"DISCREET ежедневные прокладки Deo Spring Breeze Multiform 100 шт";235;294;25;340043;1
"PANTENE Бальзам-ополаскиватель Питание и Блеск 360 мл";207;259;25;330108;1
"ARIEL Гель для стирки в капсулах Touch of Lenor Fresh автомат 15 шт";349;436;25;410242;1
"TIDE стиральный порошок Детский автомат 2,4 кг";221;276;25;740025;1
"BLEND-A-MED Зубная паста 3D White Трехмерное отбеливание 100 мл";92;115;5;310084;1
"ARIEL Гель для стирки в капсулах Color & Style автомат 15 шт";349;436;25;410235;1
"PANTENE Бальзам-ополаскиватель Увлажнение и Восстановление 360 мл";207;259;15;330098;1
"GILLETTE Бальзам после бритья Sensitive Skin с алоэ вера 100 мл";213;266;15;320105;1
"ORAL-B Электрическая зубная щетка Professional Care 500/D16";1791;2239;15;310283;1
"HEAD & SHOULDERS Шампунь Sports Fresh 400 мл";242;302;25;330736;1
"TIDE стиральный порошок Детский автомат 4,5 кг";428;535;25;740037;1
"ARIEL Гель для стирки в капсулах Color автомат 23 шт";521;651;25;410233;1
"TIDE Гель для стирки в капсулах Lenor 15 шт";289;361;25;410490;1
"DISCREET ежедневные прокладки Air Multiform 100 шт";235;294;25;340028;1
"FAIRY Капсулы для посудомоечных машин Platinum 18 шт";355;444;25;430158;1
"МИФ Средство для мытья посуды Свежесть цитрусов 1 л";77;96;25;430258;1
"TIDE Гель для стирки в капсулах Альпийская свежесть 15 шт";289;361;25;460415;1
"PANTENE Шампунь Питание и Блеск 400 мл";207;259;25;330828;1
"ORAL-B Насадки для электрических зубных щеток Ortho Essentials 3 шт";594;742;25;310271;1
"ORAL-B Насадки для ирригатора Oxyjet ED17 4 шт";1467;1834;25;310295;1
"ORAL-B Электрическая зубная щетка Trizone 3000/D20";3765;4706;5;310284;1
"PANTENE Шампунь Увлажнение и Восстановление 400 мл";207;259;25;330823;1
"FAIRY Средство для мытья посуды Апельсин и лимонник 900 мл";119;149;25;430218;1
"FAIRY Средство для мытья посуды Зеленое яблоко 900 мл";119;149;25;430237;1
"PANTENE Спрей Мгновенное увеличение густоты волос 150 мл";207;259;25;520156;1
"HEAD & SHOULDERS Шампунь 2 в 1 Укрепление волос мужской 400 мл";242;302;25;330960;1
"PANTENE Бальзам-ополаскиватель Aqua Light 400 мл";207;259;25;330022;1
"GILLETTE Гель для бритья ProGlide cooling 200 мл";246;308;25;320025;1
"PANTENE Шампунь Защита Цвета и Блеск Color Therapy 400 мл";207;259;25;330819;1
"HEAD & SHOULDERS Шампунь Цитрусовая свежесть 400 мл";242;302;25;330969;1
"HEAD & SHOULDERS Шампунь Успокаивающий уход 400 мл";242;302;25;330954;1
"PANTENE Спрей Мгновенное восстановление 150 мл";207;259;25;520157;1
"BLEND-A-MED Зубная паста 3D White Medic Delicate 100мл";92;115;25;310083;1
"SAFEGUARD Жидкое мыло с Цветочным ароматом 250 мл";105;131;25;330427;1
"МИФ Гель для стирки Морозная свежесть 2 л";387;484;25;410378;1
"PAMPERS подгузники New Baby 1 (2 - 5 кг) 27 шт";270;338;25;710304;1
