"Цена_Трансазия";"Показывать товар";"Категории";"Основная категория";"Артикул";"Описание товара";"Короткое название";"Цена_Розничная";"Характеристики";"Бренд";"Фотографии"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560093";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation чёрный бриллиант 2.0";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541135581;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00027217";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-chyornij-brilliant-2.0.jpg"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560084";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation драгоценный чёрный агат 1.0";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541135574;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00027582";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-dragocennij-chyornij-agat-1.0.jpg"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560090";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation роскошный северный русый 8.1";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541525825;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00027587";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-roskoshnij-severnij-rusij-8.1.jpg"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560089";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation роскошный каштан 3.0";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541135598;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00027905";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-roskoshnij-kashtan-3.0.jpg"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560088";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation переливающийся светло-русый 8.0";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541135710;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00027907";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-perelivayushijsya-svetlo-rusij-8.0.jpg"
"176";"1";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"Косметика и Уход/Уход за волосами/Средства для окрашивания и тонирования волос";"560086";"Стойкая крем - краска c перламутром и цветочным маслом. Выразительный экстрастойкий цвет. Точное попадание в цвет. Зеркальный блеск. 100% закрашивание седины.
В состав упаковки входит: флакон с молочком-проявителем (60 мл);
тюбик с крем-краской (40 мл);
крем-уход после окрашивания (10 мл);
инструкция;
пара перчаток.
Способ использования и нанесения:
1) Смешайте крем-краску и молочко-проявитель;
2) Нанесите на волосы;
3) Подождите рекомендуемое количество минут и смойте;
4) Нанесите бальзам.";"GARNIER крем-краска для волос Color Sensation кремовый перламутр 9.13";"220";"(Характеристики товара (Косметика и уход))Тип товара:Краски для волос;
(Характеристики товара (Косметика и уход))Бренд:GARNIER;
(Характеристики товара (Косметика и уход))Серия:Color sensation;
(Характеристики товара (Косметика и уход))Страна происхождения:РОССИЯ;
(Характеристики товара (Косметика и уход))EAN:3600541135727;
(Характеристики товара (Косметика и уход))Объем:110 мл;
(Характеристики товара (Косметика и уход))Код товара:CB-00028476";"GARNIER";"/storage/photo/original/b/garnier-krem-kraska-dlya-volos-color-sensation-kremovij-perlamutr-9.13.jpg"
"177";"1";"Средства гигиены/Подгузники и простыни для взрослых/Простыни впитывающие";"Средства гигиены/Подгузники и простыни для взрослых/Простыни впитывающие";"380105";"Впитывающие пеленки ID Protect универсальны в использовании, они могут служить в качестве дополнительной защиты различных поверхностей (например, постельного белья, мебели) от намокания при использовании вместе с подгузниками, впитывающими трусами и урологическими прокладками, при смене подгузников, а также при проведении различных процедур. Они отлично впитывают и эффективно распределяют жидкость. Верхний слой пеленок выполнен из мягких, как хлопок, материалов, что обеспечивает комфорт при использовании, а нижний слой - из полиэтиленовой пленки, что исключает протекания. <br />
<br />
Отличное впитывание<br />
Гипоаллергенные<br />
Мягкие материалы для максимального комфорта<br />
Универсальны в использовании";"ID простыни впитывающие Protect 90x60 10 шт";"221";"(Характеристики товара (Средства гигиены))Тип товара:Простыни впитывающие;
(Характеристики товара (Средства гигиены))Бренд:ID;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:5414874007488;
(Характеристики товара (Средства гигиены))Количество:10 шт;
(Характеристики товара (Средства гигиены))Код товара:CB-00023482";"ID";"/storage/photo/original/b/id-prostini-vpitivayushie-protect-90x60-10-sht.jpg"
"179";"1";"Средства гигиены/Дезодоранты/Женские дезодоранты";"Средства гигиены/Дезодоранты/Женские дезодоранты";"380052";"<p>
Аэрозольный антиперспирант DOVE Прикосновение Природы обогащен минералами Мёртвого Моря, бережно относится к нежной коже, способствуя её быстрому восстановлению после бритья. Помимо заботы о коже Dove также обеспечивает надёжную защиту от пота и запаха до 48 часов, даря комфортное ощущение сухости в течение всего дня. Увлажняя Вашу кожу с каждым нанесением, он заботится о нежной коже подмышек.  </p>

Особенности Продукта:
<br>
<li>
Для всех типов кожи
<li>
Дерматологически протестирован
<li>
Не содержит этилового спирта
<li>
Без отдушек
<li>
Не раздражает кожу
<br>
Состав:
Isobutane, Propane, Aluminum Chlorohydrate, Cyclopentasiloxane, PPG-14 Butyl Ether, Butane, Parfum, Helianthus Annuus Seed Oil, C12-15 Alkyl Benzoate, Disteardimonium Hectorite, Octyldodecanol, BHT, Dimethiconol, Propylene Carbonate, PEG-4, Maris Sal, Alpha-Isomethyl Ionone, Benzyl Alcohol, Benzyl Salicylate, Butylphenyl Methylpropional, Citral, Geraniol, Hexyl Cinnamal, Limonene, Linalool.";"DOVE дезодорант-антиперсперант аэрозольный Natural Touch Прикосновение Природы 150 мл";"224";"(Характеристики товара (Средства гигиены))Тип товара:Дезодоранты;
(Характеристики товара (Средства гигиены))Бренд:DOVE;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:8711600682764;
(Характеристики товара (Средства гигиены))Объем:150 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00039671";"DOVE";"/storage/photo/original/b/dove-dezodorant-antipersperant-aerozolnij-natural-touch-prikosnovenie-prirodi-150-ml.jpg"
"179";"1";"Средства гигиены/Дезодоранты/Женские дезодоранты";"Средства гигиены/Дезодоранты/Женские дезодоранты";"380051";"<p>
Аэрозольный дезодорант-антиперсперант DOVE Go Fresh Пробуждение чувств содержит 1/4 увлажняющего крема, который помогает восстановить кожу после бритья. Клинически протестировано, что помимо ухода за нежной кожей подмышек обеспечивает эффективную защиту от пота. Свежие нотки граната и лимонной вербены звучат прекрасно сами по себе, но в сочетании с Вашими любимыми духами создают неповторимый аромат. Мы обычно сталкиваемся с проблемой излишнего потоотделения в самые непростые моменты, когда нам необходима уверенность в себе. Это может быть ответственное совещание, или спортивное соревнование. Неважно, какая именно это ситуация, решение всегда одно - аэрозольный антиперспирант Dove Пробуждение чувств. Теперь Вы можете переживать только о своих спортивных рекордах и успехах в карьере. Позвольте антиперспиранту Dove Пробуждение чувств позаботиться о потоотделении, которое больше не доставит Вам неудобств.  </p>

Особенности Продукта:
<br>
<li>
Обеспечивает защиту от пота на 48 часов
<li>
Не содержит этиловый спирт
<li>
Увлажняет кожу и заботится о ней
<li>
На ¼ состоит из увлажняющего крема
<br>
Состав:
Isobutane, Aluminum Chlorohydrate, PPG-14 Butyl Ether, Cyclopentasiloxane, Propane, Parfum, Butane, Disteardimonium Hectorite, Helianthus Annuus Seed Oil, C12-15 Alkyl Benzoate, Octyldodecanol, BHT, Dimethiconol, Propylene Carbonate, Tocopheryl Acetate, Aqua, Propylene Glycol, Punica Granatum Extract, Phenoxyethanol, Citric Acid, Benzyl Alcohol, Butylphenyl Methylpropional, Citronellol, Coumarin, Limonene, Linalool.";"DOVE дезодорант-антиперсперант аэрозольный Go Fresh Пробуждение Чувств 150 мл";"224";"(Характеристики товара (Средства гигиены))Тип товара:Дезодоранты;
(Характеристики товара (Средства гигиены))Бренд:DOVE;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4605922009931;
(Характеристики товара (Средства гигиены))Объем:150 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00039672";"DOVE";"/storage/photo/original/b/dove-dezodorant-antipersperant-aerozolnij-go-fresh-probuzhdenie-chuvstv-150-ml.jpg"
"18";"1";"Средства гигиены/Душ и ванная/Твердое мыло";"Средства гигиены/Душ и ванная/Твердое мыло";"380066";"<p> Твердое туалетное мыло Душистое облако изготовлено из натуральных компонентов, обладает приятным непревзойденным ароматом. Предназначено для ежедневной гигиены кожи рук в быту и на производстве. Произведено из масложирового сырья высокого качества, не имеет постороннего запаха и различных отдушек. В своем составе содержит натуральные экстракты трав и витамины, которые бережно ухаживают за кожей рук и дарят приятные моменты. Непревзойденный аромат спелого зеленого яблока напомнит о ярких летних деньках, подарит бодрость и отличное настроение. </p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Подходит для ежедневного применения
<li>Обладает хорошей очищающей способностью
<li>Не сушит кожу рук
<li>Подходит для чувствительной кожи
<li>Качественное сырье
<li>Аромат зеленого яблока
<li>Производится по ГОСТ 28546-2002
<br>
Состав: натриевые соли жирных кислот пальмового, пальмоядрового (кокосового) масел и животных жиров, вода, ароматическая композиция, диоксид титана, комплексообразователь ЭДТА Na4/ЭДТА Na2, соль поваренная пищевая, краситель 12490.";"ДУШИСТОЕ ОБЛАКО Туалетное мыло Зеленое яблоко 90 г";"22";"(Характеристики товара (Средства гигиены))Тип товара:Твердое мыло;
(Характеристики товара (Средства гигиены))Бренд:НМЖК;
(Характеристики товара (Средства гигиены))Серия:Душистое облако;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))Тип мыла:Туалетное;
(Характеристики товара (Средства гигиены))EAN:4600528343434;
(Характеристики товара (Средства гигиены))Вес:90 г;
(Характеристики товара (Средства гигиены))Код товара:CB-00011847";"НМЖК";"/storage/photo/original/b/dushistoe-oblako-tualetnoe-milo-zelenoe-yabloko-90-g.jpg"
"18";"1";"Средства гигиены/Душ и ванная/Твердое мыло";"Средства гигиены/Душ и ванная/Твердое мыло";"380067";"<p> Твердое туалетное мыло Душистое облако изготовлено из натуральных компонентов, обладает приятным непревзойденным ароматом. Предназначено для ежедневной гигиены кожи рук в быту и на производстве. Произведено из масложирового сырья высокого качества, не имеет постороннего запаха и различных отдушек. В своем составе содержит натуральные экстракты трав и витамины, которые бережно ухаживают за кожей рук и дарят приятные моменты. Непревзойденный аромат спелой земляники напомнит о ярких летних деньках. </p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Подходит для ежедневного применения
<li>Обладает хорошей очищающей способностью
<li>Не сушит кожу рук
<li>Подходит для чувствительной кожи
<li>Качественное сырье
<li>Земляничный аромат
<li>Производится по ГОСТ 28546-2002
<br>
Состав: натриевые соли жирных кислот пальмового, пальмоядрового (кокосового) масел и животных жиров, вода, ароматическая композиция, диоксид титана, комплексообразователь ЭДТА Na4/ЭДТА Na2, соль поваренная пищевая, краситель 12490.";"ДУШИСТОЕ ОБЛАКО Туалетное мыло Земляничное 90 г";"22";"(Характеристики товара (Средства гигиены))Тип товара:Твердое мыло;
(Характеристики товара (Средства гигиены))Бренд:ДУШИСТОЕ ОБЛАКО;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))Тип мыла:Туалетное;
(Характеристики товара (Средства гигиены))EAN:4600528340334;
(Характеристики товара (Средства гигиены))Вес:90 г;
(Характеристики товара (Средства гигиены))Код товара:CB-00011848";"";"/storage/photo/original/b/dushistoe-oblako-tualetnoe-milo-zemlyanichnoe-90-g.jpg"
"18";"1";"Средства гигиены/Душ и ванная/Твердое мыло";"Средства гигиены/Душ и ванная/Твердое мыло";"380068";"<p> Твердое туалетное мыло Душистое облако изготовлено из натуральных компонентов, обладает приятным непревзойденным ароматом. Предназначено для ежедневной гигиены кожи рук в быту и на производстве. Произведено из масложирового сырья высокого качества, не имеет постороннего запаха и различных отдушек. В своем составе содержит натуральные экстракты трав и витамины, которые бережно ухаживают за кожей рук и дарят приятные моменты. Непревзойденный цветочный аромат розы подарит непревзойденное благоухание вашей коже.</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Подходит для ежедневного применения
<li>Обладает хорошей очищающей способностью
<li>Не сушит кожу рук
<li>Подходит для чувствительной кожи
<li>Качественное сырье
<li>Аромат лепестков роз
<li>Производится по ГОСТ 28546-2002
<br>
Состав: натриевые соли жирных кислот пальмового, пальмоядрового (кокосового) масел и животных жиров, вода, ароматическая композиция, диоксид титана, комплексообразователь ЭДТА Na4/ЭДТА Na2, соль поваренная пищевая, краситель 12490.";"ДУШИСТОЕ ОБЛАКО Туалетное мыло Роза 90 г";"22";"(Характеристики товара (Средства гигиены))Тип товара:Твердое мыло;
(Характеристики товара (Средства гигиены))Бренд:ДУШИСТОЕ ОБЛАКО;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))Тип мыла:Туалетное;
(Характеристики товара (Средства гигиены))EAN:4600528340693;
(Характеристики товара (Средства гигиены))Вес:90 г;
(Характеристики товара (Средства гигиены))Код товара:CB-00011853";"";"/storage/photo/original/b/dushistoe-oblako-tualetnoe-milo-roza-90-g.jpg"
"18";"1";"Детские товары/Уход за кожей ребенка/Кремы, масла, присыпки";"Детские товары/Уход за кожей ребенка/Кремы, масла, присыпки";"790152";"Крем обладает увлажняющим эффектом, отлично питает кожу, способствует предупреждению и устранению воспалительных покраснений. Комплекс растительных экстрактов способствует сохранению и укреплению естественных функций кожи. <br />
С повышенными проникающими свойствами.<br />
Специальный метод приготовления крема обеспечивает быстрое впитывание и легкую текстуру.<br />
НЕ СОДЕРЖИТ ПАРАБЕНОВ.<br />
Результат: питание, увлажнение и защита кожи.<br />
Способ применения: нанесите крем на чистую кожу ребенка и легкими движениями втирайте до его впитывания.<br />";"DERMANIKA крем детский Увлажняющий мини 60 мл";"22";"(Характеристики товара (Детские товары))Тип товара:Крем детский;
(Характеристики товара (Детские товары))Бренд:DERMANIKA;
(Характеристики товара (Детские товары))Страна происхождения:РОССИЯ;
(Характеристики товара (Детские товары))EAN:4602009026683;
(Характеристики товара (Детские товары))Объем:60 мл;
(Характеристики товара (Детские товары))Код товара:CB-00025385";"DERMANIKA";"/storage/photo/original/b/dermanika-krem-detskij-uvlazhnyayushij-mini-60-ml.jpg"
"181";"1";"Бытовая химия/Стирка и уход за бельем/Отбеливатели и пятновыводители";"Бытовая химия/Стирка и уход за бельем/Отбеливатели и пятновыводители";"460259";"Усиленная Bio-формула на основе натуральной желчи и трех видов ферментов со специальной щеточкой для более глубокого и равномерного распределения пятновыводителя. Идеально для локальной чистки манжет и воротничков рубашек, а так же застарелых и въевшихся пятен. Эффективно и быстро выводит пятна от жира, сливочного масла, растительного масла, помады, крови, кофе, вина, чая, фруктов, кетчупа, горчицы, травы, пятен белкового происхождения. Для всех типов ткани. Не изменяет цвет ткани. Действует при 15 С. Концентрат.</p><br>ОСОБЕННОСТИ ПРОДУКТА:";"АНТИПЯТИН пятновыводитель концентрированный гель с щеткой 200 мл";"226";"(Характеристики товара (Бытовая химия))Тип товара:Пятновыводители;
(Характеристики товара (Бытовая химия))Бренд:АНТИПЯТИН;
(Характеристики товара (Бытовая химия))Страна происхождения:Литва;
(Характеристики товара (Бытовая химия))EAN:4601892007786;
(Характеристики товара (Бытовая химия))Объем:200 мл;
(Характеристики товара (Бытовая химия))Код товара:00000033485";"АНТИПЯТИН";"/storage/photo/original/b/antipyatin-pyatnovivoditel-koncentrirovannij-gel-s-shetkoj-200-ml.jpg"
"182";"1";"Бытовая химия/Освежители воздуха/Освежители воздуха, арома свечи";"Бытовая химия/Освежители воздуха/Освежители воздуха, арома свечи";"460246";"Освежитель воздуха AIR WICK применяется для ароматизации различных помещений в доме. Инновационная технология распыления обеспечит мгновенное растворение частиц в воздухе и обеспечит свежесть надолго. Уникальная коллекция изысканных многослойных ароматов позволит выбрать тот единственный, который создаст приятную атмосферу в вашем доме. Эргономичный дизайн баллона удобно помещается в руке, а мелкодисперсное распыляющее устройство не создает капель и подтеков во время распыления. В состав аэрозоля в качестве пропеллена входит сжатый воздух, поэтому он полностью безопасен для людей и животных.</p>
<br>
<p> Информация по применению: Держа баллон вертикально, нажать на клапан и распылить содержимое баллона от себя к центру помещения. </p>
<br>
<br>ОСОБЕННОСТИ ПРОДУКТА:<br>
<br><li> Обладает свежим ароматом райских цветов. </li><li> Не маскирует неприятные запахи, а устраняет их. </li><li> Не содержит озоноразрушающих хладонов.</li><li> Свежесть в течении длительного времени. </li><li> При распылении не оставляет следов на одежде и мебели. </li>";"AIR WICK Аэрозольный освежитель воздуха Райские цветы 500 мл";"228";"(Характеристики товара (Бытовая химия))Тип товара:Освежители;
(Характеристики товара (Бытовая химия))Бренд:AIR WICK;
(Характеристики товара (Бытовая химия))Тип освежителя:Аэрозольный;
(Характеристики товара (Бытовая химия))Страна происхождения:Соединенное Королевство;
(Характеристики товара (Бытовая химия))EAN:4607109407523;
(Характеристики товара (Бытовая химия))Объем:500 мл;
(Характеристики товара (Бытовая химия))Код товара:CB-00001532";"AIR WICK";"/storage/photo/original/b/air-wick-aerozolnij-osvezhitel-vozduha-rajskie-cveti-500-ml.jpg"
"184";"1";"Средства гигиены/Женская гигиена/Прокладки";"Средства гигиены/Женская гигиена/Прокладки";"380092";"Женские гигиенические прокладки Libresse Invisible Супер - cупертонкие прокладки, которые идеально подходят для умеренных выделений. Специальный внутренний слой прокладок великолепно впитывает и удерживает влагу, обеспечивая наилучшую защиту. А новые удлиненные крылышки еще лучше удерживают прокладку на месте, обеспечивая абсолютный комфорт.
Особенности:<br>
Впитывают быстрее.<br>
Идеально прилегают к телу.<br>
Удлиненные крылышки.<br>
Поверхность - сеточка.";"LIBRESSE прокладки Invisible Super поверхность сеточка 16 шт";"230";"(Характеристики товара (Средства гигиены))Тип товара:Прокладки;
(Характеристики товара (Средства гигиены))Бренд:LIBRESSE;
(Характеристики товара (Средства гигиены))Капли:5 капель;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))Упаковка:13 - 27 шт;
(Характеристики товара (Средства гигиены))EAN:7322540388428;
(Характеристики товара (Средства гигиены))Количество:16 шт;
(Характеристики товара (Средства гигиены))Код товара:CB-00013732";"LIBRESSE";"/storage/photo/original/b/libresse-prokladki-invisible-super-poverhnost-setochka-16-sht.jpg"
"187";"1";"Средства гигиены/Защита полости рта/Зубные пасты и порошки";"Средства гигиены/Защита полости рта/Зубные пасты и порошки";"380099";"<p>
Зубная паста предназначена для гигиены полости рта, профилактики и лечения заболеваний. Обладает отбеливающим эффектом, применять попеременно с пастой для регулярной чистки, во избежания повреждения эмали.
</p>
ОСОБЕННОСТИ ПРОДУКТА:
<li>Отбеливает зубы
<li>Очищает налет
<li>Освежает дыхание";"SPLAT Зубная паста Extreme White 75 мл";"234";"(Характеристики товара (Средства гигиены))Тип товара:Зубные пасты;
(Характеристики товара (Средства гигиены))Бренд:SPLAT;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:4603014001016;
(Характеристики товара (Средства гигиены))Объем:75 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00004980";"SPLAT";"/storage/photo/original/b/splat-zubnaya-pasta-extreme-white-75-ml.jpg"
"188";"1";"Средства гигиены/Душ и ванная/Шампуни";"Средства гигиены/Душ и ванная/Шампуни";"380073";"Головокружительный объем от самых корней? Попробуй и убедись сама.
Формула серии Beauty-full Volume с уникальным сочетанием мицеллярной технологии и коллагена мягко очищает волосы и придает объем от самых корней.
Доказанная эффективность: в 2 раза больше объема от самых корней.
<br>";"TRESEMME шампунь Beauty-Full Volume 400 мл";"251";"(Характеристики товара (Средства гигиены))Тип товара:Шампунь;
(Характеристики товара (Средства гигиены))Бренд:TRESEMME;
(Характеристики товара (Средства гигиены))Для кого:Для взрослых;
(Характеристики товара (Средства гигиены))Страна происхождения:РОССИЯ;
(Характеристики товара (Средства гигиены))EAN:8714100917541;
(Характеристики товара (Средства гигиены))Объем:400 мл;
(Характеристики товара (Средства гигиены))Код товара:CB-00036836";"TRESEMME";"/storage/photo/original/b/tresemme-shampun-beauty-full-volume-400-ml.jpg"
"189";"1";"Средства гигиены/Бритье и депиляция/Станки и кассеты";"Средства гигиены/Бритье и депиляция/Станки и кассеты";"380047";"<p>
Станок для бритья GILLETTE Blue3 обеспечит гладкое и чистое бритье. Плавающая головка позволяет аккуратно следовать за изгибами лица. Полоска с резиновыми микрогребнями распрямляют щетину, три лезвия начисто сбривают с первого раза, а гелевая полоска с бальзамом заботится о коже лица.
</p>
<br>
ОСОБЕННОСТИ ПРОДУКТА:
<li>3 лезвия на плавающей головке
<li>Смазывающая полоска";"GILLETTE станки для бритья Одноразовые BLUE3 Red 3 шт";"236";"(Характеристики товара (Средства гигиены))Тип товара:Станки;
(Характеристики товара (Средства гигиены))Бренд:GILLETTE;
(Характеристики товара (Средства гигиены))Серия:Одноразовые;
(Характеристики товара (Средства гигиены))Лезвий на кассете:3;
(Характеристики товара (Средства гигиены))Страна происхождения:Польша;
(Характеристики товара (Средства гигиены))EAN:7702018076130;
(Характеристики товара (Средства гигиены))Количество:3 шт;
(Характеристики товара (Средства гигиены))Код товара:CB-00006879";"GILLETTE";"/storage/photo/original/b/gillette-stanki-dlya-britya-odnorazovie-blue3-red-3-sht.jpg"
