"Артикул";"Цена_Закупочная"
"410104";"74"
"410105";"114"
"410106";"203"
"410107";"203"
"410108"
"410109";"136"
"410110";"136"
"410111";"130"
"410112";"239"
"410113";"77"
"410114";"239"
"410115";"130"
"410116";"130"
"410117";"239"
"410118";"130"
"410119";"239"
"410120";"130"
"410121";"130"
"410122";"239"
"410123";"77"
"410124";"192"
"410125";"239"
"410126";"130"
"410127"
"410128";"239"
"410129";"130"
"410130";"239"
"410131";"130"
"410132";"239"
"410133";"130"
"410134";"239"
"410135";"130"
"410136";"239"
"410137";"130"
"410138";"76"
"410139";"155"
"410140";"307"
"410141";"85"
"410142";"85"
"410143";"85"
"410144";"145"
"410145";"145"
"410146";"479"
"410147";"145"
"410148";"145"
"410149";"145"
"410150"
"410151"
"410152"
"410153"
"410154";"203"
"410155"
"410156";"203"
"410157";"343"
"410158";"203"
"410159";"203"
"410160";"203"
"410161";"343"
"410162";"203"
"410163";"203"
"410164";"343"
"410165";"203"
"410166";"203"
"410167";"98"
"410168";"81"
"410169";"55"
"410170";"131"
"410171";"55"
"410172";"131"
"410173";"118"
"410174";"37"
"410175";"50"
"410176";"39"
"410177";"26"
"410178"
"410179";"294"
"410180";"191"
"410181";"146"
"410182";"141"
"410183";"141"
"410184";"146"
"410185";"60"
"410186";"31"
"410187";"67"
"410188";"127"
"410189";"355"
"410190";"30"
"410191";"171"
"410192";"38"
"410193";"26"
"410194";"92"
"410195";"92"
"410196";"115"
"410197";"146"
"410198";"110"
"410199";"232"
"410200";"223"
"410201";"110"
"410202";"822"
"410203";"457"
"410204";"411"
"410205";"220"
"410206";"197"
"410207";"349"
"410208";"521"
"410209";"84"
"410210";"684"
"410211";"349"
"410212";"521"
"410213";"1137"
"410214";"1137"
"410215";"283"
"410216";"349"
"410217";"283"
"410218";"349"
"410219";"521"
"410220";"684"
"410221";"283"
"410222";"349"
"410223";"349"
"410224";"684"
"410225";"283"
"410226";"521"
"410227";"283"
"410228";"349"
"410229"
"410230";"349"
"410231";"199"
"410232";"684"
"410233";"521"
"410234"
"410235"
"410236";"199"
"410237";"216"
"410238";"349"
"410239";"521"
"410240";"684"
"410241";"216"
"410242";"349"
"410243";"684"
"410244";"243"
