Категории;Показывать товар;Артикул;Основная категория;Фотографии;Описание;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210034;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-ovoshej-obemnaya-21-h-28-sm-1-sht.jpg;"<p>
Решетка-гриль ""Forester"" предназначена для приготовления пищи на углях, в том числе овощей. Изготовлена из высококачественной стали с пищевым никелированным покрытием. Идеально подходит для мангалов и барбекю.
Решетка имеет широкое фиксирующее кольцо на ручке, что обеспечивает надежную фиксацию. Усики помогают располагать решетку-гриль на мангале или барбекю, используя всю ее рабочую поверхность. Деревянная ручка предохраняет руки от ожогов, а также удобна для обхвата двумя руками, что позволяет легко переворачивать решетку.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Для приготовления пищи на углях
<li>Из высококачественной стали с пищевым никелированным покрытием
<li>Имеет широкое фиксирующее кольцо на ручке
<li>Деревянная ручка";661;FORESTER решетка-гриль для овощей объемная 21 х 28 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274200207;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210035;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-ovoshej.jpg;Эта уникальная решетка создана специально для запекания ароматных овощей на гриле. Надежное кольцо-фиксатор подстроится под размеры овощей и закрепит решетку, не позволив продуктам выпасть в неподходящий момент. Решетка-гриль Forester не деформирует овощи и позволяет сохранить в процессе приготовления их полезные свойства. Для надежной установки на мангале предусмотрены усики-фиксаторы. Специальное покрытие металла защищает решетку от появления ржавчины, а деревянная ручка не допустит получения ожога.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>для запекания овощей</li><li>деревянная ручка для защиты от ожогов</li><li>усики для установки на мангале</li><li>кольцо для фиксации овощей</li><li>защита от коррозии</li>;661;FORESTER решетка-гриль для овощей;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274200207;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210036;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-ribi-1-sht.jpg;"Решетка-гриль для рыбы с регулируемой высотой Forester FQ-N04 имеет цилиндрическую форму, которая наилучшим образом подходит для запекания на мангале или гриле рыбы целиком.
Регулируемая высота рабочей поверхности (от 0,5 до 2,5 см) позволяет запекать рыбу различной толщины.
Готовить с этой решеткой на открытом огне совершенно безопасно благодаря удобной для обхвата продолговатой деревянной ручке, которая не нагревается при воздействии высоких температур.
Жаропрочная сталь с коррозионностойким покрытием, из которой изготовлена решетка для рыбы-барбекю Forester FQ-N04, прослужит многие годы.
Размеры рабочей поверхности: 14 х 36 см.</p><br>ОСОБЕННОСТИ ПРОДУКТА:";421;FORESTER Решетка-гриль для рыбы 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6905764180149;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210037;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-sosisok-kupat-kolbasok-1-sht.jpg;"Решетка-гриль для сосисок, купат, колбасок Forester BQ-N16 подходит для работы с мангалом и грилем. Специальное кольцо-замок обеспечивает надежную фиксацию продуктов различной толщины внутри решетки, продолговатая удобная ручка не перегревается и обезопасит руки от ожогов. Рабочая поверхность решетки для сосисок, колбасок и шпикачек весьма большая, на ней можно одновременно поджарить 6 крупных колбасок и шпикачек или 12 мелких сосисок.
Чтобы сохранить сочность колбасок и сосисок (чтобы при надавливании сок не вытекал) можно отрегулировать решетку по их толщине (от 1,7 до 3,5 см). Долговечность использования решетки для сосисок обеспечивается нанесением специального антикоррозионного покрытия. Надежный механизм фиксации (кольцо) - гарантия того, что продукты при переворачивании решетки в процессе готовки не выпадут из нее. Устойчивое положение на мангале обеспечивает наличие на решетке-гриль усиков-фиксаторов.</p><br>ОСОБЕННОСТИ ПРОДУКТА:";313;FORESTER Решетка-гриль для сосисок, купат, колбасок 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274200481;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210038;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-stejkov-22-h-44-sm-1-sht.jpg;"<p>
В этой решетке всё создано для удобства.
Специальная конструкция надежно удержит стейки во время готовки и поможет прожарить их равномерно.
Большая рабочая поверхность — 22х42 см — позволит готовить несколько порций одновременно. Решетка подходит для приготовления мяса, птицы, рыбы, а также овощей.
Удобная для обхвата деревянная ручка предохранит руки от ожогов и поможет легко переворачивать решетку.
Надежное кольцо-фиксатор гарантирует, что продукты в процессе готовки не выпадут из решетки. Усики-фиксаторы обеспечат устойчивое положение на мангале.
Решетка выполнена из пищевой стали с антикоррозийным покрытием.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Для приготовления пищи на углях
<li>Решетка выполнена из пищевой стали с антикоррозийным покрытием
<li>Позволяет готовить несколько порций одновременно
<li>Деревянная ручка
<li>Надежное кольцо-фиксатор";539;FORESTER решетка-гриль для стейков 22 х 44 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274200061;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210039;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-dlya-stejkov-bolshaya.jpg;Удобная и большая решетка-гриль от Forester поможет приготовить сочные стейки для большой компании. Размер ее рабочей поверхности (22х42 см) позволит приготовить несколько порций за один раз. Для того, чтобы в процессе приготовления и переворачивания стейки случайно не выпали, решетка зажимается специальным кольцом. Фиксирующие усики не позволят решетке соскочить с мангала, а удобная деревянная ручка не допустит ожога рук. Универсальная решетка-гриль подойдет для прожарки не только стейков, но и других продуктов.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>большая рабочая поверхность 22х42 см</li><li>кольцо для зажима решетки</li><li>фиксирующие усики </li><li>удобная деревянная ручка</li>;539;FORESTER Решетка-гриль для стейков большая;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274200061;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210040;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-malaya.jpg;С помощью этой небольшой решетки, можно без труда приготовить любимые блюда на открытом огне. Для того, чтобы в процессе приготовления продукты не выпали из решетки, предусмотрено специальное фиксирующее кольцо. Рабочая поверхность решетки составляет 26х35 см, а специальное покрытие металла защищает ее от появления ржавчины. Для надежной установки на мангале, решетка Forester снабжена усиками-фиксаторами.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>размер рабочей поверхности 26х35 см</li><li>защита от коррозии</li><li>кольцо для фиксирования решетки</li><li>усики для установки на мангале</li>;706;FORESTER решетка-гриль малая;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6905764180088;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210041;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-obemnaya-bolshaya-s-antiprigarnim-pokritiem.jpg;Хотите приготовить ароматные блюда на открытом огне для большой компании? В этом Вам поможет большая объемная решетка-гриль от Forester. Высоту решетки можно изменять от 0,5 до 4,5 см, в зависимости от толщины используемых продуктов. Специальное антипригарное покрытие не позволит еде прилипать к решетке, а удобная деревянная ручка не допустит получения ожога. Для того, чтобы в процессе приготовления продукты не выпали из решетки, предусмотрено специальное фиксирующее кольцо.</p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>большая рабочая поверхность 26х38 см</li><li>регулируемая высота (от 0,5 до 4,5 см)</li><li>антипригарное покрытие</li><li>фиксирующее кольцо</li><li>деревянная ручка</li>;947;FORESTER Решетка-гриль объемная большая с антипригарным покрытием;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6905764180125;
(Характеристики товара)Количество:1 шт";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210042;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-obemnaya-so-syomnoj-ruchkoj-malaya.jpg;Компактная и очень удобная решетка для гриля поможет без труда приготовить на огне Ваши любимые блюда. Высоту решетки можно изменять от 0,5 до 4,5 см, в зависимости от толщины используемых продуктов. Для удобного хранения и мытья, ручку с решетки можно снять.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>размер решетки в сложенном виде 38х30 см</li><li>съемная ручка</li><li>регулируемая высота (от 0,5 до 4,5 см)</li>;608;FORESTER решетка-гриль объемная со съёмной ручкой малая;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274201501;
(Характеристики товара)Количество:1 компл";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210043;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/forester-reshetka-gril-so-syomnoj-ruchkoj.jpg;Данная решетка для гриля поможет без труда приготовить на огне Ваши любимые блюда. Для удобного хранения и мытья решетки, ручку с нее можно легко снять. Надежно установить решетку на мангале помогут фиксирующие усики. Специальное покрытие металла защищает решетку от появления ржавчины, а деревянная ручка не допустит получения ожога. Благодаря небольшим размерам решетки-гриль в сложенном виде (40х35 см), ее очень удобно хранить и брать с собой в дорогу.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>рабочая поверхность 22х35 см</li><li>размер в сложенном виде 40х35 см</li><li>деревянная ручка для защиты от ожогов</li><li>усики для установки на мангале</li><li>съемная ручка</li><li>защита от коррозии</li>;491;FORESTER решетка-гриль со съёмной ручкой;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274201495;
(Характеристики товара)Количество:1 компл";FORESTER;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210044;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-lotki-dlya-zapekaniya-3-sht.jpg;"<p>
Одноразовые лотки для запекания подходят для приготовления продуктов, нарезанных как большими, так и мелкими кусочками. За счет наличия высоких стенок в лотках можно готовить блюдо в подливке, соусах.
Подходят также для разогревания и транспортировки готовых блюд.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Одноразовые
<li>Высокие стенки
<li>Подходят для приготовления, разогревания и транспортировки блюд";136;СОЮЗГРИЛЬ лотки для запекания 3 шт;"(Характеристики товара)Тип товара:Для барбекю;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202133;
(Характеристики товара)Количество:3 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210045;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-reshetka-gril-22-h-22-sm-1-sht.jpg;"<p>
Удобная решетка-гриль Союзгриль позволит приготовить настоящие кулинарные шедевры даже начинающим поварам. Может использоваться для жарки мяса, курицы, морепродуктов и овощей. Прочная сталь имеет дополнительную защиту – специальное антикоррозийное покрытие. Продукты не прилипают к металлу после приготовления и легко снимаются. Надежное кольцо фиксирует решетку и не дает продуктам сместиться или выпасть в процессе приготовления. Конструкция имеет небольшие ""усики"", что позволяет легко закрепить ее над жаром. Деревянная ручка – еще одно преимущество модели. Она не нагревается от жара и бережет руки повара.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Устойчивое положение на мангале
<li>Надежное фиксирующее кольцо
<li>Пищевое коррозионностойкое покрытие
<li>Для жарки мяса, курицы, морепродуктов и овощей";226;СОЮЗГРИЛЬ решетка-гриль 22 х 22 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202164;
(Характеристики товара)Количество:1 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210046;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-reshetka-gril-22-h-35-sm-1-sht.jpg;"<p>
Решетка-гриль Союзгриль 22 х 35 см универсальная предназначена для приготовления мяса, птицы, рыбы и овощей на мангале. Прутья изготовлены из стали с коррозионностойким покрытием. Специальные ""усики"" помогают расположить решетку над углями (перед использованием с них необходимо снять защитные колпачки). Деревянная ручка не нагревается и не обжигает руки. Фиксирующее кольцо надежно скрепляет две половинки решетки между собой, чтобы продукты не упали во время переворачивания. Ограничитель угла раскрытия позволит вам снять готовые блюда без посторонней помощи.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Универсальная
<li>Прутья изготовлены из стали с коррозионностойким покрытием
<li>Деревянная ручка
<li>Ограничитель угла раскрытия";383;СОЮЗГРИЛЬ решетка-гриль 22 х 35 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202201;
(Характеристики товара)Количество:1 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210047;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-reshetka-gril-23-h-42-sm-1-sht.jpg;"<p>
Универсальная решетка-гриль Союзгриль 23 х 42 см станет незаменимым помощником в приготовлении потрясающих блюд на открытом огне. Изготовленная из стали повышенной прочности с внешним антикоррозийным покрытием, она полностью безопасна для человека – при нагревании металл не выделяет никаких токсических веществ. Характеризуется широкой рабочей областью, благодаря чему в одну закладку поместится максимальное количество продуктов. За надежность отвечает фиксирующая петля, благодаря которой поверхности решетки плотно прилегают друг к другу, обеспечивая эффект ""гриль"". Решетка устойчиво фиксируется на мангале любого размера. Конструкция включает эргономичную ручку с деревянной плашкой, которая не нагревается, чем гарантирует высокий уровень комфорта и безопасности.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Устойчивое положение на мангале
<li>Большая рабочая поверхность
<li>Пищевое коррозионностойкое покрытие
<li>Предназначена для приготовления мяса, птицы, рыбы, овощей";435;СОЮЗГРИЛЬ решетка-гриль 23 х 42 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202140;
(Характеристики товара)Количество:1 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210048;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-reshetka-gril-universalnaya-s-reguliruemoj-visotoj-24-h-37-sm.jpg;"<p>
Решетка-гриль универсальная с регулируемой высотой Союзгриль, 23х37 см позволяет готовить мясо, рыбу, овощи, как большими порционными кусками/ частями, так и мелко нарезанными.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Пищевое коррозионностойкое покрытие
<li>Для запекания продуктов разной толщины
<li>Удобная ручка";600;СОЮЗГРИЛЬ решетка-гриль Универсальная с регулируемой высотой 24 х 37 см;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202720;
(Характеристики товара)Количество:1 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Решетки гриль, посуда;1;210049;Товары для дома/Все для пикника/Решетки гриль, посуда;/storage/photo/original/g/soyuzgril-reshetka-gril-universalnaya-s-reguliruemoj-visotoj-25-h-32-sm-1-sht.jpg;"<p>
Регулируемая от 0,5 до 4,5 см высота решетки позволяет готовить продукты разной толщины. Пищевое коррозионностойкое покрытие обеспечивает долгий срок службы решетки.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Устойчивое положение на мангале
<li>Регулируемая
<li>Пищевое коррозионностойкое покрытие
<li>Универсальная";462;СОЮЗГРИЛЬ решетка-гриль универсальная с регулируемой высотой 25 х 32 см 1 шт;"(Характеристики товара)Тип товара:Решетки-гриль;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:6947274202225;
(Характеристики товара)Количество:1 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Средства для розжига;1;210050;Товары для дома/Все для пикника/Средства для розжига;/storage/photo/original/g/forester-gel-dlya-rozzhiga-v-tube-100-ml.jpg;"<p>
Гель ""Forester"" предназначен для розжига древесного угля, дров, топливных брикетов. Не изменяет вкус приготовленных блюд. Может использоваться в каминах, печках, фондю.
FORESTER - бренд с широкими интернациональными традициями и в этом секрет его успеха. FORESTER впитал в себя самое лучшее из созданного предшественниками, поэтому продукция фирмы - это все самое качественное для вашего пикника!
Разработано компанией ""Ruyan Co"", Германия.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Для розжига древесного угля, дров, топливных брикетов
<li>Не изменяет вкус приготовленных блюд
<li>Может использоваться в каминах, печках, фондю
<li>Состав: изопропиловый спирт, вода, загуститель, функциональные добавки";108;FORESTER гель для розжига в тубе 100 мл;"(Характеристики товара)Тип товара:Для разведения огня;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055990151;
(Характеристики товара)Объем:100 мл";FORESTER;
Товары для дома/Все для пикника/Средства для розжига;1;210051;Товары для дома/Все для пикника/Средства для розжига;/storage/photo/original/g/forester-spichki-dlitelnogo-goreniya-20-sht.jpg;Для удобного и безопасного розжига огня созданы специальные спички Forester. Они не подведут Вас даже в плохую погоду, т.к. не отсыревают и не требуют использования никаких дополнительных средств для розжига. Каждая спичка горит в течение 5 минут! Спички в количестве 20 штук упакованы в компактную коробку.</p>ОСОБЕННОСТИ ПРОДУКТА:<p></p><li>длительность горения спички до 5 мин.</li><li>не отсыревают</li><li>не требуют дополнительных средств для розжига</li><li>20 спичек в коробке</li>;119;FORESTER спички длительного горения 20 шт;"(Характеристики товара)Тип товара:Для разведения огня;
(Характеристики товара)Бренд:FORESTER;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4606517000586;
(Характеристики товара)Количество:20 шт";FORESTER;
Товары для дома/Все для пикника/Средства для розжига;1;210052;Товары для дома/Все для пикника/Средства для розжига;/storage/photo/original/g/soyuzgril-spichki-dlya-piknika-30-sht.-28.jpg;Спички для пикника Союзгриль, 30 штук – это одно из самых доступных и удобных средств, позволяющих разжечь дрова, уголь или брикеты в считанные минуты. Каждая из спичек в упаковке представлена черенком из древесного материала, снабженным зажигательной головкой. Они легко загораются и весьма сложно тушатся. Чтобы быстро добыть огонь (разжечь камин, мангал или коптильню), достаточно черкнуть одну из них, затем подержать пару секунд в горизонтальном положении и поместить к твердому топливу. Это средство не искрит, поэтому является безопасным в использовании. К тому же длина костровых спичек позволяет держать их в руке столько, сколько необходимо, без риска обжечься. </p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Предназначены для разведения огня</li>;47;Союзгриль Спички для пикника, 30 шт. (28);"(Характеристики товара)Тип товара:Спички;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991103;
(Характеристики товара)Количество:30 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Средства для розжига;1;210053;Товары для дома/Все для пикника/Средства для розжига;/storage/photo/original/g/soyuzgril-spichki-dlya-piknika-30-sht.jpg;"<p>
Спички для пикника Союзгриль 30 штук – это одно из самых доступных и удобных средств, позволяющих разжечь дрова, уголь или брикеты в считанные минуты. Каждая из спичек в упаковке представлена черенком из древесного материала, снабженным зажигательной головкой. Они легко загораются и весьма сложно тушатся. Чтобы быстро добыть огонь (разжечь камин, мангал или коптильню), достаточно черкнуть одну из них, затем подержать пару секунд в горизонтальном положении и поместить к твердому топливу. Это средство не искрит, поэтому является безопасным в использовании. К тому же длина костровых спичек позволяет держать их в руке столько, сколько необходимо, без риска обжечься.
</p>

ОСОБЕННОСТИ ПРОДУКТА:
<li>Черенком из древесного материала, снабженный зажигательной головкой
<li>Легко загораются
<li>Не искрят";47;СОЮЗГРИЛЬ спички для пикника 30 шт;"(Характеристики товара)Тип товара:Для разведения огня;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991103;
(Характеристики товара)Количество:30 шт";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Уголь;1;210054;Товары для дома/Все для пикника/Уголь;/storage/photo/original/g/soyuzgril-briketi-ugolnie-dlitelnogo-goreniya-2-kg.jpg;Брикеты угольные длительного горения Союзгриль  2 кг – это продукт из специально измельченных и спрессованных древесных углей, который обладает свойствами, во многом превосходящими обычные дрова.Применение угольно-древесных брикетов имеет ряд преимуществ. Длительное время горения – около 4-5 часов является одним из самых важных. Постоянство температуры при этом, а также небольшое количество зольной массы после сжигания – все это очень выгодно и экономно. Используя угольные брикеты для гриля, вы убедитесь еще и в том, что этот вид топлива не искрит при горении.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;160;СОЮЗГРИЛЬ Брикеты угольные длительного горения 2 кг;"(Характеристики товара)Тип товара:Для разведения огня;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991684;
(Характеристики товара)Вес:2 кг";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Уголь;1;210055;Товары для дома/Все для пикника/Уголь;/storage/photo/original/g/soyuzgril-ugol-berezovij-10-l.jpg;"Уголь Союзгриль N1-F04, 1,5 кг обладает высокой теплоотдачей. Это топливо можно использовать на пикнике для приготовления блюд на гриле, мангале, барбекю.Березовый уголь для шашлыка упакован в прочный и удобный для транспортировки пакет.
Это экологически чистая продукция, максимально безопасное для здоровья человека топливо, в котором содержится около 80 % углерода. Жар сохраняется длительное время, что является отличным подспорьем для готовки больших порций шашлыка. При сгорании березовый уголь пылает ровно, не коптит и практически не образует сажи, его использование гарантирует хорошую прожарку продуктов, исключая их подгорание.
Приобретая березовый уголь Союзгриль, вы обеспечиваете себе комфортные условия для реализации кулинарных рецептов на природе!</p><br>ОСОБЕННОСТИ ПРОДУКТА:";115;СОЮЗГРИЛЬ уголь Березовый 10 л;"(Характеристики товара)Тип товара:Уголь;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991141;
(Характеристики товара)Объем:10 л";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Уголь;1;210056;Товары для дома/Все для пикника/Уголь;/storage/photo/original/g/soyuzgril-ugol-pioner-10-l.jpg;"Уголь Союзгриль 1,5 кг обладает высокой теплоотдачей. Это топливо можно использовать на пикнике для приготовления блюд на гриле, мангале, барбекю.
Это экологически чистая продукция, максимально безопасное для здоровья человека топливо, в котором содержится около 80 % углерода. Жар сохраняется длительное время, что является отличным подспорьем для готовки больших порций шашлыка. </p><br>ОСОБЕННОСТИ ПРОДУКТА:";115;СОЮЗГРИЛЬ уголь Пионер 10 л;"(Характеристики товара)Тип товара:Уголь;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991806;
(Характеристики товара)Объем:10 л";СОЮЗГРИЛЬ;
Товары для дома/Все для пикника/Уголь;1;210057;Товары для дома/Все для пикника/Уголь;/storage/photo/original/g/soyuzgril-ugol-rekordsmen-20-l.jpg;"Березовый уголь для мангала позволит приготовить вкусное блюдо без особых усилий. Именно данное топливо заслуженно считается одним из самых экономичных. Высокий показатель теплоотдачи позволяет существенно сократить его расход. Разжигается он буквально от первых искр, именно поэтому многие решают приобрести именно березовый уголь для мангала, собираясь на природу или ""шашлычную"" поездку на дачу. Благодаря равномерному горению и способности длительное время сохранить жар, блюдо прожаривается со всех сторон не пригорая к шампурам или решетке-гриль. Приготовленная пища отличается не только незабываемым вкусом, но и своеобразным ароматом березового дыма. Кроме всего, древесный уголь не содержит опасных веществ, поэтому заслуженно считается одним из лучших в классе горючих веществ для приготовления блюд на костре. </p><br>ОСОБЕННОСТИ ПРОДУКТА:<li>Удобная для хранения и транспортировки упаковка</li><li>Обладает высокой теплоотдачей</li>";179;СОЮЗГРИЛЬ  Уголь Рекордсмен 20 л;"(Характеристики товара)Тип товара:Уголь;
(Характеристики товара)Бренд:СОЮЗГРИЛЬ;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4650055991813;
(Характеристики товара)Объем:20 л";СОЮЗГРИЛЬ;
