"Рекомендуемые товары";"Сопутствующие товары";"Артикул";"Короткое название"
"КУБАНОЧКА огурцы маринованые Корнишоны 1-4 см 0,36 кг;ДОБРОФЛОТ Сайра Тихоокеанская с добавлением масла 245 г";"CALVE кетчуп К мясу на углях 350 г;CALVE кетчуп Бразильский 350 г;CALVE кетчуп Баварский 350 г";"160020";"HEINZ кукуруза консервированная 340 г"
"HEINZ фасоль острая Сладкий чили 390 г;ДОБРОФЛОТ иваси сардина в масле 210 г";"CALVE кетчуп Неаполитанский 350 г;CALVE кетчуп К мясу на углях 350 г;CALVE кетчуп Бразильский 350 г";"160021";"КУБАНОЧКА ассорти из Томатов и Орурцов 1,6 кг"
"LORADO шампиньоны резаные 0,85 л;МАЯК икра окуня 125 г";"CALVE кетчуп с помидорами Черри 350 г;CALVE кетчуп Неаполитанский 350 г;CALVE кетчуп К мясу на углях 350 г";"160022";"КУБАНОЧКА фасоль консервированная Белая натуральная 400 г"
"КУБАНОЧКА томаты маринованные 0,72 л;МАЯК икра трески 125 г";"CALVE кетчуп Томатный 350 г;CALVE кетчуп с помидорами Черри 350 г;CALVE кетчуп Неаполитанский 350 г";"160023";"КУБАНОЧКА фасоль консервированная Белая в томатном соусе 400 г"
"HEINZ фасоль белая 400 г;МАЯК икра сома 125 г";"CALVE соус Американский Бургер 230 г;CALVE кетчуп Томатный 350 г;CALVE кетчуп с помидорами Черри 350 г";"160024";"КУБАНОЧКА фасоль консервированная Красная натуральная 400 г"
"FERRAGOSTO горошек консервированный 425 г;ДОБРОФЛОТ сельдь Тихоакеанская натуральная с добавлением масла 245 г";"CALVE соус Барбекю 230 г;CALVE соус Американский Бургер 230 г;CALVE кетчуп Томатный 350 г";"160025";"КУБАНОЧКА фасоль консервированная Красная в томатном соусе 400 г"
"FERRAGOSTO Кукуруза ж/б 425мл;НЕПТУН Сайра НДМ №6 240г";"CALVE соус Цезарь сырный 230 г;CALVE соус Барбекю 230 г;CALVE соус Американский Бургер 230 г";"160026";"КУБАНОЧКА горошек консервированный 400 г"
"LORADO кукуруза консервированная 425 г;LORADO черника дробленая с сахаром 370 мл";"CALVE соус Итальянский сливочный 230 г;CALVE соус Цезарь сырный 230 г;CALVE соус Барбекю 230 г";"160027";"КУБАНОЧКА горошек консервированный в стеклянной банке 460 г"
"ПОМИДОРКА лечо 480 мл;LORADO фрукты консервированные Абрикосы Половинки в сиропе 425 мл";"CALVE соус Медово-горчичный 230 г;CALVE соус Итальянский сливочный 230 г;CALVE соус Цезарь сырный 230 г";"160028";"КУБАНОЧКА Икра Баклажанная 500 гр"
"ПОМИДОРКА  лечо  480 мл;LORADO фрукты консервированные Ананас Кусочки в сиропе 580 мл";"CALVE соус С Лесными грибами 230 г;CALVE соус Медово-горчичный 230 г;CALVE соус Итальянский сливочный 230 г";"160029";"КУБАНОЧКА икра из кабачков 500 г"
"ДОБРОФЛОТ Горбуша Натуральная 245 г;LORADO фрукты консервированные Ананас Кусочки в сиропе 850 мл";"CALVE соус Сальса 230 г;CALVE соус С Лесными грибами 230 г;CALVE соус Медово-горчичный 230 г";"160030";"КУБАНОЧКА икра кабачковая в стеклянной банке 460 г"
