"Артикул";"Цена_Амизян";"Цена_Розничная";"Остаток"
110223;180,31;252,434;16
110225;180,31;252,434;29
110224;180,31;252,434;39
110114;184,26;257,964;836
121008;184,8;258,72;102
121019;184,8;258,72;110
121006;184,8;258,72;164
110241;185,76;260,064;262
120092;192,1;268,94;1044
124018;198,32;277,648;10
124021;198,34;277,676;95
124013;202,81;283,934;122
120104;207,16;290,024;2024
127005;210,94;295,316;55
110117;212,01;296,814;9
170376;212,34;297,276;1241
110139;216,08;302,512;402
110200;216,2;302,68;682
124033;220,38;308,532;78
124016;220,38;308,532;108
124024;224,27;313,978;79
110148;227,55;318,57;1
160115;234,92;328,888;2
160112;234,92;328,888;11
110279;238,65;334,11;152
160107;238,84;334,376;10
110257;240,88;337,232;70
110230;250,18;350,252;206
110250;272,84;381,976;91
110248;272,84;381,976;136
110249;275,64;385,896;37
110251;278,17;389,438;28
110072;280,08;392,112;41
110076;293,67;411,138;36
110175;299,33;419,062;96
110203;310,75;413,2975;1024
124011;313,68;417,1944;10
124012;313,68;417,1944;41
110288;321,9;428,127;97
110252;339,94;452,1202;65
110244;346,89;461,3637;44
110057;394,05;524,0865;252
110220;398,23;529,6459;76
110195;408,18;542,8794;14
110174;419,1;557,403;511
110306;434,57;577,9781;216
110056;457,08;607,9164;115
121017;459,77;611,4941;4
110073;460,88;612,9704;98
110289;466,2;620,046;150
110276;466,2;620,046;714
110258;481,75;640,7275;26
110222;509,14;677,1562;46
110074;524,79;697,9707;33
110277;657,11;873,9563;296
110285;740,83;985,3039;173
140282;;;52
