"Артикул";"Цена_Трансазия";"Цена_Розничная";"Перечеркнутая цена";"Оценка товарного запаса"
310088;116;145;137;25
310089;64;80;;25
310091;41;51;;25
310092;64;80;;25
310093;64;80;;25
310094;41;51;;25
310095;64;80;;25
310096;37;46;;25
310098;92;115;109;25
310099;92;115;109;25
310101;92;115;109;25
310103;116;145;137;25
310104;68;85;;25
310105;116;145;137;25
310107;79;99;;5
310108;124;155;;15
310109;119;149;188;15
310115;79;99;124;15
310116;89;111;124;15
310117;116;145;137;25
310122;179;224;219;15
310124;145;181;183;5
310126;245;306;300;5
310130;66;82;;25
310131;66;82;;25
310132;66;82;;25
310135;83;104;;25
310136;83;104;;25
310137;129;161;;25
310138;129;161;;15
310140;121;151;;25
310142;125;156;;25
310143;125;156;;25
310144;140;175;;25
310145;125;156;;25
310146;125;156;;25
310147;125;156;;25
310148;125;156;;25
310151;125;156;;25
310152;125;156;;25
310153;187;234;;25
310154;129;161;;5
310155;161;201;;25
310156;140;175;;25
310158;247;309;;25
310159;247;309;;25
310160;18;22;;25
310161;18;22;;25
310162;19;24;;25
310163;97;121;;25
310165;116;145;137;25
310166;116;145;137;25
310167;116;145;137;25
310168;116;145;137;25
310169;46;58;52;25
310170;115;144;;25
310172;149;186;218;15
310174;65;81;82;25
310176;133;166;167;25
310177;129;161;;5
310178;53;66;;25
310179;105;131;;25
310180;65;81;;25
310181;124;155;;25
310182;124;155;;25
310183;89;111;99;5
310186;79;99;129;5
310189;59;74;82;5
310192;137;171;;25
310193;137;171;;25
310194;197;246;;25
310196;42;52;;25
310197;76;95;85;25
310200;167;209;;25
310205;167;209;;25
310209;70;88;78;15
310210;43;54;48;5
310214;116;145;137;25
310215;160;200;;25
310216;389;486;;25
310217;274;342;;25
310218;34;42;;25
310219;203;254;;25
310220;142;178;203;25
310222;82;102;;25
310223;82;102;;25
310224;151;189;;25
310225;126;158;158;25
310226;142;178;;25
310227;142;178;;25
310228;142;178;;25
310229;151;189;;25
310234;163;204;;5
310235;116;145;;25
310237;48;60;;25
310238;48;60;;25
310239;48;60;;25
310240;85;106;114;25
310241;113;141;;25
310242;113;141;;15
310243;113;141;;25
310244;149;186;;25
310245;149;186;;25
310246;129;161;;25
310246;186;232;;25
310248;128;160;;25
310249;149;186;;25
310250;113;141;;25
310251;186;232;;25
310252;155;194;;5
310255;149;186;;25
310256;48;60;;25
310257;48;60;;15
310258;249;311;;15
310260;141;176;;15
310261;111;139;;25
310263;208;260;;25
310264;163;204;;5
310265;141;176;;15
310266;222;278;;5
310268;81;101;101;5
310270;7493;9366;;5
310271;594;742;849;25
310272;847;1059;;15
310273;1271;1589;;25
310274;847;1059;;25
310275;737;921;;25
310276;1105;1381;;15
310277;1271;1589;;5
310278;847;1059;;15
310279;847;1059;;25
310280;1829;2286;;15
310281;1647;2059;1830;15
310282;1829;2286;;5
310283;1791;2239;3582;15
310284;3765;4706;5379;5
310286;3765;4706;5379;5
310287;847;1059;;15
310288;1271;1589;;5
310290;5207;6509;12990;5
310291;4686;5858;10414;25
310292;7851;9814;11216;5
310293;5378;6722;;15
310294;3412;4265;;5
310295;1467;1834;1661;25
320010;140;175;;5
320011;180;225;;25
320012;185;231;;25
320013;185;231;;15
320014;222;278;;25
320015;222;278;;25
320016;222;278;;25
320020;244;305;;25
320023;222;278;;15
320024;246;308;308;25
320025;246;308;308;25
320028;263;329;;25
320031;263;329;;25
320034;277;346;;25
320036;263;329;;25
320037;156;195;;25
320038;263;329;;25
320039;263;329;;25
320040;222;278;;25
320041;323;404;404;5
320043;303;379;;5
320044;303;379;;15
320045;303;379;;25
320052;327;409;;25
320053;327;409;;15
320054;66;82;;25
320056;66;82;;25
320057;76;95;;25
320058;66;82;;25
320060;125;156;;25
320061;125;156;;25
320063;89;111;;25
320064;125;156;;25
320066;125;156;;25
320067;125;156;;25
320068;85;106;;5
320069;85;106;;15
320070;207;259;259;25
320071;195;244;;25
320072;195;244;;15
320073;120;150;;25
320074;195;244;;25
320075;120;150;;25
320077;120;150;;25
320078;120;150;;25
320079;120;150;;25
320080;195;244;;25
320082;281;351;;15
320090;396;495;;25
320093;323;404;412;5
320094;519;649;;5
320098;78;98;;15
320099;78;98;;15
320102;213;266;284;25
320103;213;266;284;5
320105;213;266;284;15
320110;231;289;;25
320112;447;559;;15
320113;416;520;;5
320114;76;95;;25
320115;76;95;;25
320116;334;418;;15
320117;334;418;;5
320120;368;460;;15
320122;447;559;;15
320122;447;559;;15
320123;447;559;;15
320127;451;564;;15
320129;451;564;;25
320130;365;456;;25
320131;365;456;;5
320132;365;456;;15
320133;209;261;;25
320134;354;442;;25
320135;386;482;;25
320136;88;110;;25
320137;81;101;;25
320139;113;141;;25
320140;247;309;;15
320141;234;292;;25
320142;402;502;;25
320143;102;128;;25
320144;328;410;;25
320146;517;646;;25
320147;348;435;;25
320148;341;426;;25
320149;586;732;;25
320150;455;569;;25
320151;2549;3186;;15
320152;1768;2210;;15
320153;595;744;;25
320154;715;894;;25
320155;1051;1314;;25
320156;1158;1448;;25
320157;1480;1850;;25
320158;1985;2481;;5
320159;786;982;;25
320160;786;982;;25
320161;1414;1768;;25
320163;506;632;;25
320165;881;1101;;25
320166;1260;1575;;25
320167;1576;1970;;25
320168;1938;2422;;25
320169;1752;2190;;25
320170;396;495;;25
320171;442;552;;25
320172;712;890;;25
320173;794;992;;25
320174;1230;1538;;25
320175;1397;1746;;25
320177;286;358;;25
320178;396;495;;25
320179;712;890;;25
320180;1230;1538;;25
320181;539;674;;25
320182;974;1218;;25
320183;757;946;;25
320184;666;832;;25
320185;1141;1426;;5
320186;1141;1426;;25
320187;395;494;;25
320188;395;494;;25
320189;614;768;;25
320190;616;770;;25
320191;493;616;;25
320192;757;946;;25
320193;556;695;;25
320194;950;1188;;25
320195;864;1080;;25
320196;666;832;;25
320197;35;44;;25
320198;61;76;;25
320199;22;28;;25
320201;775;969;;25
320206;443;554;633;15
320207;96;120;;25
320208;123;154;;15
320209;105;131;;25
320210;114;142;;25
320211;80;100;;25
320212;90;112;;25
320213;163;204;;25
320214;70;88;;25
320215;107;134;;25
320216;70;88;;25
320217;142;178;;15
320218;142;178;;25
320220;21;26;;25
320221;19;24;;25
320222;352;440;;25
320223;480;600;;25
320225;165;206;;5
320226;240;300;;25
320228;265;331;;25
320229;241;301;;25
320230;168;210;;25
320235;98;122;;25
320236;24;30;;25
320238;1029;1286;;25
320240;843;1054;;25
320241;861;1076;;25
320243;720;900;;25
320246;330;412;389;25
320247;341;426;;25
320248;480;600;;25
320249;611;764;;25
320250;169;211;;25
320251;534;668;;15
320252;441;551;;25
320253;155;194;;25
320254;89;111;;25
320256;212;265;;25
320257;47;59;;25
320258;100;125;;25
320259;179;224;;25
320260;653;816;;25
320261;367;459;;25
320262;509;636;;25
320263;653;816;;25
320266;541;676;;25
320267;719;899;;25
320268;611;764;;25
320269;639;799;;15
330013;253;316;;25
330014;182;228;;25
330015;152;190;;5
330016;152;190;;15
330017;152;190;;15
330018;182;228;;25
330019;253;316;;15
330020;207;259;241;25
330021;207;259;241;25
330021;153;191;;25
330022;207;259;241;25
330023;207;259;241;25
330024;153;191;;25
330025;207;259;241;25
330027;253;316;;25
330028;182;228;;25
330029;84;105;;25
330030;84;105;;25
330031;242;302;279;25
330032;242;302;279;25
330033;242;302;279;25
330034;242;302;279;25
330035;289;361;333;15
330036;242;302;279;25
330037;586;732;;5
330038;206;258;;15
330039;304;380;;25
330040;304;380;;15
330041;304;380;;15
330042;304;380;;25
330043;206;258;;15
330044;206;258;;5
330046;206;258;;25
330047;206;258;;15
330048;206;258;;25
330049;253;316;;25
330050;182;228;;25
330051;160;200;;5
330053;143;179;;25
330054;143;179;;25
330055;143;179;;25
330056;185;231;244;25
330057;185;231;244;25
330058;185;231;244;25
330059;185;231;244;25
330060;185;231;244;25
330061;213;266;281;25
330062;185;231;244;25
330063;213;266;281;25
330064;213;266;281;25
330065;213;266;281;25
330066;185;231;244;25
330067;185;231;244;25
330068;306;382;403;25
330069;306;382;403;25
330070;306;382;403;25
330072;306;382;403;25
330073;306;382;403;25
330074;306;382;403;25
330075;306;382;;25
330076;242;302;279;25
330077;242;302;279;25
330078;242;302;279;25
330079;1136;1420;;15
330081;1136;1420;;5
330094;207;259;241;25
330097;153;191;;25
330099;153;191;;25
330100;207;259;241;5
330101;153;191;;25
330104;207;259;241;25
330105;153;191;;25
330107;153;191;;25
330109;207;259;241;25
330111;207;259;241;25
330112;207;259;241;25
330113;207;259;241;25
330114;153;191;;25
330115;207;259;241;25
330117;207;259;241;25
330118;207;259;241;25
330119;153;191;;25
330120;66;82;;25
330121;221;276;;25
330122;221;276;;25
330123;221;276;;25
330124;221;276;;25
330125;221;276;;25
330126;221;276;;25
330127;221;276;;25
330128;221;276;;25
330129;112;140;148;25
330131;112;140;148;25
330132;112;140;148;25
330133;112;140;148;25
330134;112;140;148;25
330134;112;140;148;25
330136;112;140;148;25
330136;112;140;148;25
330138;112;140;148;25
330139;112;140;148;25
330139;112;140;148;25
330141;112;140;148;25
330142;112;140;148;25
330144;116;145;153;25
330145;116;145;153;25
330146;116;145;153;25
330147;116;145;153;25
330149;116;145;153;25
330150;116;145;153;25
330151;113;141;;15
330152;252;315;332;25
330153;252;315;332;25
330154;252;315;332;15
330156;252;315;332;25
330157;252;315;332;25
330158;252;315;;15
330159;252;315;332;25
330160;252;315;332;25
330161;252;315;332;25
330162;252;315;332;25
330164;199;249;;15
330165;260;325;;25
330166;260;325;;15
330167;260;325;;25
330168;260;325;;15
330169;260;325;;25
330170;260;325;;5
330171;260;325;;15
330175;56;70;;25
330176;56;70;;15
330179;135;169;;15
330180;135;169;;25
330181;107;134;;25
330182;91;114;;15
330184;82;102;;25
330185;82;102;;25
330186;82;102;;25
330187;107;134;;25
330188;107;134;;25
330189;107;134;;25
330191;91;114;;25
330192;91;114;;25
330193;46;58;;25
330194;46;58;;25
330197;72;90;;25
330200;72;90;;25
330202;162;202;;25
330204;62;78;;25
330205;113;141;;25
330206;113;141;;15
330208;99;124;;25
330209;99;124;;25
330210;99;124;;25
330211;99;124;;25
330214;73;91;;25
330215;73;91;;25
330216;73;91;;25
330217;73;91;;25
330218;218;272;;25
330219;218;272;;25
330220;218;272;;25
330221;368;460;;25
330222;368;460;;25
330223;368;460;;15
330224;368;460;;25
330225;368;460;;15
330226;368;460;;25
330227;156;195;;25
330228;156;195;;25
330229;156;195;;25
330230;156;195;;25
330231;156;195;;25
330232;156;195;;15
330233;169;211;;25
330234;169;211;;15
330235;201;251;;15
330236;201;251;;25
330237;142;178;190;25
330238;189;236;;25
330238;189;236;;25
330239;201;251;;25
330241;189;236;;15
330242;189;236;;15
330243;189;236;;15
330245;189;236;;25
330246;189;236;;25
330247;189;236;;25
330248;189;236;;25
330249;189;236;;25
330251;189;236;;25
330252;189;236;;25
330253;142;178;190;25
330254;110;138;;25
330257;110;138;;15
330258;104;130;;25
330259;114;142;150;25
330260;114;142;150;25
330261;114;142;150;25
330262;272;340;358;25
330263;114;142;150;25
330264;114;142;150;25
330265;114;142;150;25
330267;114;142;150;25
330268;272;340;358;25
330269;114;142;150;25
330270;272;340;358;25
330272;114;142;150;25
330273;114;142;150;25
330274;114;142;150;25
330274;114;142;150;25
330277;272;340;358;25
330278;272;340;358;25
330279;114;142;150;25
330281;114;142;150;25
330282;114;142;150;25
330283;114;142;150;25
330284;114;142;150;25
330285;114;142;150;25
330286;114;142;150;25
330287;114;142;150;25
330288;114;142;150;25
330289;114;142;150;25
330290;160;200;;5
330292;160;200;;15
330293;92;115;132;5
330296;131;164;;5
330297;131;164;;15
330315;197;246;;25
330317;164;205;;25
330319;197;246;;25
330323;164;205;;15
330324;164;205;;15
330325;164;205;;25
330326;197;246;;25
330327;197;246;;25
330330;377;471;;5
330331;200;250;;25
330333;164;205;219;25
330334;218;272;;25
330335;212;265;;5
330336;88;110;;25
330337;67;84;;25
330339;55;69;69;25
330340;33;41;;25
330341;33;41;;25
330342;268;335;;15
330343;84;105;;25
330344;84;105;;25
330345;63;79;;25
330346;59;74;;15
330347;58;72;;25
330350;80;100;;25
330352;335;419;;5
330353;173;216;;25
330357;133;166;;25
330358;100;125;134;25
330359;148;185;;5
330362;148;185;;25
330363;148;185;;15
330364;148;185;;15
330365;148;185;;25
330366;189;236;;25
330367;133;166;;25
330368;133;166;;25
330369;63;79;;25
330370;37;46;;25
330371;37;46;;25
330372;37;46;;25
330373;37;46;;25
330374;37;46;;25
330376;84;105;;25
330377;84;105;;25
330378;218;272;;25
330379;218;272;;25
330380;116;145;;25
330381;116;145;;25
330382;116;145;;15
330383;116;145;;25
330384;116;145;;25
330385;173;216;;25
330386;58;72;;25
330387;63;79;;25
330388;63;79;;25
330389;63;79;;25
330390;100;125;;25
330391;63;79;;25
330392;51;64;;25
330393;51;64;;25
330399;266;332;;25
330400;266;332;;25
330401;309;386;;15
330402;77;96;;25
330403;77;96;;25
330404;125;156;165;15
330405;125;156;165;25
330406;125;156;165;25
330407;125;156;165;25
330408;125;156;165;25
330409;125;156;165;25
330410;53;66;;25
330411;53;66;;25
330412;53;66;;25
330413;169;211;;25
330416;110;138;;5
330418;107;134;;25
330419;107;134;;25
330420;84;105;;25
330421;48;60;;25
330422;48;60;;25
330423;48;60;;25
330424;48;60;;25
330425;105;131;117;25
330426;105;131;117;25
330427;105;131;117;25
330428;105;131;117;25
330429;105;131;117;25
330433;112;140;;25
330435;111;139;;25
330437;208;260;274;15
330438;208;260;274;25
330439;82;102;;25
330440;82;102;;25
330441;179;224;;5
330443;21;26;;25
330444;30;38;;25
330446;37;46;;25
330447;37;46;;25
330448;41;51;;25
330450;52;65;;25
330451;52;65;;25
330452;52;65;;25
330453;20;25;28;25
330455;16;20;;25
330456;16;20;;25
330457;16;20;;25
330458;16;20;;25
330459;16;20;;25
330461;71;89;;15
330462;71;89;;5
330479;13;16;;25
330480;13;16;;25
330481;13;16;;25
330482;13;16;;25
330486;15;19;;15
330487;15;19;;25
330488;15;19;;25
330489;15;19;;25
330490;15;19;;25
330491;23;29;;15
330492;23;29;;5
330493;23;29;;25
330494;23;29;;25
330495;23;29;;25
330496;23;29;;25
330497;23;29;;25
330498;23;29;;25
330499;23;29;;5
330500;23;29;;15
330501;39;49;;25
330502;39;49;;25
330503;39;49;;25
330504;39;49;;25
330506;43;54;;25
330507;43;54;;25
330508;27;34;;25
330509;27;34;;25
330510;27;34;;25
330511;20;25;28;25
330512;27;34;;25
330514;52;65;;25
330515;52;65;;25
330516;52;65;;25
330517;142;178;;25
330518;97;121;;5
330523;81;101;;25
330524;96;120;;25
330526;81;101;;25
330527;81;101;;25
330528;81;101;;25
330530;96;120;;25
330531;96;120;;25
330532;81;101;;25
330533;81;101;;25
330534;116;145;;25
330535;116;145;;25
330536;116;145;;25
330537;116;145;;25
330538;164;205;;25
330539;164;205;;25
330540;34;42;;25
330541;34;42;;25
330542;164;205;;25
330543;99;124;;25
330544;99;124;;25
330546;49;61;64;25
330547;49;61;64;25
330548;49;61;64;25
330549;49;61;64;25
330550;49;61;64;25
330551;49;61;64;25
330553;49;61;64;25
330554;49;61;64;25
330555;90;112;;25
330557;90;112;;25
330558;17;21;;25
330559;17;21;;25
330560;17;21;;25
330561;90;112;;25
330562;48;60;;25
330563;48;60;;25
330564;48;60;;25
330570;53;66;;25
330571;53;66;;25
330572;37;46;42;25
330573;37;46;42;25
330574;37;46;42;25
330575;37;46;42;25
330576;37;46;42;25
330577;37;46;42;25
330578;37;46;42;25
330579;136;170;;25
330580;136;170;;25
330581;136;170;;5
330582;81;101;;25
330583;164;205;;5
330585;81;101;;25
330586;111;139;;25
330588;412;515;;5
330592;409;511;;25
330593;409;511;;25
330594;409;511;;25
330595;274;342;;25
330596;150;188;198;25
330598;261;326;;15
330599;137;171;;25
330600;137;171;;25
330601;252;315;332;25
330603;99;124;;25
330603;99;124;;25
330604;99;124;;25
330605;99;124;;25
330606;107;134;;25
330608;129;161;;15
330609;129;161;;25
330610;138;172;;15
330611;61;76;;25
330613;55;69;;15
330614;55;69;;15
330615;111;139;;25
330616;113;141;;25
330620;242;302;279;25
330621;242;302;279;25
330622;242;302;279;25
330623;242;302;279;25
330624;242;302;279;25
330625;218;272;;25
330626;311;389;;25
330627;311;389;;25
330628;211;264;;15
330629;311;389;;25
330630;311;389;;15
330631;311;389;;25
330632;311;389;;25
330633;311;389;;25
330634;311;389;;25
330635;211;264;;25
330637;311;389;;25
330638;586;732;;15
330639;586;732;;15
330640;586;732;;15
330641;586;732;;15
330642;304;380;;15
330643;304;380;;15
330644;304;380;;25
330645;206;258;;15
330646;269;336;;25
330647;202;252;270;25
330648;269;336;;15
330649;269;336;;15
330650;269;336;;15
330651;269;336;;25
330652;206;258;;25
330653;206;258;;25
330654;206;258;;25
330655;206;258;;15
330656;206;258;;25
330657;206;258;;25
330658;206;258;;25
330659;182;228;;25
330660;253;316;;25
330661;253;316;;25
330662;182;228;;25
330663;253;316;;25
330664;182;228;;25
330665;253;316;;25
330666;182;228;;15
330668;182;228;;25
330672;143;179;;25
330673;205;256;;25
330674;205;256;;25
330675;143;179;;25
330676;143;179;;25
330677;205;256;;25
330678;143;179;;25
330679;205;256;;15
330680;143;179;;25
330681;205;256;;25
330682;185;231;244;25
330683;213;266;281;25
330684;185;231;244;25
330685;185;231;244;25
330686;213;266;281;25
330687;213;266;281;25
330689;185;231;244;25
330690;185;231;244;25
330691;185;231;244;25
330692;213;266;281;25
330694;185;231;244;25
330695;213;266;281;25
330696;213;266;281;25
330698;213;266;281;25
330699;185;231;244;25
330700;268;335;383;5
330701;242;302;279;25
330702;242;302;279;25
330703;146;182;163;25
330704;242;302;279;25
330705;242;302;279;25
330706;383;479;;25
330707;383;479;;25
330708;383;479;;15
330709;383;479;;25
330710;383;479;;25
330712;268;335;383;5
330713;383;479;;25
330714;383;479;;25
330715;242;302;279;25
330716;242;302;279;25
330717;146;182;163;25
330718;230;288;384;25
330719;242;302;279;25
330720;242;302;279;25
330721;146;182;163;25
330722;242;302;279;25
330723;146;182;163;25
330724;242;302;279;25
330725;242;302;279;25
330726;146;182;163;25
330727;242;302;279;25
330728;242;302;279;25
330729;242;302;279;25
330730;242;302;279;25
330731;242;302;279;25
330732;146;182;163;25
330733;242;302;279;25
330734;242;302;279;25
330735;146;182;163;25
330736;242;302;279;25
330737;146;182;163;25
330738;146;182;163;25
330739;242;302;279;25
330740;146;182;163;25
330741;146;182;163;25
330742;146;182;163;25
330743;146;182;163;25
330744;146;182;163;25
330745;146;182;163;25
330746;146;182;163;25
330747;146;182;163;25
330748;146;182;163;25
330751;494;618;556;25
330752;494;618;556;5
330753;146;182;163;25
330755;242;302;279;25
330756;383;479;;15
330757;242;302;279;25
330758;242;302;279;25
330759;146;182;163;25
330760;146;182;163;25
330761;242;302;279;25
330762;242;302;279;25
330763;242;302;279;25
330764;242;302;279;25
330765;242;302;279;25
330766;2704;3380;;5
330769;1071;1339;;15
330772;1071;1339;;5
330773;1071;1339;;15
330775;1071;1339;;15
330777;1071;1339;;15
330780;234;292;;25
330781;176;220;;25
330788;131;164;;25
330796;182;228;;5
330799;229;286;;5
330808;164;205;;5
330814;76;95;;5
330817;153;191;;25
330819;207;259;241;25
330820;153;191;;25
330821;207;259;241;15
330822;153;191;;25
330823;207;259;241;25
330825;207;259;241;25
330826;153;191;;25
330828;207;259;241;25
330829;207;259;241;25
330830;153;191;;25
330831;153;191;;25
330832;66;82;;25
330834;207;259;241;25
330835;207;259;241;25
330836;207;259;241;25
330838;207;259;241;25
330840;207;259;241;25
330841;207;259;241;25
330842;153;191;;25
330843;207;259;241;25
330844;153;191;;25
330845;207;259;241;25
330846;207;259;241;5
330847;153;191;;25
330848;153;191;;25
330849;207;259;241;5
330850;221;276;;25
330851;221;276;;25
330852;221;276;;25
330853;221;276;;25
330854;221;276;;25
330855;221;276;;25
330856;221;276;;25
330857;112;140;148;25
330858;139;174;183;25
330859;139;174;183;25
330860;139;174;183;25
330861;139;174;183;25
330862;139;174;183;25
330863;221;276;291;25
330864;139;174;183;25
330865;139;174;183;25
330866;139;174;183;25
330867;139;174;183;25
330869;139;174;183;25
330870;139;174;183;25
330871;112;140;148;25
330872;139;174;183;25
330873;139;174;183;25
330874;139;174;183;25
330875;221;276;291;25
330876;139;174;183;25
330877;112;140;148;25
330878;139;174;183;25
330879;112;140;148;25
330880;112;140;148;25
330881;139;174;183;25
330883;139;174;183;25
330884;139;174;183;25
330885;139;174;183;25
330886;139;174;183;25
330887;221;276;291;25
330888;112;140;148;25
330889;139;174;183;25
330891;139;174;183;25
330892;112;140;148;25
330893;139;174;183;25
330894;150;188;198;25
330895;150;188;198;25
330896;150;188;198;25
330897;150;188;198;25
330898;217;271;286;25
330899;150;188;198;25
330900;150;188;198;25
330901;217;271;286;25
330902;217;271;286;25
330903;150;188;198;25
330904;150;188;198;25
330905;217;271;286;25
330906;217;271;286;25
330907;150;188;198;25
330908;150;188;198;25
330909;252;315;332;25
330911;252;315;332;25
330912;252;315;332;25
330913;252;315;332;25
330914;252;315;332;25
330916;252;315;332;25
330917;252;315;332;25
330918;625;781;;25
330919;252;315;332;25
330920;252;315;332;25
330921;252;315;332;25
330923;252;315;332;25
330925;260;325;;25
330928;260;325;;5
330931;260;325;;25
330932;199;249;;15
330934;218;272;;15
330935;218;272;;5
340011;79;99;;25
340012;150;188;;25
340013;150;188;;25
340014;36;45;;25
340015;44;55;;25
340016;65;81;;25
340017;92;115;;25
340018;83;104;;25
340019;43;54;;25
340020;43;54;;25
340021;43;54;;15
340022;43;54;;15
340023;107;134;;15
340024;107;134;;25
340025;43;54;;15
340026;43;54;;25
340027;161;201;;25
340028;235;294;262;25
340029;55;69;;25
340030;126;158;;25
340031;217;271;;25
340032;217;271;;25
340034;100;125;;25
340035;153;191;;25
340036;126;158;;25
340037;217;271;;25
340039;55;69;;25
340040;161;201;;25
340041;161;201;;25
340042;235;294;262;25
340043;235;294;262;25
340044;161;201;;25
340045;161;201;;25
340046;55;69;;25
340047;55;69;;25
340048;55;69;;25
340050;161;201;;25
340051;55;69;;25
340052;116;145;;25
340053;203;254;;25
340058;100;125;;25
340060;145;181;162;25
340063;54;68;;25
340064;100;125;;25
340065;71;89;;15
340066;71;89;;15
340067;188;235;;15
340069;71;89;;15
340070;188;235;;15
340071;71;89;;15
340072;188;235;;15
340073;132;165;;25
340074;119;149;;25
340075;54;68;;25
340077;156;195;;5
340079;61;76;77;25
340080;103;129;;25
340081;111;139;139;25
340082;119;149;;25
340083;119;149;;25
340084;119;149;;25
340085;227;284;;25
340086;227;284;;5
340087;265;331;;25
340088;57;71;;25
340090;265;331;;25
340091;100;125;;25
340092;141;176;;25
340093;57;71;;25
340094;57;71;;25
340095;163;204;;25
340096;141;176;;25
340097;57;71;;25
340098;57;71;;25
340099;57;71;;25
340100;100;125;;25
340101;163;204;;25
340102;69;86;101;25
340103;77;96;111;15
340104;59;74;;25
340105;59;74;;25
340106;74;92;88;25
340107;168;210;;25
340108;291;364;;25
340109;74;92;88;25
340110;74;92;88;25
340111;168;210;;25
340112;168;210;;25
340113;291;364;;25
340114;74;92;88;25
340115;291;364;;25
340116;74;92;88;25
340117;168;210;;25
340118;59;74;;25
340119;74;92;88;25
340120;74;92;88;25
340121;168;210;;25
340122;291;364;;25
340123;74;92;88;25
340124;168;210;;25
340125;86;108;102;25
340126;168;210;;25
340127;74;92;88;25
340128;168;210;;25
340129;74;92;88;25
340130;74;92;88;25
340131;168;210;;25
340132;27;34;;25
340133;47;59;;25
340134;55;69;;25
340135;55;69;;25
340136;63;79;;25
340137;67;84;;25
340138;77;96;;25
340139;77;96;;25
340140;77;96;;25
340141;63;79;;25
340142;77;96;;25
340143;77;96;;25
340144;77;96;;25
340145;63;79;;25
340146;242;302;;25
340147;95;119;112;25
340149;176;220;235;5
340150;163;204;218;15
340151;217;271;234;15
340154;154;192;;5
340155;214;268;;15
340156;135;169;;15
340157;201;251;;25
340158;209;261;;15
340159;123;154;;15
340161;96;120;120;25
340162;161;201;202;5
340163;96;120;120;25
340165;96;120;120;25
340166;161;201;202;25
340167;96;120;120;25
340168;161;201;202;15
340169;96;120;120;15
340170;272;340;340;5
340171;110;138;;25
340172;95;119;;25
340173;184;230;;25
340174;61;76;77;25
340175;113;141;142;25
340176;61;76;77;25
340177;61;76;77;25
340180;95;119;;25
340181;184;230;;25
340182;95;119;;25
340183;95;119;;25
340184;184;230;;25
340186;51;64;60;25
340187;135;169;;25
340188;95;119;112;25
340189;242;302;;25
340190;69;86;;25
340191;37;46;45;25
340192;173;216;204;5
340193;135;169;;25
340194;95;119;112;25
340195;69;86;;25
340197;37;46;45;25
340198;69;86;;25
340199;135;169;;25
340200;242;302;;25
340203;193;241;280;15
340204;193;241;280;25
340205;81;101;141;25
340206;202;252;292;25
340207;133;166;;25
340208;133;166;;25
340209;152;190;;25
340210;180;225;;25
340212;176;220;221;25
340215;98;122;;25
340216;182;228;;25
340218;98;122;;25
340219;245;306;;25
340221;245;306;;25
340222;163;204;;25
340223;163;204;;25
340224;80;100;;25
340225;192;240;;25
340226;192;240;;25
340227;109;136;;25
340228;164;205;;25
340229;164;205;;25
340230;192;240;;25
340231;80;100;;25
340232;109;136;;25
340235;283;354;354;5
340238;168;210;210;25
340239;168;210;210;5
340240;182;228;;5
350010;188;235;;15
350011;163;204;182;25
350012;163;204;182;25
350013;251;314;279;25
350014;251;314;279;25
350015;137;171;153;25
350016;137;171;153;25
350017;188;235;;15
350019;188;235;;25
350020;203;254;;25
350021;203;254;;25
350022;203;254;;25
350023;152;190;;25
350024;152;190;;25
350025;152;190;;25
350026;152;190;;25
350028;120;150;;15
350029;120;150;;25
350030;120;150;;25
350031;120;150;;25
350032;120;150;;25
350033;113;141;;15
350034;116;145;;25
350035;116;145;;25
350036;145;181;;25
350037;163;204;;15
350038;145;181;;25
350041;113;141;;25
350042;113;141;;5
350044;198;248;;25
350048;133;166;;25
350049;133;166;;25
350050;198;248;;25
350051;133;166;;15
350052;198;248;;25
350053;133;166;;25
350054;198;248;;25
350055;133;166;;25
350056;198;248;;25
350057;133;166;;25
350058;198;248;;25
350059;100;125;134;25
350060;133;166;;25
350063;168;210;;25
350064;168;210;;25
350065;168;210;;25
350067;168;210;;25
350068;168;210;;25
350070;168;210;;25
350071;168;210;;25
350072;133;166;;25
350073;198;248;;25
350077;198;248;;25
350078;161;201;;25
350079;161;201;;25
350080;161;201;;25
350081;183;229;;25
350082;183;229;;25
350083;183;229;;25
350084;223;279;;25
350086;150;188;;25
350087;150;188;;25
350088;150;188;;25
350089;183;229;;25
350090;183;229;;25
350091;128;160;;25
350093;223;279;;15
350094;126;158;166;25
350095;126;158;166;25
350096;104;130;137;25
350097;104;130;137;25
350098;139;174;183;25
350099;126;158;166;25
350100;126;158;166;25
350102;126;158;166;25
350103;104;130;137;25
350104;104;130;137;25
350105;139;174;183;25
350106;126;158;166;25
350107;104;130;137;25
350108;126;158;166;25
350109;104;130;137;25
350110;104;130;137;25
350111;126;158;166;25
350112;68;85;90;25
350113;104;130;137;25
350114;139;174;183;25
350115;126;158;166;25
350118;139;174;183;25
350119;126;158;166;25
350120;126;158;166;25
350121;188;235;;5
350122;203;254;;25
350123;120;150;;25
350124;120;150;;25
350125;152;190;;25
350126;152;190;;25
350137;126;158;168;25
350138;168;210;;25
350139;198;248;;25
350140;126;158;168;25
350142;257;321;;25
350145;197;246;;15
350146;197;246;;25
350148;197;246;;25
350149;197;246;;5
350151;157;196;;5
350154;197;246;;5
350155;197;246;;25
350158;215;269;;25
350159;215;269;;25
350160;215;269;;25
350161;215;269;;15
350162;183;229;;25
350163;183;229;;25
350164;183;229;;25
350165;215;269;;15
350166;218;272;243;25
