"Артикул";"Цена_Трансазия";"Цена_Розничная";"Перечеркнутая цена";"Оценка товарного запаса"
140100;77;96;;25
140101;77;96;;5
140102;31;39;;25
140103;77;96;;25
140104;31;39;;25
140105;77;96;;25
140106;31;39;;25
140107;77;96;;25
140108;31;39;;25
140109;77;96;;25
140110;13;16;;15
140111;13;16;;25
140112;14;18;;5
140113;51;64;;25
140114;51;64;;25
140115;61;76;;25
140116;118;148;;5
140117;61;76;;5
140118;97;121;;25
140119;97;121;;25
140120;19;24;;25
140121;97;121;;25
140122;19;24;;25
140124;102;128;;5
140125;93;116;;5
140126;117;146;;5
140127;127;159;;5
140128;40;50;;25
140129;56;70;;25
140130;106;132;;25
140131;34;42;;25
140133;86;108;;25
140134;74;92;;25
140135;74;92;;25
140136;74;92;;25
140137;57;71;;25
140138;113;141;;25
140144;20;25;;25
140145;46;58;;25
140148;33;41;;25
140149;66;82;;25
140150;33;41;;25
140151;33;41;;25
140156;50;62;;25
140157;50;62;;25
140158;50;62;;25
140159;50;62;;25
140160;16;20;;25
140161;50;62;;25
140162;16;20;;25
140166;85;106;;25
140170;57;71;;25
140172;85;106;;25
140175;57;71;;25
140190;98;122;;25
140191;137;171;;25
140192;134;168;;25
140193;102;128;;25
140194;58;72;;25
140195;67;84;;25
140196;58;72;;25
140197;32;40;;25
140199;59;74;;25
140200;50;62;;15
140201;58;72;;25
140300;66;82;;25
140301;66;82;;25
140303;1172;1465;;25
140304;522;652;;15
140306;97;121;;25
140307;97;121;;25
140308;58;72;;25
150010;91;114;;5
150013;63;79;;25
150014;148;185;;25
150016;89;111;;25
150017;95;119;;5
150018;32;40;;5
150019;32;40;;5
150027;91;114;;5
150029;42;52;;15
150030;42;52;;5
150031;42;52;;5
150032;64;80;;5
150033;45;56;;5
150035;42;52;;5
150040;86;108;;15
150041;42;52;;15
150042;92;115;;15
150047;42;52;;5
150049;78;98;;25
150050;65;81;;25
150051;36;45;;25
150052;38;48;;25
150053;32;40;;25
150054;55;69;;25
150055;32;40;;25
150056;33;41;;25
150057;24;30;;5
150058;39;49;;5
150060;43;54;;25
150061;48;60;;5
150064;51;64;;5
150066;38;48;;25
150067;86;108;;25
150068;91;114;;25
150069;93;116;;15
150070;76;95;;5
150072;56;70;81;15
150075;25;31;44;15
150076;39;49;;25
150077;32;40;;25
