"Категории";"Основная категория";"Артикул";"Показывать товар";"Короткое название";"Бренд";"Цена_Трансазия";"Цена_Розничная";"Фотографии";"Характеристики";"Описание товара"
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
;" ";;;;;;" ";;;
