Категории;Основная категория;Показывать товар;Артикул;Фотографии;Описание товара;Цена_Розничная;Короткое название;Характеристики;Бренд;Цена_Зачеркнутая
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150020;/storage/photo/original/f/sen-soy-muka-panirovochnaya-yaponskaya-tempura-150-g.jpg;Используется для панировки и обжарки во фритюре. Темпура отличается более воздушной, хрустящей структурой, чем европейская панировка.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;105;SEN SOY мука панировочная японская Темпура 150 г;"(Характеристики товара)Тип товара:Мука;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Страна происхождения:ВЬЕТНАМ;
(Характеристики товара)EAN:4607041134303;
(Характеристики товара)Вес:150 г";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150021;/storage/photo/original/f/sen-soy-nabor-dlya-prigotovleniya-sushi.jpg;"Сэн Сой Премиум представляет новинку для любителей японской кухни - Набор для суши. В него вошли основные продукты и аксессуары, необходимые для приготовления и сервировки суши, а именно:
<br>
Рис для суши (специальный рис сортов Кошихикари и Акита, отличающийся повышенным содержанием крахмала и потому более клейкий).<br>
Суши Нори (морские водоросли для приготовления роллов - особого, элитного сорта GOLD. Это нори первого сбора, то есть самые качественные, самые плотные и наиболее насыщенные полезными веществами и вкусом).<br>
Васаби (Осособый сорт хрена. Его добавляют к соевому соусу. Именно благодаря васаби японцы не боятся есть сырую рыбу, ведь эта острая приправа обладает сильным дезинфицирующим действием.<br>
Маринованный имбирь (непременная составляющая любой японской трапезы. У имбиря особая роль - он удаляет остатки вкуса предыдущего блюда, чтобы можно было в полной мере насладиться вкусом следующего.<br>
Соевый соус (натуральный соевый соус, полученный методом естественного брожения, приготовленный специально для суши - с увеличенным временем выдержки).<br>
Салфетка бамбуковая для скручивания и сервировки роллов. Она станет Вам надежным помощником на долгое время.<br>
Палочки для еды (два комплекта).<br>
Рисовый уксус, приправа для суши. Рисовый уксус используется в качестве маринада для рыбы, чтобы придать ей своеобразный специфический вкус, характерный для суши. Также в рисовом уксусе смачивается рис для суши, чтобы он стал более клейким и из него было легко формировать комочки.<br>
<br>
Все продукты отвечают самым высоким требованиям с точки зрения соответствия японским традициям качества. Теперь можно легко и быстро, даже в домашних условиях, приготовить настоящие суши";348;SEN SOY набор для приготовления суши;"(Характеристики товара)Тип товара:Аксессуары для еды;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Серия:Все для суши;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4607041133559;
(Характеристики товара)Количество:1 компл";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150022;/storage/photo/original/f/sen-soy-panirovochnie-hlopya-tempura-100-g.jpg;;80;SEN SOY панировочные хлопья Tempura 100 г;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150023;/storage/photo/original/f/sen-soy-priprava-vasabi-klassicheskij-43-g.jpg;Острая приправа, необходимый атрибут для суши.Его готовят из тертого корня японского горного хрена. Благодаря васаби можно безопасно употреблять суши и роллы с сырой рыбой.</p><br>ОСОБЕННОСТИ ПРОДУКТА:;91;SEN SOY приправа Васаби классический 43 г;"(Характеристики товара)Тип товара:Приправы;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607041132750;
(Характеристики товара)Вес:43 г";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150024;/storage/photo/original/f/sen-soy-risovaya-bumaga-100-g.jpg;"<br />
Рисовая бумага - это продукт, который обязательно полюбится ценителям восточной кухни. Рисовая бумага напоминает русский блинчик, в который заворачивают начинку.Но вместе с тем это тонкое полупрозрачное тесто, состоящее всего лишь из риса и воды. Этот уникальный диетический продукт не содержит жиров и сахара. Издавна в восточной кухне популярность рисовой бумаги не ослабевает: во Вьетнаме ее используют для приготовления вкуснейших традиционных блинчиков Нэм, в Китае делают спринг роллы с овощной начинкой, в Японии – горячие роллы с морепродуктами. Для того чтобы придать эластичность рисовой бумаге, достаточно смочить ее водой, затем можно наполнять любой начинкой. Рисовую бумагу употребляют холодной и горячей, обжаренной или сырой";78;SEN SOY рисовая бумага 100 г;"(Характеристики товара)Тип товара:Рисовая бумага;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Серия:Изюминка Азии;
(Характеристики товара)Форма упаковки:Пакет;
(Характеристики товара)Страна происхождения:Вьетнам;
(Характеристики товара)EAN:4607041133771;
(Характеристики товара)Вес:100 г";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150025;/storage/photo/original/f/sen-soy-risovij-uksus-220-g.jpg;Рисовый уксус натуральной ферментации — прекрасная универсальная приправа, она подходит не только для приготовления японских суши и роллов, но и как заправка для овощных салатов.Необходимая составляющая рецептуры японских суши. Смоченный в рисовом уксусе рис становится еще более клейким и легко принимает нужную форму, а маринованная в рисовом уксусе рыба и другие морепродукты приобретают нежный аромат и мягкость.Белый рисовый уксус прекрасно подходит в качестве заправки салатов из сырых овощей, блюд из рыбы и птицы, для приготовления различных соусов.Наш рисовый уксус для суши – полностью готовая заправка. Его не надо разбавлять водой или добавлять сахар: мы позаботились, чтобы Вы могли использовать его для приготовления Ваших любимых суши сразу после открытия!</p><br>ОСОБЕННОСТИ ПРОДУКТА:;62;SEN SOY Рисовый уксус 220 г;"(Характеристики товара)Тип товара:Уксус;
(Характеристики товара)Бренд:SEN SOY;
(Характеристики товара)Страна происхождения:РОССИЯ;
(Характеристики товара)EAN:4607041133672;
(Характеристики товара)Вес:220 г";SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150026;/storage/photo/original/f/sen-soy-soevij-sous-dlya-sushi-250-ml.jpg;;42;SEN SOY соевый соус Для Суши 250 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150027;/storage/photo/original/f/sen-soy-soevij-sous-klassicheskij-1-l.jpg;;91;SEN SOY соевый соус Классический 1 л;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150028;/storage/photo/original/f/sen-soy-soevij-sous-klassicheskij-220-ml.jpg;;64;SEN SOY соевый соус Классический 220 мл;;SEN SOY;
Продукты/Бакалея/Азиатская кухня;Продукты/Бакалея/Азиатская кухня;1;150029;/storage/photo/original/f/sen-soy-soevij-sous-klassicheskij-250-ml.jpg;;42;SEN SOY соевый соус Классический 250 мл;;SEN SOY;
