Категории;Основная категория;Артикул;Цена_Розничная;Характеристики;Описание товара;Короткое название;Бренд;Фотографии;Цена_Зачеркнутая
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790020;196;"(Характеристики товара)Тип товара:Заглушки для розеток;
(Характеристики товара)Бренд:HAPPY BABY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4690624017285;
(Характеристики товара)Количество:6 шт";"Socket Cover — заглушки для розеток, просты в использовании, блокируют доступ ребёнка к электрическим розеткам. Заглушки плотно надеваются на розетку, не требуют демонтажа. Благодаря заглушкам Socket Cover ваш малыш будет в безопасности. Универсальны и подходят для всех стандартных розеток. Легко крепятся с помощью двустороннего скотча, легко демонтируются при необходимости.
Особенности:
Защищают от попадания пальчиков и острых предметов в отверстия электрических розеток
Заглушки монтируются к розеткам при помощи двустороннего скотча
Не требуют демонтажа
Подходят для всех стандартных розеток";HAPPY BABY заглушки для розеток Socket Cover 6 шт;HAPPY BABY;/storage/photo/original/b/happy-baby-zaglushki-dlya-rozetok-socket-cover-6-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790021;143;"(Характеристики товара)Тип товара:Заглушки для розеток;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203574;
(Характеристики товара)Количество:6 шт";Заглушки для электрических розеток «LUBBY» обеспечивают полную безопасность для ребенка в помещении, где имеются розетки. Достаньте изделие из упаковки. Установите заглушку в розетку до упора. Заглушки легко устанавливаются и снимаются. Круглая форма полностью закрывает розетку. Подходит для любых форм розеток, в том числе евророзеток.;LUBBY заглушки для розеток 6 шт;LUBBY;/storage/photo/original/b/lubby-zaglushki-dlya-rozetok-6-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790022;122;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016199123";"Все мамы знают, что нельзя научиться ходить, не набив несколько шишек. Но ведь удары об острые, твердые углы мебели или техники могут нанести непоправимый вред малышу! Защитные накладки на углы были созданы с заботой о маленьких первооткрывателях: • смягчают удар при падении, чтобы позволяет не допустить досадных травм, царапин и синяков; • легкие в использовании – крепятся к поверхности при помощи двустороннего скотча (в комплект не входит); • подходят для любых типов гладких поверхностей: деревянной и пластиковой мебели, гранитных ступеней и каминов, стеклянных варочных панелей и т.д.; • отлично вписываются в интерьер благодаря прозрачному латексу; • в комплект входит 4 отдельных приспособления. С защитными накладками на углы изучать мир и открывать новые способности — совершенно безопасно!";BRADEX накладки на углы защитные 4 шт;BRADEX;/storage/photo/original/b/bradex-nakladki-na-ugli-zashitnie-4-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790023;187;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:HAPPY BABY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4690624017216;
(Характеристики товара)Количество:8 шт";"Corner Guard – мягкие накладки-уголки защитят вашего ребёнка от случайных ударов об острые углы столов, кроватей, телевизионных тумб и прочей мебели в процессе игры и при первых шагах. Изготовлены из мягкого и прозрачного материала, который почти незаметен. Легко крепятся с помощью двустороннего скотча, легко демонтируются при необходимости.
Особенности:
Надёжно крепятся на углы
Смягчают случайные удары малыша об углы
Изготовлены из прозрачного материала, благодаря чему, незаметны
Легко крепятся при помощи двустороннего скотча (входит в комплект)
В упаковке 8 штук";HAPPY BABY накладки на углы Corner Guard 8 шт;HAPPY BABY;/storage/photo/original/b/happy-baby-nakladki-na-ugli-corner-guard-8-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790024;254;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:HAPPY BABY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4690624017230;
(Характеристики товара)Количество:4 шт";"Soft Corner Guard – мягкие накладки-уголки защитят вашего ребёнка от случайных ударов об острые углы столов, кроватей, телевизионных тумб и прочей мебели в процессе игры и при первых шагах. Изготовлены из мягкого и прозрачного материала, который почти незаметен. Легко крепятся с помощью двустороннего скотча, легко демонтируются при необходимости.
Особенности:
Надёжно крепятся на углы
Смягчают случайные удары малыша об углы
Изготовлены из прозрачного материала, благодаря чему, незаметны
Легко крепятся при помощи двустороннего скотча (входит в комплект)
В упаковке 4 штуки
Размеры: 70 х 70 х 34 мм, толщина 12 мм";HAPPY BABY накладки на углы Soft Corner Guard 4 шт;HAPPY BABY;/storage/photo/original/b/happy-baby-nakladki-na-ugli-soft-corner-guard-4-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790025;181;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203550;
(Характеристики товара)Количество:4 шт";Прозрачные, скругленной формы, на липучках. Позволяют прикрыть острые углы, тем самым, защищая малыша от получения травм. Благодаря липкой основе, легко крепятся на углы. Сочетаются с общим интерьером. Крепятся к предметам, имеющим острые углы. Универсальные (подходят для любого типа мебели). Липкий слой легко удаляется водой с мылом.;LUBBY накладки на мебельные углы круглые 4 шт;LUBBY;/storage/photo/original/b/lubby-nakladki-na-mebelnie-ugli-kruglie-4-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790026;181;"(Характеристики товара)Тип товара:Мягкие уголки;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4607101203567;
(Характеристики товара)Количество:4 шт";Прозрачные, прямоугольной формы, на липучках. Позволяют прикрыть острые углы, тем самым, защищая малыша от получения травм. Благодаря липкой основе, легко крепятся на углы. Сочетаются с общим интерьером. Крепятся к предметам, имеющим острые углы. Универсальные (подходят для любого типа мебели). Липкий слой легко удаляется водой с мылом.;LUBBY накладки на мебельные углы прямоугольные 4 шт;LUBBY;/storage/photo/original/b/lubby-nakladki-na-mebelnie-ugli-pryamougolnie-4-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790027;145;"(Характеристики товара)Тип товара:Наколенники;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016199086";Любимое чадо учиться ползать? Это большой прорыв для малыша! Но вот незадача: на крошечных коленках появляются натертости, раздражение и царапины. Позаботьтесь о комфорте Вашего ребенка – используйте детские наколенники для ползания! • Подушечки с мягким губковым наполнителем защищают кожу малыша на любых поверхностях. • Колготки и ползунки не пачкаются и не покрываются катышками на коленях. • Гипоаллергенная основа из натурального хлопка безопасна для нежной кожи. • Верхний слой из спандекса гарантирует длительную службу наколенников. • Изделия можно использовать как в доме, так и на улице. Ползание, первые шаги и падения, игры на площадке – с детскими наколенниками ножки Вашего ребенка всегда в безопасности!;BRADEX наколенники детские для ползания голубые;BRADEX;/storage/photo/original/b/bradex-nakolenniki-detskie-dlya-polzaniya-golubie.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790028;145;"(Характеристики товара)Тип товара:Наколенники;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016199093";Любимое чадо учиться ползать? Это большой прорыв для малыша! Но вот незадача: на крошечных коленках появляются натертости, раздражение и царапины. Позаботьтесь о комфорте Вашего ребенка – используйте детские наколенники для ползания! • Подушечки с мягким губковым наполнителем защищают кожу малыша на любых поверхностях. • Колготки и ползунки не пачкаются и не покрываются катышками на коленях. • Гипоаллергенная основа из натурального хлопка безопасна для нежной кожи. • Верхний слой из спандекса гарантирует длительную службу наколенников. • Изделия можно использовать как в доме, так и на улице. Ползание, первые шаги и падения, игры на площадке – с детскими наколенниками ножки Вашего ребенка всегда в безопасности!;BRADEX наколенники детские для ползания розовые;BRADEX;/storage/photo/original/b/bradex-nakolenniki-detskie-dlya-polzaniya-rozovie.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790029;63;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016130041";Дверной стоппер - специальный предмет, который блокирует случайное закрытие дверей, ударение двери об стену, защелкивание дверного замка и т.п..Специальный детский стоппер «ЖИРАФ» надевается прямо на саму дверь, и не даёт ей закрываться полностью. Для того, чтобы ребёнок не снял стоппер, следует закреплять его на двери выше уровня роста ребёнка. Мягкий микропористый материал, из которого изготовлены эти стопперы, не причинит вреда и самой двери. А ребёнок не окажется случайно закрытым в комнате, ведь дверь не сможет закрываться до конца.;BRADEX фиксатор для двери Жираф;BRADEX;/storage/photo/original/b/bradex-fiksator-dlya-dveri-zhiraf.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790030;63;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016130058";Дверной стоппер - специальный предмет, который блокирует случайное закрытие дверей, ударение двери об стену, защелкивание дверного замка и т.п..Специальный детский стоппер «КОРОВА» надевается прямо на саму дверь, и не даёт ей закрываться полностью. Для того, чтобы ребёнок не снял стоппер, следует закреплять его на двери выше уровня роста ребёнка. Мягкий микропористый материал, из которого изготовлены эти стопперы, не причинит вреда и самой двери. А ребёнок не окажется случайно закрытым в комнате, ведь дверь не сможет закрываться до конца.;BRADEX фиксатор для двери Корова;BRADEX;/storage/photo/original/b/bradex-fiksator-dlya-dveri-korova.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790031;63;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:BRADEX;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:7290016130065";Дверной стоппер - специальный предмет, который блокирует случайное закрытие дверей, ударение двери об стену, защелкивание дверного замка и т.п..Специальный детский стоппер «БОЖЬЯ КОРОВКА» надевается прямо на саму дверь, и не даёт ей закрываться полностью. Для того, чтобы ребёнок не снял стоппер, следует закреплять его на двери выше уровня роста ребёнка. Мягкий микропористый материал, из которого изготовлены эти стопперы, не причинит вреда и самой двери. А ребёнок не окажется случайно закрытым в комнате, ведь дверь не сможет закрываться до конца.;BRADEX фиксатор для двери Божья коровка;BRADEX;/storage/photo/original/b/bradex-fiksator-dlya-dveri-bozhya-korovka.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790032;102;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:HAPPY BABY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4690624017278;
(Характеристики товара)Количество:2 шт";"Happy Baby Фиксатор для двери Door Stopper фиксирует дверь, делая безопасным процесс открывания и закрывания. Предотвращает случайное защемление пальчиков малыша. В зависимости от варианта установки фиксатора, головой или хвостом уточки, родители смогут регулировать ширину щели. Устанавливается быстро и легко, без дополнительных крепежей.
Особенности:
Фиксирует дверь на безопасном расстоянии от детской ручки
Предотвращает защемление пальчиков
В упаковке 2 штуки";HAPPY BABY фиксатор для двери Door Stopper 2 шт;HAPPY BABY;/storage/photo/original/b/happy-baby-fiksator-dlya-dveri-door-stopper-2-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790033;133;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:HAPPY BABY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4690624017315;
(Характеристики товара)Количество:2 шт";"Pull-out door Stopper позволяет избежать травмирования детских пальчиков дверью при ее случайном захлопывании, а также оберегает сон ребёнка – теперь звук от внезапно закрывшейся двери не потревожит малыша. Фиксатор двери очень легко установить и использовать. Поворотный механизм позволяет быстро установить фиксатор или убрать его, без дополнительного демонтажа. Достаточно всего лишь повернуть фиксатор вниз. Легко крепится с помощью двустороннего скотча, легко демонтируется при необходимости.
Особенности:
Уникальная встроенная поворотная система защиты, нет необходимости снимать стопор, когда он не используется.
Высокоэластичный каучуковый материал, прекрасный защитный эффект и отсутствие повреждений на мебели.
Экологически чистый эластичный материал, безопасный и нетоксичный
Легко крепится при помощи двустороннего скотча (входит в комплект)
В упаковке 2 штуки";HAPPY BABY фиксатор для двери Pull-Out Door Stopper 2 шт;HAPPY BABY;/storage/photo/original/b/happy-baby-fiksator-dlya-dveri-pull-out-door-stopper-2-sht.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790034;111;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:Китай;
(Характеристики товара)EAN:4640013557519;
(Характеристики товара)Количество:1 шт";"Фиксатор ""Универсальный"" состоит из двух липучек и ленты. Подходит для всех открывающихся предметов, в том числе для холодильника, шкафа, комода, крышки унитаза. Лента фиксируется при помощи липучек. За счет клеевого слоя крепится на стеклянные, ламинированные, пластмассовые, деревянные и металлические поверхности. Легко демонтируется при необходимости, не оставляя";LUBBY фиксатор для двери Универсальный;LUBBY;/storage/photo/original/b/lubby-fiksator-dlya-dveri-universalnij.jpg;
Детские товары/Детская безопасность/Блокирующие и защитные устройства;Детские товары/Детская безопасность/Блокирующие и защитные устройства;790035;137;"(Характеристики товара)Тип товара:Фиксатор для двери;
(Характеристики товара)Бренд:LUBBY;
(Характеристики товара)Страна происхождения:ТАИЛАНД;
(Характеристики товара)EAN:4640013558004;
(Характеристики товара)Количество:1 шт";Фиксатор для двери можно использовать двумя способами: фиксация двери от закрывания или фиксация открытой двери на определенном расстоянии. Перед установкой убедитесь, что пластиковый стопор не будет препятствовать открыванию/закрыванию двери. Если расстояние между дверью и полом меньше чем пластиковый стопор, то рекомендуется использовать фиксатор без дополнительного стопора.;LUBBY фиксатор для двери Лапка;LUBBY;/storage/photo/original/b/lubby-fiksator-dlya-dveri-lapka.jpg;
Детские товары/Детское питание/Гипоаллергенные смеси и каши;Детские товары/Детское питание/Гипоаллергенные смеси и каши;770010;1378;"(Характеристики товара)Тип товара:Молочные смеси;
(Характеристики товара)Бренд:NUTRILON;
(Характеристики товара)Серия:Premium;
(Характеристики товара)Возраст:С 12 месяцев;
(Характеристики товара)Ступень:3;
(Характеристики товара)Вес:800 г;
(Характеристики товара)Страна происхождения:Ирландия;
(Характеристики товара)EAN:8718117605842;
(Характеристики товара)Вес:800 г";"В возрасте от 1 до 3 лет продолжается активное формирование мозга и становление иммунитета ребенка. В этот период важную роль играет рацион малыша.
Согласно Национальной программе оптимизации питания детей от 1 года до 3 лет, ежедневный молочный рацион ребенка должен состоять из 400-450 мл молочных продуктов, включая 200 мл молочных напитков 3 или 4 ступени, из которых ребенок получит (по сравнению с коровьим молоком):
в 5 раз больше железа
в 2 раза больше витамина А
витамин D
ненасыщенные жирные кислоты
Уникальный состав Nutrilon® 3 Premium с комплексом Pronutri+* способствует развитию иммунитета и интеллекта, помогая Вашему малышу развиваться.
Пребиотики GOS/FOS** помогают развитию собственной здоровой микрофлоры кишечника, а также поддерживают иммунитет малыша, помогая снижать риск возникновения аллергии и инфекций. Nutrilon® 3 Premium с комплексом Pronutri+ – уникальное детское молочко в России с клинически доказанным положительным влиянием на иммуную систему малыша.
Особые жирные кислоты помогают правильному развитию мозга и зрения крохи, положительно влияют на иммунитет. Только Nutrilon® Premium содержит самый полный комплекс особых жирных кислот ARA/DHA/EPA*** в достаточном количестве.
Сбалансированный витаминный комплекс, разработанный специально с учетом потребностей детей старше года, а также достаточное количество железа и йода способствуют здоровому и гармоничному росту ребенка. Оптимальное содержание кальция и витамина D поможет укрепить зубы и кости малыша.<p>Проконсультируйтесь со специалистом. Для детей с 12 месяцев.</p>";NUTRILON молочная смесь Premium 3 с двенадцати месяцев 800 г;NUTRILON;/storage/photo/original/b/nutrilon-molochnaya-smes-premium-3-s-dvenadcati-mesyacev-800-g.jpg;
